id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","周一,斯坦福大学医学院的科学家宣布发明了一种新的诊断工具,可以按类型分类细胞:一个可打印的小芯片,"
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","主要研究人员表示,这可能会使低收入国家患者早期发现癌症,结核病,艾滋病毒和疟疾,"
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","在当地时间9点30分时,JAS 39C Gripen撞上了跑道,并爆炸,将机场封闭给商业航班."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,飞行员被确定为小队长迪洛克里特·帕塔维.
4,Local media reports an airport fire vehicle rolled over while responding.,"据当地媒体报道,"
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28岁的维达尔3个赛季前从塞维利亚加入巴萨.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","自从转移到加泰罗尼亚首都以来,维达尔为俱乐部打了49场比赛."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","抗议活动开始于当地时间11点左右 (UTC+1) 在怀特霍尔,"
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","在11点之后,示威者封锁了北方车辆的交通."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","警方要求抗议者回到行人行道,"
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","在11点29分左右,抗议者上升到怀特哈尔,经过特拉法加广场,沿着Strand,经过阿尔迪维奇,"
11,Nadal's head to head record against the Canadian is 7–2.,纳达尔对加拿大人的总数是72.
12,He recently lost against Raonic in the Brisbane Open.,他最近在布里斯班公开赛中输了罗尼克.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"纳达尔在比赛中获得了88%的净积分,"
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","在比赛结束后,克莱王说:""我很高兴能回到最重要的赛事的最后一轮."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""巴拿马文件""是巴拿马律师事务所莫萨克·芬塞卡约1000万份文件的总称,"
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,"文件显示,十四家银行帮助富有的客户隐藏数十亿美元的财富,"
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"据英国""卫报""报道,德意志银行控制了大约1200家公司的三分之一."
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",伊斯兰和巴基斯坦政府的领导人都辞职.
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","在香港出生,马在纽约大学和哈佛法学院学习,曾经持有美国永久居民""绿卡""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"在选举期间,Hsieh暗示马可能在危机时期逃离该国."
21,Hsieh also argued that the photogenic Ma was more style than substance.,希希还认为光基 Ma 更多的是风格而不是物质.
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","尽管受到这些指控,但马在一个倡导与中国大陆更紧密的关系的平台上很方便地赢得了胜利."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,今天的最佳球员是华盛顿资本队的亚历克斯·奥维奇金.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,他在华盛顿5-3胜亚特兰大热刺队的比赛中取得了2个进球和2次助攻.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,欧维奇金的首次助攻是新手尼克拉斯·巴克斯特罗姆的胜利进球;
