id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","På mandag annoncerede forskere fra Stanford University School of Medicine opfindelsen af et nyt diagnostisk værktøj, der kan sortere celler efter type: en lille trykbar chip, der kan fremstilles ved hjælp af standard inkjetprinter for muligvis en US-cent hver."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Forskere siger, at dette kan føre til tidlig opdagelse af kræft, tuberkulose, HIV og malaria for patienter i lavindkomstlande, hvor overlevelsesraten for sygdomme som brystkræft kan være halvdelen af den i rigere lande."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripen styrtede på en landingsbane omkring 9:30 local time (0230 UTC) og eksploderede, hvilket lukkede lufthavnen for kommercielle flyvninger."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Piloten blev identificeret som Squadron Leader Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,"Lokale medier rapporterer, at et brandbil på lufthavnen rullede om, mens de reagerede."
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",Den 28-årige Vidal var kommet til Barça for tre sæsoner siden fra Sevilla.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Siden han flyttede til Catalan-hovedstaden, havde Vidal spillet 49 kampe for klubben."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protesten startede omkring kl. 11:00 (UTC+1) på Whitehall overfor den politimæssige indgang til Downing Street, premierministerens officielle bopæl."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Lige efter kl. 11 blokerede demonstranterne trafikken i Whitehall.
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",Klokken 11.20 bad politiet demonstranterne om at flytte tilbage til trottoaren og sagde at de skulle afbalancere retten til at protestere med den stigende trafik.
