id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Am Montag kündigten Wissenschaftler der Stanford University School of Medicine die Erfindung eines neuen diagnostischen Werkzeugs an, das Zellen nach Typ sortieren kann: Ein winziger druckbarer Chip, der mit standardmäßigen Inkjet-Drucker für möglicherweise etwa einen US-Cent pro Stück hergestellt werden kann."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Die führenden Forscher sagen, dass dies den Patienten in Ländern mit niedrigem Einkommen eine frühzeitige Erkennung von Krebs, Tuberkulose, HIV und Malaria bringen könnte, wo die Überlebensraten für Krankheiten wie Brustkrebs die Hälfte der reicheren Länder betragen können."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Der JAS 39C Gripen stürzte um 9:30 Uhr (0230 Uhr UTC) auf eine Landebahn und explodierte, was den Flughafen für kommerzielle Flüge schloss."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Der Pilot wurde als Squadron Leader Dilokrit Pattavee identifiziert.
4,Local media reports an airport fire vehicle rolled over while responding.,"Die lokalen Medien berichten, dass ein Feuerfahrzeug am Flughafen während der Reaktion umgerollt wurde."
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",Der 28-jährige Vidal kam vor drei Saisons von Sevilla zur Barça.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Seit er in die katalanische Hauptstadt zog, hatte Vidal 49 Spiele für den Verein gespielt."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Der Protest begann um 11 Uhr Ortszeit (UTC+1) in Whitehall gegenüber dem von der Polizei bewachten Eingang in die Downing Street, der offiziellen Residenz des Premierministers."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Kurz nach 11:00 Uhr blockierten Demonstranten den Verkehr auf dem nördlichen Wagen in Whitehall.
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Um 11:20 Uhr bat die Polizei die Demonstranten, wieder auf den Bürgersteig zu gehen und erklärte, sie müssten das Protestrecht mit dem zunehmenden Verkehr ausgleichen."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Gegen 11:29 Uhr bewegte sich der Protest nach Whitehall, vorbei am Trafalgar Square, entlang des Strands, vorbei an Aldwych und auf Kingsway in Richtung Holborn, wo die Konservative Partei ihr Frühlingsforum im Grand Connaught Rooms Hotel hielt."
11,Nadal's head to head record against the Canadian is 7–2.,Nadal's Head-to-Head-Record gegen den Kanadier ist 72.
12,He recently lost against Raonic in the Brisbane Open.,Er verlor vor kurzem gegen Raonic im Brisbane Open.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal erzielte 88% der Nettopunkte im Spiel und gewann 76 Punkte im ersten Serv.
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Nach dem Spiel sagte King of Clay: ""Ich bin aufgeregt, in den letzten Runden der wichtigsten Veranstaltungen zurückzukehren. Ich bin hier, um zu versuchen, dies zu gewinnen""."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" ist ein allgemeiner Begriff für etwa zehn Millionen Dokumente der panamischen Anwaltskanzlei Mossack Fonseca, die im Frühjahr 2016 in die Presse gelähmt wurden."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,"Die Dokumente zeigten, dass vierzehn Banken wohlhabenden Kunden geholfen haben, Milliarden US-Dollar Vermögen zu verstecken, um Steuern und andere Vorschriften zu vermeiden."
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"Die britische Zeitung The Guardian schlug vor, die Deutsche Bank kontrolliere ungefähr ein Drittel der 1200 Shell-Unternehmen, die dazu genutzt werden."
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Es gab weltweit Proteste, mehrere strafrechtliche Verfolgungen, und die Führer der Regierungen von Island und Pakistan haben beide zurückgetreten."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Geboren in Hong Kong studierte Ma an der New Yorker Universität und der Harvard Law School und hatte einst eine ""grüne Karte"" als ständiger US-amerikanischer Bewohner."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"Hsieh implizierte während der Wahl, dass Ma in einer Zeit der Krise aus dem Land fliehen könnte."
21,Hsieh also argued that the photogenic Ma was more style than substance.,"Hsieh argumentierte auch, dass die photogene Ma mehr Stil als Substanz sei."
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Trotz dieser Vorwürfe gewann Ma praktisch auf einer Plattform, die engere Beziehungen zum chinesischen Festland befürwortete."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Der heutige Spieler des Tages ist Alex Ovechkin der Washington Capitals.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Er hatte 2 Tore und 2 Assists in Washingtons 5-3 Sieg über die Atlanta Thrashers.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkins erster Assist der Nacht war auf dem Spiel-Gewinn-Goal von Rookie Nicklas Backstrom;
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Sein zweites Ziel der Nacht war sein 60. Ziel in der Saison, und er wurde der erste Spieler, der seit 1995-96 60 oder mehr Tore in einer Saison erzielte, als Jaromir Jagr und Mario Lemieux jeweils diesen Meilenstein erreichten."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten war auf Platz 190 auf der Liste der 400 reichsten Amerikaner 2008 mit einem geschätzten Vermögen von 2,3 Milliarden Dollar."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Er absolvierte 1950 das College of Arts & Sciences der Universität von Virginia und war ein bedeutender Spender dieser Institution.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,Das irakische Gefängnis Abu Ghraib wurde während eines Aufruhrs in Brand gesetzt.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,"Das Gefängnis wurde berüchtigt, nachdem dort Missbrauch von Gefangenen entdeckt wurde, nachdem die US-Streitkräfte die Macht übernommen hatten."
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",Piquet Jr. stürzte beim Grand Prix von Singapur 2008 kurz nach einem frühen Pitstop für Fernando Alonso ab und brachte das Sicherheitsfahrzeug heraus.
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Als die Autos vor Alonso zum Treibstoff unter dem Sicherheitswagen gingen, bewegte er sich um den Sieg."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. wurde nach dem Grand Prix von Ungarn 2009 entlassen.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Um genau 8:46 Uhr fiel in der Stadt eine Stille, die den genauen Moment markierte, in dem der erste Jet sein Ziel getroffen hatte."
35,Two beams of light have been rigged up to point skywards overnight.,"Zwei Lichtstrahlen wurden eingerichtet, um über Nacht auf den Himmel zu zeigen."
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Der Bau von fünf neuen Wolkenkratzern am Gelände läuft, mit einem Verkehrszentrum und einem Denkmalpark in der Mitte."
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","Die PBS-Show hat mehr als zwei Dutzend Emmy-Preise, und ihre Laufzeit ist nur kürzer als Sesame Street und Mister Rogers' Neighborhood."
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Jede Episode der Serie konzentrierte sich auf ein Thema in einem bestimmten Buch und untersuchte dieses Thema dann durch mehrere Geschichten.
39,Each show would also provide recommendations for books that children should look for when they went to their library.,"Jede Ausstellung liefert auch Empfehlungen für Bücher, die Kinder suchen sollten, wenn sie in ihre Bibliothek gehen."
