id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Την Δευτέρα, επιστήμονες από την Ιατρική Σχολή του Πανεπιστημίου Στάνφορντ ανακοίνωσαν την εφεύρεση ενός νέου εργαλείου διάγνωσης που μπορεί να ταξινομήσει τα κύτταρα ανά τύπο: ένα μικροσκοπικό τσιπ που μπορεί να κατασκευαστεί χρησιμοποιώντας τυποποιημένες εκτυπωτικές συσκευές με τσιμπή με μελάνι για πιθανότατα περίπου μία δεκάρα κάθε μία."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Οι επικεφαλής ερευνητές λένε ότι αυτό μπορεί να φέρει την έγκαιρη ανίχνευση του καρκίνου, της φυματίωσης, του HIV και της ελονοσίας σε ασθενείς σε χώρες χαμηλού εισοδήματος, όπου τα ποσοστά επιβίωσης για ασθένειες όπως ο καρκίνος του μαστού μπορεί να είναι το ήμισυ των πλουσιότερων χωρών."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Το JAS 39C Gripen έπεσε σε ένα διάδρομο περίπου στις 9:30 π.μ. τοπική ώρα (0230 UTC) και έκρηξε, κλείνοντας το αεροδρόμιο για εμπορικές πτήσεις."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Ο πιλότος αναγνωρίστηκε ως ο αρχηγός της ομάδας Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,Τα τοπικά μέσα ενημέρωσης αναφέρουν ότι ένα οχήμα πυρκαγιάς του αεροδρομίου στρίψε ενώ ανταποκρίνονταν.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Ο 28χρονος Βιντάλ είχε προσχωρήσει στην Μπαρτζα πριν από τρεις σεζόν, από τη Σεβίλλα."
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Από τότε που μετακόμισε στην Καταλανική πρωτεύουσα, ο Βιντάλ είχε παίξει 49 αγώνες για το σύλλογο."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Η διαμαρτυρία ξεκίνησε γύρω στις 11:00 τοπικής ώρας (UTC+1) στο Whitehall, απέναντι από την είσοδο της Downing Street, την επίσημη κατοικία του Πρωθυπουργού."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Λίγο μετά τις 11:00, οι διαδηλωτές έκλεισαν την κυκλοφορία στην βόρεια άμαξα στο Γουάιτχολ."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Στις 11:20, η αστυνομία ζήτησε από τους διαδηλωτές να επιστρέψουν στο πεζοδρόμιο, δηλώνοντας ότι έπρεπε να ισορροπήσουν το δικαίωμα διαμαρτυρίας με την αύξηση της κυκλοφορίας."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Περίπου στις 11:29, η διαμαρτυρία προχώρησε μέχρι το Whitehall, πέρα από την πλατεία Trafalgar, κατά μήκος του Strand, περνώντας από το Aldwych και μέχρι το Kingsway προς το Holborn όπου το Συντηρητικό Κόμμα διεξήγαγε το Φόρουμ της Άνοιξης στο ξενοδοχείο Grand Connaught Rooms."
11,Nadal's head to head record against the Canadian is 7–2.,Το ρεκόρ του Νάδαλ εναντίον του Καναδού είναι 72.
12,He recently lost against Raonic in the Brisbane Open.,Πρόσφατα έχασε έναντι του Ράονικ στο Μπρίσμπεϊν Όπεν.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Ο Νάδαλ τράβηξε το 88% των καθαρών πόντων στο παιχνίδι κερδίζοντας 76 πόντους στην πρώτη σερβί.
