id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Maanantaina Stanfordin yliopiston lääketieteellisen koulun tutkijat ilmoittivat uuden diagnostisen työkalun keksinnästä, joka voi luokitella soluja tyypin mukaan: pienen tulostettavan chipin, joka voidaan valmistaa tavanomaisilla tinkipullojen tulostareilla."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Johtavat tutkijat sanovat, että tämä voi tuoda syövän, tuberkuloosin, HIV:n ja malarian ennenaikaisen havaitsemisen potilaille vähätuotamaissa maissa, joissa rintasyövän tapaisten sairauksien eloonjäämisaste voi olla puolet rikkaimpien maiden verrattuna."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripen törmäsi lentokentälle noin 9:30 a.m. paikallista aikaa (0230 UTC) ja räjähti, mikä sulki lentokentän kaupallisille lentoille."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Lentäjän nimi oli Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,"Paikalliset tiedotusvälineet kertovat, että lentokentän tulipalonkuljetus ajoi takaisin."
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28-vuotias Vidal oli liittynyt Barcelonaan kolmea kautta sitten Sevillasta.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Kun hän muutti Katalonian pääkaupunkiin, Vidal oli ottanut 49 peliä klubille."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protesti alkoi noin 11:00 paikallista aikaa (UTC+1) Whitehallissa poliisin vartioimaman sisäänkäynnin edessä Downing Streetille, pääministerin viralliselle asuinpaikalle."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Kello 11 jälkeen mielenosoittajat sulkivat liikenteen Whitehallissa.
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",Kello 11:20 poliisit pyysivät mielenosoittajia siirtymään takaisin jalkakäytävään.
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Kello 11.29 protesti siirtyi Whitehallille, Trafalgarin aukion ohi Strandin varrella, kulki Aldwychin ja Kingswayin kohti Holbornia, jossa konservatiivinen puolue piti kevätfooruminsa Grand Connaught Rooms -hotellissa."
11,Nadal's head to head record against the Canadian is 7–2.,Nadalin ennätys kanadalaista vastaan on 72.
12,He recently lost against Raonic in the Brisbane Open.,Hän hävisi viime aikoina Raonicin kanssa Brisbane Openissa.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal sai 88% nettopisteistä ottelussa voittamalla 76 pistettä ensimmäisessä serveissa.
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","King of Clay sanoi ottelun jälkeen: ""Olen innoissani siitä, että pääsen takaisin tärkeimpien tapahtumien lopulliseen kierrokseen."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" on yleinen termi noin kymmenelle miljoonalle panamalaisesta lakitoimisto Mossack Fonsecasta peräisin olevalle asiakirjalle, joka vuoti lehdistölle keväällä 2016."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,"Dokumentit osoittivat, että 14 pankkia auttoi rikkaita asiakkaita piilottamaan miljardeja Yhdysvaltain dollareita varallisuutta veroja ja muita säännöksiä välttääkseen."
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"Brittiläinen sanomalehti The Guardian ehdotti, että Deutsche Bank hallitsi noin kolmanneksen niistä 1200 pommiyrityksestä, joita käytettiin tätä varten."
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Protesteja järjestettiin ympäri maailmaa, useita rikosoikeudellisia syytöksiä ja Islannin ja Pakistanin hallitusten johtajat erosivat."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Hong Kongissa syntynyt Ma opiskeli New Yorkin yliopistossa ja Harvardin oikeustieteellisessä koulussa, ja hänellä oli kerran amerikkalainen pysyvä ""vihreä kortti""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"Hsieh tarkoitti vaalien aikana, että Ma voisi paeta maasta kriisin aikana."
21,Hsieh also argued that the photogenic Ma was more style than substance.,"Hsieh väitti myös, että fotogeeninen Ma oli enemmän tyyli kuin aine."
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",Näitä syytöksiä huolimatta Ma voitti kätevästi Kiinan mantereen kanssa läheisempien suhteiden puolestapuhuen.
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Tämän päivän paras pelaaja on Washington Capitalin Alex Ovechkin.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Hänellä oli 2 golia ja 2 avustusta Washingtonin voitossa 5-3 Atlanta Thrashersista.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkinin ensimmäinen assistti oli uusi Nicklas Backstromin voittopäässä.
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Hänen toiseksi tavoitteenaan oli 60-vuoti, jolloin hänestä tuli ensimmäinen pelaaja, joka teki 60 tai useampia tavoitteita vuodessa vuodesta 1995-1996, jolloin Jaromir Jagr ja Mario Lemieux saavuttivat sen."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,Batten oli vuoden 2008 400 rikkaimman amerikkalaisen luettelossa 190.
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Hän valmistui Virginian yliopiston taiteiden ja tieteen korkeakoulusta vuonna 1950 ja oli merkittävä lahjoittaja kyseiselle laitokselle.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,Irakin Abu Ghraibin vankila on sytytetty mielenosoituksen aikana.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,"Vankila tuli tunnetuksi, kun vankien väärinkäytökset paljastuivat sen jälkeen, kun Yhdysvaltain joukot ottivat vallan."
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",Piquet Jr. kaatui 2008 Singapore Grand Prix -kilpailussa Fernando Alonson varhaisen pit-stopin jälkeen.
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Kun Alonso-autot menivät polttoainetta varten turvaauton alle, hän nousi joukkoon voittaakseen."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. erotettiin vuoden 2009 Unkarin Grand Prix:n jälkeen.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Täsmälleen kello 8:46 kaupungissa tuli hiljaisuus, joka merkitsee täsmälleen sen hetken, jolloin ensimmäinen lentokone osui kohteeseen."
35,Two beams of light have been rigged up to point skywards overnight.,Kaksi valon säteä on varustettu kohti taivasta yöllä.
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Sijainnolla on käynnissä viisi uutta pilvipiirtäjää, jonka keskellä on kuljetuskeskus ja muistopuisto."
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","PBS:n ohjelmassa on yli kaksikymmentä Emmy-palkintoa, ja se on lyhyempi kuin Sesame Street ja Mister Rogers' Neighborhood."
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Jokaista ohjelman jaksoa keskittyisi tiettyyn kirjaan sisältyvään aiheeseen ja tutkiisi sitä useiden tarinoiden kautta.
39,Each show would also provide recommendations for books that children should look for when they went to their library.,"Jokaisessa esityksessä annettiin myös suosituksia kirjoista, joita lapset tulisi etsiä kirjastossaan."
40,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant, WNED Buffalosta (Lue Rainbow'n kotiasema), sanoi: ""Lue Rainbow opetti lapsille miksi lukea,... lukemisen rakkaus  [ohjelma] rohkaisi lapsia hakemaan kirjan ja lukemaan""."
41,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.","Jotkut, mukaan lukien John Grant, uskovat, että sekä rahoituksen kriisi että koulutustelevisiohjelmoinnin filosofian muutos auttoivat lopettamaan sarjan."
42,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","Cape Verde-saarten länteen noin 1040 kilometrin päässä sijaitseva myrsky todennäköisesti hajoaa, ennen kuin se uhkaa maaperäisiä alueita, ennustelijat sanovat."
43,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,Fredillä on tällä hetkellä tuulien nopeus 105 kilometriä tunnissa (165 kilometriä tunnissa) ja se liikkuu pohjois länteen.
44,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred on voimakkain trooppinen pyörremyrsky, joka on koskaan raportoitu Etelä- ja Itä-Atlantissa satelliittikuvien syntymisen jälkeen, ja vain kolmas merkittävä hurrikaani."
45,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",Arthur Guinness allekirjoitti 24. syyskuuta 1759 9 000 vuoden vuokrasopimuksen Irlannin Dubliinissä sijaitsevalle St. James's Gate Brewery'lle.
46,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 vuotta myöhemmin Guinness on kasvanut maailmanlaajuiseksi yritykseksi, jonka liikevaihto on yli 10 miljardia euroa vuodessa."
47,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Jonny Reid, Uuden-Seelannin A1GP-joukkueen ohjaaja, teki tänään historiaa - ajamalla nopeimman yli 48-vuotisen Auckland Harbour Bridgeen, Uuden-Seelannin, laillisesti."
48,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Herra Reid onnistui ajamaan Uuden-Seelannin A1GP-autoa, Black Beauty, yli 160 km/h nopeudella seitsemän kertaa sillan yli."
49,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Uuden-Seelannin poliisille oli vaikeuksia käyttää nopeusradarin aseita nähdäkseni kuinka nopeasti herra Reid oli menossa koska Black Beauty on alhainen, ja ainoa kerta, kun poliisit onnistuivat laskeutumaan herra Reid oli, kun hän hidasti 160 km/h."
50,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",Viimeisen kolmen kuukauden aikana yli 80 pidätettyä vapautettiin Central Booking -laitoksesta ilman virallista syytettä.
51,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","Tuomari Glynn antoi tämän vuoden huhtikuussa väliaikaisen palauttamismääräyksen laitokselle, jonka tarkoituksena on vapauttaa ne, jotka ovat olleet pidättyjä yli 24 tunnin kuluttua, mutta joita ei ole kuultu tuomioistuimen komissaariin."
52,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","Komissaari asettaa takuun, jos se myönnetään, ja muodollistaa pidättäjän esittämät syytteet."
53,The hearing also marks the date for the suspect’s right to a speedy trial.,Kuuleminen merkitsee myös epäillyn oikeutta nopeaseen oikeudenkäyntiin.
