id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",सोमवार को स्टैनफोर्ड यूनिवर्सिटी स्कूल ऑफ मेडिसिन के वैज्ञानिकों ने एक नए डायग्नोस्टिक टूल के आविष्कार की घोषणा की जो कोशिकाओं को प्रकार के अनुसार क्रमबद्ध कर सकता हैः एक छोटा प्रिंटेबल चिप जिसे मानक इंकजेट प्रिंटरों का उपयोग करके लगभग एक अमेरिकी सेंट के लिए बनाया जा सकता है।
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","प्रमुख शोधकर्ताओं का कहना है कि इससे कम आय वाले देशों में रोगियों को कैंसर, क्षयरोग, एचआईवी और मलेरिया का प्रारंभिक पता लग सकता है, जहां स्तन कैंसर जैसी बीमारियों के लिए जीवित रहने की दर अमीर देशों की आधी हो सकती है।"
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","जेएएस 39 सी ग्रिपेन स्थानीय समय (0230 UTC) के अनुसार सुबह 9:30 बजे एक रनवे पर दुर्घटनाग्रस्त हो गया और विस्फोट हो गया, जिससे हवाई अड्डा वाणिज्यिक उड़ानों के लिए बंद हो गया।"
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर Dilokrit Pattavee के रूप में की गई थी।
4,Local media reports an airport fire vehicle rolled over while responding.,"स्थानीय मीडिया की रिपोर्टों के अनुसार, हवाई अड्डे पर एक अग्निशमन वाहन प्रतिक्रिया करते समय पलट गया।"
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडल तीन सीज़न पहले सेविला से बार्सा में शामिल हुए थे।
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कैटलन-राजधानी में जाने के बाद से, विडल ने क्लब के लिए 49 मैच खेले थे।"
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","विरोध प्रदर्शन स्थानीय समय (यूटीसी+1) पर वाइटहॉल में डाउनिंग स्ट्रीट, प्रधानमंत्री के आधिकारिक निवास के पुलिस-सुरक्षित प्रवेश द्वार के सामने लगभग 11:00 बजे शुरू हुआ।"
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","11:00 बजे के ठीक बाद, प्रदर्शनकारियों ने व्हाइटहॉल में उत्तर की ओर जाने वाली गाड़ी पर यातायात को अवरुद्ध कर दिया।"
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11:20 बजे, पुलिस ने प्रदर्शनकारियों से पैदल पर वापस जाने के लिए कहा, यह कहते हुए कि उन्हें विरोध करने के अधिकार को ट्रैफ़िक के बढ़ने के साथ संतुलित करने की आवश्यकता है।"
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","लगभग 11:29 बजे, विरोध प्रदर्शन वाइटहॉल, ट्रैफल्गर स्क्वायर के पास, स्ट्रैंड के साथ, ऑल्डविच से होकर और किंग्सवे की ओर होलबर्न की ओर चला गया जहां कंजरवेटिव पार्टी ग्रैंड कॉनॉट रूम्स होटल में अपना स्प्रिंग फोरम आयोजित कर रही थी।"
11,Nadal's head to head record against the Canadian is 7–2.,कनाडाई के खिलाफ नाडाल का रिकॉर्ड 72 है।
12,He recently lost against Raonic in the Brisbane Open.,वह हाल ही में ब्रिस्बेन ओपन में राओनिक से हार गए।
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,नाडाल ने मैच में 88% शुद्ध अंक हासिल किए और पहले सर्व में 76 अंक जीते।
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","मैच के बाद, किंग ऑफ क्ले ने कहा, ""मैं केवल सबसे महत्वपूर्ण घटनाओं के अंतिम दौर में वापस आने के लिए उत्साहित हूं। मैं यहां यह जीतने की कोशिश करने के लिए हूं। """
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""पनामा पेपर्स"" पनामा की लॉ फर्म मोसाक फोंसेका के लगभग दस मिलियन दस्तावेजों के लिए एक सामान्य शब्द है, जो 2016 के वसंत में प्रेस में लीक हुए थे।"
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,दस्तावेजों से पता चलता है कि चौदह बैंकों ने करों और अन्य नियमों से बचने के लिए अमीर ग्राहकों को अरबों अमेरिकी डॉलर की संपत्ति छिपाने में मदद की।
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,ब्रिटिश अखबार द गार्जियन ने सुझाव दिया कि ड्यूश बैंक ने इसे पूरा करने के लिए उपयोग की जाने वाली 1200 शेल कंपनियों में से लगभग एक तिहाई को नियंत्रित किया।
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","दुनिया भर में विरोध प्रदर्शन हुए, कई आपराधिक मुकदमे चलाए गए, और आइसलैंड और पाकिस्तान दोनों सरकारों के नेताओं ने इस्तीफा दे दिया।"
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","हांगकांग में जन्मे, मा ने न्यूयॉर्क विश्वविद्यालय और हार्वर्ड लॉ स्कूल में अध्ययन किया और एक बार एक अमेरिकी स्थायी निवासी ""ग्रीन कार्ड"" था।"
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,हसीह ने चुनाव के दौरान संकेत दिया कि संकट के समय मा देश से भाग सकती हैं।
21,Hsieh also argued that the photogenic Ma was more style than substance.,हसीह ने यह भी तर्क दिया कि फोटोजेनिक मा पदार्थ की तुलना में अधिक शैली थी।
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","इन आरोपों के बावजूद, मा ने मुख्य भूमि चीन के साथ घनिष्ठ संबंधों की वकालत करने वाले मंच पर आसानी से जीत हासिल की।"
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज का प्लेयर ऑफ द डे वाशिंगटन कैपिटल्स का एलेक्स ओवेचकिन है।
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,उन्होंने अटलांटा थ्रेशर्स पर वाशिंगटन की 5-3 से जीत में 2 गोल और 2 असिस्ट किए।
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,"ओवेचकिन की रात की पहली असिस्ट मैच जीतने वाले गोल पर थी, जो कि नौसिखिया निकलास बैकस्ट्रॉम ने की थी।"
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","रात का उनका दूसरा गोल सीज़न का 60 वां था, 1995-96 के बाद से एक सीज़न में 60 या उससे अधिक गोल करने वाला पहला खिलाड़ी बन गया, जब जारोमिर जागर और मारियो लेमियोस प्रत्येक उस मील का पत्थर तक पहुंच गए।"
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"बैटन को 2008 की 400 सबसे अमीर अमेरिकियों की सूची में 190 वें स्थान पर रखा गया था, जिसमें अनुमानित संपत्ति 2.3 बिलियन डॉलर थी।"
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,उन्होंने 1950 में वर्जीनिया विश्वविद्यालय के कॉलेज ऑफ आर्ट्स एंड साइंसेज से स्नातक किया और उस संस्थान के लिए एक महत्वपूर्ण दाता थे।
29,Iraq's Abu Ghraib prison has been set alight during a riot.,विद्रोह के दौरान इराक की अबू घ्राइब जेल को आग लगा दी गई है।
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,अमेरिकी सेनाओं के कब्जे के बाद वहां कैदियों के साथ दुर्व्यवहार का पता चलने के बाद जेल कुख्यात हो गई।
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","पीकेट जूनियर ने 2008 के सिंगापुर ग्रैंड प्रिक्स में फर्नांडो एलोन्सो के लिए शुरुआती पिट स्टॉप के तुरंत बाद दुर्घटनाग्रस्त हो गया, जिसमें सेफ्टी कार को बाहर लाया गया।"
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","जैसे-जैसे अलोन्सो से पहले की कारें सुरक्षा कार के नीचे ईंधन के लिए चली गईं, उसने जीत हासिल करने के लिए समूह को आगे बढ़ाया।"
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,2009 के हंगेरियन ग्रैंड प्रिक्स के बाद पिकेट जूनियर को बर्खास्त कर दिया गया था।
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","ठीक सुबह 8 बजकर 46 मिनट पर शहर भर में चुप्पी छा गई, जो पहले जेट ने अपने लक्ष्य को हिट करने के सटीक क्षण को चिह्नित करती है।"
35,Two beams of light have been rigged up to point skywards overnight.,रात भर आकाश की ओर इशारा करने के लिए दो प्रकाश किरणों को तैयार किया गया है।
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","साइट पर पांच नए गगनचुंबी इमारतों का निर्माण चल रहा है, जिसके बीच में एक परिवहन केंद्र और स्मारक पार्क है।"
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","पीबीएस शो में दो दर्जन से अधिक एमी पुरस्कार हैं, और इसका रन केवल सेसम स्ट्रीट और मिस्टर रोजर्स के पड़ोस से छोटा है।"
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,शो के प्रत्येक एपिसोड में एक विशिष्ट पुस्तक में एक विषय पर ध्यान केंद्रित किया जाएगा और फिर कई कहानियों के माध्यम से उस विषय की खोज की जाएगी।
39,Each show would also provide recommendations for books that children should look for when they went to their library.,प्रत्येक शो में उन पुस्तकों के लिए भी सिफारिशें दी जाती हैं जिन्हें बच्चों को अपनी लाइब्रेरी में जाने पर देखना चाहिए।
40,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","डब्ल्यूएनईडी बफलो (रीडिंग रेनबॉउ के गृह स्टेशन) के जॉन ग्रांट ने कहा कि ""रीडिंग रेनबॉउ ने बच्चों को पढ़ाया कि क्यों पढ़ना है,... पढ़ने का प्यार  [शो] ने बच्चों को किताब लेने और पढ़ने के लिए प्रोत्साहित किया।"""
41,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",जॉन ग्रांट सहित कुछ लोगों का मानना है कि वित्तीय संकट और शैक्षिक टेलीविजन प्रोग्रामिंग के दर्शन में बदलाव दोनों ने श्रृंखला को समाप्त करने में योगदान दिया।
42,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",पूर्वानुमानकर्ताओं का कहना है कि केप वर्डे द्वीप समूह के पश्चिम में लगभग 1040 किलोमीटर की दूरी पर स्थित इस तूफान को किसी भी भूमि क्षेत्र को खतरे में डालने से पहले खत्म होने की संभावना है।
43,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,फ्रेड वर्तमान में 105 मील प्रति घंटे (165 किमी/घंटा) की गति से हवाएं बह रही हैं और वह उत्तर-पश्चिम की ओर बढ़ रही हैं।
44,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","सैटेलाइट छवियों के आगमन के बाद से अटलांटिक महासागर में दक्षिण और पूर्व में अब तक का सबसे मजबूत उष्णकटिबंधीय चक्रवात फ्रेड है, और केवल 35°W के पूर्व में रिकॉर्ड किया गया तीसरा बड़ा तूफान है।"
45,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","24 सितंबर, 1759 को, आर्थर गिनीज ने आयरलैंड के डबलिन में सेंट जेम्स गेट ब्रुअरी के लिए 9,000 साल के पट्टे पर हस्ताक्षर किए।"
46,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 साल बाद, गिनीज एक वैश्विक व्यवसाय बन गया है जो हर साल 10 बिलियन यूरो (14.7 बिलियन अमेरिकी डॉलर) से अधिक का कारोबार करता है।"
47,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",ए1जीपी न्यूजीलैंड टीम के सह-चालक जोनी रीड ने आज न्यूजीलैंड के 48 वर्षीय ऑकलैंड हार्बर ब्रिज पर सबसे तेज ड्राइव करके इतिहास रचा है।
48,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","श्री रीड ने न्यूजीलैंड की A1GP कार, ब्लैक ब्यूटी को 160 किमी/घंटे से अधिक की गति से पुल से सात बार पार करने में कामयाब रहा।"
49,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","न्यूजीलैंड पुलिस को यह देखने के लिए अपनी स्पीड रडार बंदूकों का उपयोग करने में कठिनाई हुई कि श्री रीड कितनी तेजी से जा रहा था क्योंकि ब्लैक ब्यूटी कितनी कम है, और एकमात्र बार पुलिस श्री रीड को घड़ी करने में कामयाब रही जब वह 160 किमी / घंटा तक धीमा हो गया।"
50,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","पिछले 3 महीनों में, 80 से अधिक गिरफ्तारियों को बिना किसी औपचारिक आरोप के सेंट्रल बुकिंग सुविधा से रिहा कर दिया गया है।"
51,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","इस वर्ष अप्रैल में, न्यायाधीश ग्लीन ने उन लोगों को रिहा करने के लिए एक अस्थायी पुनर्वास आदेश जारी किया, जिन्हें 24 घंटे से अधिक समय के बाद रिहा किया गया था, जिन्हें अदालत के आयुक्त द्वारा सुनवाई नहीं मिली थी।"
52,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","आयुक्त जमानत तय करता है, यदि दी जाती है, और गिरफ्तार करने वाले अधिकारी द्वारा दायर आरोपों को औपचारिक रूप देता है। फिर आरोपों को राज्य की कंप्यूटर प्रणाली में दर्ज किया जाता है जहां मामले को ट्रैक किया जाता है।"
53,The hearing also marks the date for the suspect’s right to a speedy trial.,सुनवाई संदिग्ध के शीघ्र सुनवाई के अधिकार की तारीख को भी चिह्नित करती है।
54,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",ऑस्ट्रेलिया के खजानेदार और प्रधानमंत्री जॉन हॉवर्ड के बाद लिबरल पार्टी के नेता के रूप में सबसे अधिक संभावना रखने वाले व्यक्ति पीटर कॉस्टेलो ने ऑस्ट्रेलिया में परमाणु ऊर्जा उद्योग के पीछे अपना समर्थन फेंक दिया है।
55,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","श्री कॉस्टेलो ने कहा कि जब परमाणु ऊर्जा उत्पादन आर्थिक रूप से व्यवहार्य हो जाएगा, तो ऑस्ट्रेलिया को इसका उपयोग करना चाहिए।"
56,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","श्री कोस्टेलो ने कहा, ""यदि यह वाणिज्यिक हो जाता है, तो हमें इसे प्राप्त करना चाहिए। यही है, परमाणु ऊर्जा के प्रति सिद्धांत रूप में कोई आपत्ति नहीं है।"
57,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","अंसा के अनुसार, ""पुलिस को कुछ शीर्ष स्तर की हिटों से चिंता थी, जिससे उन्हें डर था कि यह उत्तराधिकार के पूर्ण युद्ध की शुरुआत कर सकता है।"
58,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,पुलिस ने कहा कि लो पिक्कोलो के पास ऊपर का हाथ था क्योंकि वह पलेर्मो में प्रोवेंज़ानो के दाहिने हाथ थे और उनके बड़े अनुभव ने उन्हें बुजुर्ग पीढ़ी के मालिकों का सम्मान दिलाया क्योंकि उन्होंने प्रोवेंज़ानो की नीति का पालन किया कि वे अपने बिजली नेटवर्क को मजबूत करते हुए जितना संभव हो उतना कम रखें।
59,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","इन बॉस को प्रोवेंज़ानो द्वारा नियंत्रित किया गया था जब उन्होंने 1992 में माफिया क्रूसेडर्स जियोवानी फाल्कोने और पाउलो बोर्सेलिनो की जान लेने वाले राज्य के खिलाफ रीना-चालित युद्ध को समाप्त कर दिया था। """
60,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,एप्पल के सीईओ स्टीव जॉब्स ने मंच पर चलकर अपने जींस जेब से आईफोन निकालकर डिवाइस का अनावरण किया।
61,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","अपने 2 घंटे के भाषण के दौरान उन्होंने कहा कि ""आज Apple फोन को फिर से आविष्कार करने जा रहा है, हम आज इतिहास बनाने जा रहे हैं। """
62,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","ब्राजील पृथ्वी पर सबसे बड़ा रोमन कैथोलिक देश है, और रोमन कैथोलिक चर्च ने लगातार देश में समलैंगिक विवाह को वैध बनाने का विरोध किया है।"
63,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","ब्राजील की राष्ट्रीय कांग्रेस ने 10 वर्षों से वैधता पर बहस की है, और इस प्रकार की नागरिक विवाह वर्तमान में केवल रियो ग्रांडे डू साउल में वैध हैं।"
64,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.","मूल विधेयक साओ पाउलो के पूर्व मेयर मार्टा सुप्लिसी द्वारा तैयार किया गया था। प्रस्तावित कानून, संशोधित होने के बाद, अब रॉबर्टो जेफरसन के हाथों में है।"
65,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,प्रदर्शनकारियों को उम्मीद है कि नवंबर में राष्ट्रीय कांग्रेस में पेश करने के लिए 1.2 मिलियन हस्ताक्षरों की एक याचिका एकत्र की जाएगी।
66,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","यह स्पष्ट होने के बाद कि कई परिवारों ने निकासी से लड़ने के लिए कानूनी मदद मांगी थी, 20 मार्च को ईस्ट बे कम्युनिटी लॉ सेंटर में आवास घोटाले के पीड़ितों के लिए एक बैठक आयोजित की गई।"
67,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","जब किरायेदारों ने उनके साथ जो हुआ था उसे साझा करना शुरू कर दिया, तो इसमें शामिल अधिकांश परिवारों को अचानक एहसास हुआ कि ओएचए की कैरोलीन विल्सन ने उनकी सुरक्षा डिपॉजिट चुरा ली थी, और शहर से भाग गई थी।"
68,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.","लॉकवुड गार्डन के किरायेदारों का मानना है कि 40 या उससे अधिक परिवारों को निकासी का सामना करना पड़ सकता है, क्योंकि उन्हें पता चला कि ओएचए पुलिस ओकलैंड में अन्य सार्वजनिक आवास संपत्तियों की भी जांच कर रही है जो आवास घोटाले में फंस सकती हैं।"
69,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","बैंड ने माऊई के वॉर मेमोरियल स्टेडियम में शो को रद्द कर दिया, जिसमें 9,000 लोगों की उपस्थिति होनी थी, और प्रशंसकों से माफी मांगी।"
70,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","बैंड की प्रबंधन कंपनी, एचके मैनेजमेंट इंक, ने 20 सितंबर को रद्द करने का कोई प्रारंभिक कारण नहीं दिया, लेकिन अगले दिन तक रसद कारणों का आरोप लगाया।"
71,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.","मशहूर यूनानी वकीलों साकीस केचागियोग्लू और जॉर्ज निकोलाकोपुलस को एथेंस की जेल कोरिडालस में कैद कर दिया गया है, क्योंकि उन्हें भ्रष्टाचार और भ्रष्टाचार का दोषी पाया गया है।"
72,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","इसके परिणामस्वरूप, पिछले वर्षों में न्यायाधीशों, वकीलों, अधिवक्ताओं और वकीलों द्वारा किए गए अवैध कार्यों के उजागर के माध्यम से ग्रीक कानूनी समुदाय के भीतर एक बड़ा घोटाला उठाया गया है।"
73,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","कुछ हफ़्ते पहले, अल्फा टीवी पर अपने लोकप्रिय टेलीविजन शो ""ज़ोंगला"" में पत्रकार मकीस ट्रायंटाफिलोपोलोस द्वारा प्रकाशित जानकारी के बाद, संसद सदस्य और वकील, पेट्रोस मंटुवलोस को पद छोड़ दिया गया था क्योंकि उनके कार्यालय के सदस्यों को अवैध भ्रष्टाचार और भ्रष्टाचार में शामिल किया गया था।"
74,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","इसके अलावा, सर्वोच्च न्यायाधीश ईवांगेलोस कैलोसिस को भ्रष्टाचार और विकृत व्यवहार के लिए दोषी पाया गया है।"
75,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","रॉबर्ट्स ने दृढ़ता से यह बताने से इनकार कर दिया कि उनका मानना है कि जीवन कब शुरू होता है, गर्भपात के नैतिकता पर विचार करते समय एक महत्वपूर्ण प्रश्न, यह कहते हुए कि संभावित मामलों के विवरण पर टिप्पणी करना अनैतिक होगा।"
76,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","उन्होंने, हालांकि, अपने पहले के बयान को दोहराया कि रू बनाम वेड ""देश का स्थिर कानून"" था, सर्वोच्च न्यायालय के लगातार फैसलों के महत्व पर जोर देते हुए।"
77,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,"उन्होंने यह भी पुष्टि की कि वह गोपनीयता के अंतर्निहित अधिकार में विश्वास करते हैं, जिस पर रो निर्णय निर्भर करता है।"
78,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.","मारोचिडोर सीढ़ी के शीर्ष पर समाप्त हो गया था, दूसरा नोसा से छह अंक दूर था।"
79,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,दोनों पक्ष प्रमुख सेमीफाइनल में मिलेंगे जहां नोसा ने विजेताओं को 11 अंकों से बाहर कर दिया।
80,Maroochydore then defeated Caboolture in the Preliminary Final.,मारोचिडोर ने इसके बाद प्रारंभिक फाइनल में कैबोल्टूर को हराया।
81,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,Hesperonychus elizabethae Dromaeosauridae परिवार की एक प्रजाति है और Velociraptor का एक चचेरा भाई है .
82,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","माना जाता था कि यह पूरी तरह से पंखों वाला, गर्म खून वाला शिकार पक्षी वेलोसिराप्टर की तरह पंजे के साथ दो पैरों पर सीधा चल रहा था।"
83,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","इसका दूसरा घूँघट बड़ा था, जिससे नाम हेस्पेरोनिकस पैदा हुआ जिसका अर्थ है ""पश्चिमी घूँघट""।"
84,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","क्रशिंग बर्फ के अलावा, चरम मौसम की स्थिति बचाव प्रयासों को बाधित कर रही है।"
85,Pittman suggested that conditions wouldn't improve until sometime next week.,पिटमैन ने सुझाव दिया कि अगले सप्ताह तक स्थिति में सुधार नहीं होगा।
86,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.","पिटमैन के अनुसार, पैक आइस की मात्रा और मोटाई पिछले 15 वर्षों में सीलर्स के लिए सबसे खराब है।"
87,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,रेड लेक समुदाय में आज खबर फैल गई जब जेफ वेइस और नौ पीड़ितों में से तीन के लिए अंतिम संस्कार आयोजित किए गए थे कि 21 मार्च को स्कूल में गोलीबारी के संबंध में एक और छात्र को गिरफ्तार किया गया था।
88,Authorities said little officially beyond confirming today's arrest.,अधिकारियों ने आज की गिरफ्तारी की पुष्टि करने के अलावा आधिकारिक तौर पर कुछ नहीं कहा।
89,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","हालांकि, जांच के बारे में जानकारी रखने वाले एक सूत्र ने मिनेपोलिस स्टार-ट्रिब्यून को बताया कि यह रेड लेक ट्राइबल के अध्यक्ष फ्लॉयड जॉर्डन के 16 वर्षीय बेटे लुई जॉर्डन थे।"
90,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,इस समय यह ज्ञात नहीं है कि कौन से आरोप लगाए जाएंगे या अधिकारियों ने लड़के के लिए क्या नेतृत्व किया है लेकिन संघीय अदालत में नाबालिगों की कार्यवाही शुरू हो गई है।
91,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,लोडिन ने यह भी कहा कि अधिकारियों ने अफगानों को एक और चुनाव के खर्च और सुरक्षा जोखिम से बचाने के लिए चुनाव रद्द करने का फैसला किया।
