id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",月曜日 スタンフォード大学医学部の科学者たちは 細胞をタイプ別に分類できる 新しい診断ツールを発明したことを発表しました 標準的なインクジェットプリンターで 印刷できる小さなチップです
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","これは低所得国におけるがん,結核,HIV,マラリアの早期発見をもたらし 乳がんなどの病気の生存率は裕福な国の半分である可能性があると 主要な研究者は言う."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripenは現地時間 (0230 UTC) で午前9時30分ごろにランウェイに墜落し,爆発し,空港を商用フライトに閉じました."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,飛行士はディロクリト・パタヴェー・エスキャドロンの指揮官として特定された.
4,Local media reports an airport fire vehicle rolled over while responding.,地元のメディアは 空港の消防車が 反応中に転がったと報じている.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28歳のヴィダルは3シーズン前にシベリアからバルサに参戦した.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","カタルーニャの首都に引っ越して以来,ヴィダルはクラブで49試合をプレイしていた."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",抗議は現地時間11時ごろ (UTC+1) に始まった.
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",11時過ぎに 抗議者は ホワイトホールで北に向かう車に 交通を遮断しました
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11時20分 に 警察 は 抗議 者 たち に 歩行道 に 戻る よう 要求 し,抗議 権 と 交通 増加 を 均衡 する 必要 が ある と 述べ まし た."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","11時29分頃には,抗議はホワイトホール,トラファルガー広場を過ぎ,ストランド沿い,オールドウィッチを通り,キングスウェイを上り, 保守党がグランド・コナットルームホテルで春のフォーラムを開催していたホルボーンに向かいました."
11,Nadal's head to head record against the Canadian is 7–2.,ナダルはカナダ人に対して 72を記録した.
12,He recently lost against Raonic in the Brisbane Open.,彼は最近ブリスベンオープンでラオニックに負けた.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"ナダルは試合で88%の純ポイントを獲得し,ファーストサーフで76ポイントを獲得した."
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","試合の後 クレイ・キングは""最も重要なイベントの最終回に出場できて興奮しています この試合に勝つためにここにいます""と言いました"
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""パナマ・ペーパーズ""は,パナマの法律事務所 モサック・フォンセカのおよそ100万件の文書を総称し,2016年春に報道に漏洩した."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,文書は14の銀行が 富裕層のお客様に 税金やその他の規制を回避するために 数十億ドルもの富を隠すのを手伝ったことを示した.
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"イギリスのガーディアン紙は ドイツ銀行が これを達成するために使った 1200 件のシェル企業のうち 約3分の""を 支配していると示唆した."
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",アイスランドとパキスタンの政府首脳は 辞職した.
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","香港で生まれ,マはニューヨーク大学とハーバード法学園で学び,かつてアメリカの永久居住者""グリーンカード""を保有していた."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsiehは選挙中にマが危機の時に国から逃れるかもしれないと暗示した.
21,Hsieh also argued that the photogenic Ma was more style than substance.,"Hsiehはまた,光学的Maは物質よりもスタイルのものであると主張した."
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","これらの非難にもかかわらず,マは中国大陸との密接な関係を主張するプラットフォームで簡単に勝利しました."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,今日の選手はワシントン・キャピタルのアレックス・オベッチンです
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,ワシントンがアトランタ・トラッシャーズに5-3で勝利したときに 2つのゴールと2つのアシストを記録した.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,ウエッチキンの最初のアシストは 新人ニックラス・バックストロムのゴールでした
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","1995-96年以降,ジャロミール・ジャガーとマリオ・レミエスはそれぞれそのマイルストーンに達した."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"バッテン氏は,2008年の400人の最も裕福なアメリカ人のリストで 190位で 23億ドルの資産を推定した."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,"彼は1950年にバージニア大学の芸術科学大学を卒業し,その機関に重要な寄付者でした."
29,Iraq's Abu Ghraib prison has been set alight during a riot.,イラクのアブ・グレイブ刑務所は暴動で燃やされた.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,囚人の虐待が発見された後 刑務所は悪名高いようになりました
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","ピケ・ジュニアは2008年のシンガポールグランプリで事故を起こし,フェルナンド・アロンソの早期ピットストップの後,安全車を引いた."
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",アロンソが安全車の下に 燃料を入れると 彼は勝利を収めるために 群れの上を移動した.
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,"2009年ハンガリーグランプリの後,ピケ・ジュニアは解雇された."
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",正確に午前8時46分に 街中に静寂が広がり 最初のジェットが標的を撃った瞬間を標的にしました
