id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","월요일, 스탠퍼드 대학교 의과대학 과학자들은 세포를 유형별로 분류할 수 있는 새로운 진단 도구의 발명을 발표했습니다."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","주요 연구자들은 이것이 암, 결핵, HIV 및 말라리아의 조기 발견을 저소득 국가의 환자들에게 가져올 수 있다고 말합니다."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",JAS 39C Gripen는 현지 시간으로 오전 9시 30분쯤 경로로 추락하여 폭발하여 공항을 상업 항공편으로 폐쇄했다.
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,조종사는 델로크리트 파타베이 스쿼드 리더로 확인됐습니다.
4,Local media reports an airport fire vehicle rolled over while responding.,현지 언론은 공항 화재 차량이 대응하는 동안 회전했다고 보도했습니다.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28살인 비달은 세비야에서 3시즌 전 바르사에 입단했다.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",카탈루냐 수도로 이적한 이후 비달은 49경기에 출전했다.
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",시위는 현지 시간으로 11시경 (UTC+1) 와이트홀에서 총리의 공식 거주지인 다우닝 스트리트의 경찰 보호 입구 반대편에서 시작되었습니다.
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","11시 직후, 시위대는 화이트홀의 북쪽으로 가는 차에서 교통을 차단했습니다."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","경찰은 11시 20분께 시위대들에게 통행으로 돌아가는 것을 요청했고, 시위권과 교통량이 증가하는 것을 균형 잡아야 한다고 말했습니다."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","11시 29분쯤, 시위는 트래팔거 광장을 지나, 스트랜드를 지나, 올드위크를 지나, 킹스웨이를 거쳐 홀본으로 이동했습니다. 보수당은 그랜드 코나우트룸스 호텔에서 스프링 포럼을 개최했습니다."
11,Nadal's head to head record against the Canadian is 7–2.,나달의 캐나디언과의 헤드-가-헤드 기록은 72입니다.
12,He recently lost against Raonic in the Brisbane Open.,그는 최근 브리즈번 오픈에서 라오닉에 패했다.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"나달은 경기에서 88%의 순점을 기록했고, 첫 선전에서 76점을 획득했다."
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","경기가 끝난 후, 클레이 킹은 ""나는 가장 중요한 이벤트의 마지막 라운드에 돌아온 것에 흥분하고 있습니다."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""파나마 문서""는 2016년 봄에 언론에 유출된 파나마 로스앤젤레스 모사크 폰세카의 약 10백만 개의 문서에 대한 총칭이다."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,문서들은 14개의 은행이 부유한 고객들에게 세금과 다른 규제를 피하기 위해 수십억 달러의 부를 숨기도록 도와주었다는 것을 보여주었습니다.
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,영국 신문인 가디언 (The Guardian) 은 도이치 은행이 이를 달성하기 위해 사용된 1200개의 셸 회사 중 약 3분의 1을 통제했다고 제안했습니다.
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","전세계적으로 시위가 있었고, 여러 차례 형사처벌이 있었고, 아이슬란드와 파키스탄 정부의 지도자들은 모두 사퇴했습니다."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","홍콩에서 태어난 마는 뉴욕 대학교와 하버드 로스쿨에서 공부했으며 한때 미국 영주권 ""녹색 카드""를 보유했다."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh는 선거 기간 동안 마가 위기 상황에서 나라를 탈출할 수 있다고 암시했습니다.
21,Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh는 또한 광성 Ma가 물질보다 스타일이라고 주장했다.
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","이러한 비난에도 불구하고, Ma는 중국 본토와 더 긴밀한 관계를 주장하는 플랫폼에서 편리하게 승리했습니다."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,오늘의 선수가 워싱턴 캐피탈스의 알렉스 오브치킨입니다.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,그는 애틀랜타 트래셔스에 대한 워싱턴의 5-3 승부에서 2골 2어시스트를 기록했다.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,오브치킨의 첫 번째 어시스트는 신인 닉라스 백스트롬의 경기 우승 골로
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","야간의 두 번째 골은 시즌의 60번째 골로 1995-96년 이후 한 시즌에서 60골 이상의 골을 넣은 첫 번째 선수가 되면서, 자로미르 자그르와 마리오 레미우스가 각각 그 랜드마크를 달성했다."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"배튼은 2008년 미국에서 가장 부유한 400명의 명단에 190위를 차지했고, 23억 달러의 재산으로 추산되었다."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,그는 1950년 버지니아 대학의 예술과 과학 대학을 졸업하고 그 기관에 중요한 기부자였습니다.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,이라크의 아부그라이브 감옥은 폭동 때 불태워졌습니다.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,이 감옥은 미국군이 장악을 차지한 후 포로 학대가 발견되면서 악명 높은 곳으로 알려졌다.
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",피켓 주니어는 2008년 싱가포르 그랑프리에서 페르난도 알론소에게 이른 시점 정차를 찍은 직후 사고를 당해 안전차를 꺼내버렸다.
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","알론소 앞의 차들이 안전차 아래에서 연료로 들어갔을 때, 그는 승리로 올라갔다."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,피켓 주니어는 2009년 헝가리 그랑프리 이후 해고되었다.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","정확히 오전 8시 46분쯤에 도시 곳곳에 침묵이 쏟아졌고, 첫 번째 제트기가 목표물을 때린 순간이 정확히 나타났습니다."
35,Two beams of light have been rigged up to point skywards overnight.,두 개의 빛줄이 밤새 하늘로 향하도록 기조되었습니다.
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","현장에는 5개의 새로운 고층 건물이 건설되고 있으며, 중간에 교통센터와 기념공원이 있습니다."
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","PBS 쇼는 12개 이상의 에미 시상식을 받았으며, 연기는 세셈 스트리트와 미스터 로저스 이웃보다 짧습니다."
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,쇼의 각 에피소드는 특정 책에서 한 주제에 초점을 맞추고 여러 이야기를 통해 그 주제를 탐구합니다.
39,Each show would also provide recommendations for books that children should look for when they went to their library.,각 공연은 또한 어린이들이 도서관에 갈 때 찾아야 할 책들을 위한 추천을 제공했습니다.
40,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","WNED 버팔로 (레딩 레인보우의 홈 방송국) 에서 온 존 그랜트는 ""레딩 레인보우는 아이들에게 왜 읽어야 하는지 가르쳐줬다."
41,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",존 그랜트를 비롯한 몇몇 사람들은 재정난과 교육 텔레비전 프로그램의 철학의 전환이 시리즈를 끝내는 데 기여했다고 믿습니다.
42,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",케이프 베르데 섬에서 서쪽으로 약 1040 킬로미터 떨어진 곳에 위치한 폭풍은 어떤 육지 지역을 위협하기 전에 가라앉을 것으로 보인다.
43,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,프레드는 현재 시속 165km의 바람을 일으키고 북서쪽으로 움직이고 있습니다.
44,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",프레드는 인공위성 이미지의 등장 이후 대서양에서 남쪽과 동쪽으로 기록된 가장 강력한 열대 태풍이며 35° 서쪽에서 기록된 세 번째로 큰 태풍입니다.
45,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","1759년 9월 24일, 아서 기네스는 아일랜드 더블린에 있는 세인트 제임스 게이트 맥주 공장에 9,000년 임대 계약을 체결했다."
46,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250년 후, 기네스는 매년 10억 유로 (약 1470억 달러) 이상의 매출을 올리는 세계적인 기업으로 성장했습니다."
47,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",뉴질랜드 A1GP 팀의 공동 운전자 조니 리드는 오늘 뉴질랜드 오클랜드 하버 브릿지를 합법적으로 48년 만에 가장 빠르게 운전함으로써 역사를 썼다.
48,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",리드 씨는 뉴질랜드의 A1GP 차인 블랙뷰티를 시속 160km 이상의 속도로 7번 다리를 넘어서주었습니다.
49,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",뉴질랜드 경찰은 스피드 레이더 총을 사용하여 리드 씨가 얼마나 빨리 가는지 확인하는데 어려움을 겪었습니다. 블랙뷰티가 얼마나 낮았는지에 대해요. 그리고 경찰이 리드 씨를 시계를 잡을 수 있었던 것은 그가 160km/h로 느려졌을 때였습니다.
50,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",지난 3개월 동안 중앙 예약 시설에서 체포된 80명 이상이 공식적으로 기소되지 않고 석방되었습니다.
51,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","올해 4월, 그린 판사가 이 시설에 대한 임시 재구속 명령을 내렸습니다. 이 시설은 24시간 이상 수감된 후 법원 위원장이 청문회를 받지 않은 사람들을 석방하도록 강요했습니다."
52,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",위원회는 보증금을 정하고 체포하는 공무원이 제기한 혐의를 공식화하고 그 다음 사건의 추적이 이루어지는 국가의 컴퓨터 시스템에 입력합니다.
53,The hearing also marks the date for the suspect’s right to a speedy trial.,청문회 또한 용의자가 신속한 재판을 받을 권리가 있는 날짜입니다.
54,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",오스트레일리아의 재무장관인 피터 코스텔로 (Peter Costello) 와 자유당 지도자로 존 하워드 총리를 후속할 가능성이 높은 사람은 오스트레일리아의 원자력 산업에 대한 지지를 던졌습니다.
55,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",코스텔로 씨는 핵발전이 경제적으로 실행가능해질 때 호주가 핵발전 사용을 계속해야 한다고 말했습니다.
56,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","코스텔로 씨 는 ""만약 상업적 인 경우, 우리는 그것을 가져야 한다. 즉, 원자력 에너지 에 대한 원칙적 인 반발은 없다""고 말했다."
57,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","안사에 따르면, ""경찰은 몇 번의 최고 수준의 공격에 대해 우려했습니다."
58,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,경찰은 로 피콜로가 팔레르모에서 프로벤자노의 오른손을 맡았기 때문에 우위를 점했고 그의 더 큰 경험은 프로벤자노의 정책에 따라 자신의 전력망을 강화하면서 가능한 한 낮게 유지하면서 더 오래된 세대의 상원의 존경을 얻었다고 말했습니다.
59,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","이 보스는 1992년 마피아 십자군인 조반니 팔코네와 파올로 보르셀리노의 목숨을 앗아간 국가와의 리나 주도의 전쟁을 종식시키면서 프로벤자노에 의해 억제되었다""."
60,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,애플의 CEO 스티브 잡스는 무대에 올라 자신의 청바지 주머니에서 아이폰을 꺼내 기기를 공개했습니다.
61,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","2시간 동안의 연설에서 그는 ""오늘 애플은 전화를 재발견할 것이고, 오늘 우리는 역사를 만들 것입니다"".라고 밝혔다."
62,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","브라질은 지구상에서 가장 큰 로마 가톨릭 국가이며, 로마 가톨릭 교회는 국내에서 동성결혼을 합법화하는 것에 지속적으로 반대했습니다."
63,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.","브라질 국회는 10년 동안 합법화를 논의해왔고, 현재는 이 같은 시민결혼은 리오 그란데 도 수르에서만 합법적이다."
64,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",원래의 법안은 상파울루의 전 시장인 마르타 서플리시가 작성했다. 개정된 후 제안된 법안은 이제 로베르토 제퍼슨의 손에 있다.
65,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,시위자들은 11월에 국회에 제출하기 위해 120만명의 서명된 청원을 수집하기를 희망합니다.
66,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",많은 가족들이 추방에 대항하기 위해 법적 도움을 요청하고 있다는 사실이 밝혀지자 3월 20일 이스트 베이 커뮤니티 로스 센터에서 주택 사기 피해자들을 위한 회의가 열렸다.
67,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","집주민들이 그들에게 일어난 일을 나누기 시작했을 때, 관련된 대부분의 가족들은 갑자기 OHA의 캐롤린 윌슨이 그들의 보증금을 훔쳐서 도시를 떠났다는 것을 깨달았습니다."
68,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",로크우드 가든스의 임차인들은 40개 이상의 가족들이 추방에 직면할 수 있다고 믿고 있습니다. 왜냐하면 그들은 OHA 경찰이 오클랜드의 다른 공공 주택 부동산도 조사하고 있다는 것을 알게 되었기 때문입니다.
69,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","밴드는 9,000명이 참석할 예정이었던 마우이의 워 메모리얼 스타디움에서 공연을 취소하고 팬들에게 사과했다."
70,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",밴드의 매니지먼트 회사인 HK 매니지먼트는 9월 20일에 취소한 첫 번째 이유를 밝히지 않았지만 다음 날까지 물류적인 이유로 비난했다.
71,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",유명한 그리스 변호사인 사키스 케카지오글루와 조지 니콜라코폴루스는 아테네의 코리달루스 교도소에 수감됐습니다.
72,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","그 결과, 그리스 법계의 큰 스캔들은 지난 몇 년 동안 재판관, 변호인, 변호사 및 변호사들이 저지른 불법 행위의 폭로로 제기되었습니다."
73,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","몇 주 전, 언론인 마키스 트리안타필로폴로스가 알파 TV에서 인기 있는 텔레비전 프로그램 ""조글라""에서 발표한 정보에 따라 국회의원이자 변호사인 페트로스 만투발로스는 그의 사무실의 구성원들이 불법적인 부패와 부패에 관여했기 때문에 사임에서 물러났다."
74,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",또한 최고 재판관 에반젤로스 칼로우시스는 부패와 타락한 행동에 대해 유죄로 인정받아 감옥에 갇혀 있습니다.
75,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","로버트스는 낙태의 윤리론을 고려할 때 중요한 질문인 생명체가 언제 시작되는지에 대해 밝히지 않으려 했고, 유력한 사례에 대한 구체적인 사항에 대해 논평하는 것은 윤리적이지 않을 것이라고 말했습니다."
76,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","그러나 그는 Roe v.Wade가 ""국가의 확고한 법률""이라는 그의 이전 발언을 반복하면서 일관된 대법원 판결의 중요성을 강조했습니다."
77,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,그는 또한 로의 결정이 의존하는 사생활에 대한 직관적인 권리를 믿었다는 것을 확인했습니다.
78,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",마루키도르는 나우사에서 6점 떨어져 계단 꼭대기에 머물렀습니다.
79,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,두 팀은 메이저 준결승에서 만나게 될 것입니다.
80,Maroochydore then defeated Caboolture in the Preliminary Final.,마루키도르는 그 후 선발 결승에서 카보울투르를 꺾었다.
81,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,"헤스페로니쿠스 엘리자베타에 (Hesperonychus elizabethae) 는 드로마오사우리idae과에 속하는 종이며 , 베로시라포터의 사촌이다 ."
82,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","이 완전히 깃털, 따뜻한 피의 먹기 새는 Velociraptor와 같은 손톱을 가진 두 다리로 똑바로 걷는 것으로 믿어졌습니다."
83,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","그 두 번째 손톱은 더 커서 ""서양 손톱""이라는 뜻의 헤스페로니쿠스 (Hesperonychus) 라는 이름을 갖게 되었다."
84,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위 추위
85,Pittman suggested that conditions wouldn't improve until sometime next week.,피트먼은 다음주까지 상황이 나아지지 않을 것이라고 제안했습니다.
86,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",피트먼에 따르면 팩 얼음의 양과 두께는 지난 15년 동안 기꾼들에게 가장 나쁘다.
87,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,오늘 레드레이크 지역사회에서 Jeff Weise의 장례식이 열렸으며 9명의 희생자 중 3명은 3월 21일 학교 총기 난사 사건과 관련해 다른 학생이 체포됐다는 소식이 전해졌습니다.
88,Authorities said little officially beyond confirming today's arrest.,당국은 오늘 체포를 확인하는 것 이외에 공식적으로 거의 말하지 않았습니다.
89,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","그러나 조사에 대해 알고 있는 소식통은 미니애폴리스 스타트트ribune에 16살의 루이스 조르데인, 레드 레이크 부족 회장 플로이드 조르데인의 아들이라고 말했다."
90,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,현재 어떤 혐의가 제기될 것인지 또는 어떤 이유로 당국이 소년을 체포했는지는 알려지지 않았지만 미성년자 재판이 연방법원에서 시작되었습니다.
91,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,로딘은 또 다른 선거의 비용과 보안 위험을 아프가니스탄 사람들에게 절약하기 위해 당국자들은 대선을 취소하기로 결정했다고 말했습니다.
92,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,외교관들은 아프가니스탄 헌법에서 두드러움을 충분히 발견했다고 말했습니다.
93,"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.","이것은 이전 보고서와 모순되는데, 이 대결을 취소하는 것은 헌법에 위배된 것이라고 했습니다."
94,The aircraft had been headed to Irkutsk and was being operated by interior troops.,이 항공기는 이르쿠츠크로 향하고 있었고 내부 군대가 운용하고 있었다.
95,An inquiry was established to investigate.,조사하기 위해 조사가 시작되었습니다.
96,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",이일-76은 1970년대부터 러시아와 소련의 군대의 주요 구성요소였으며 지난달 러시아에서 심각한 사고가 발생했습니다.
97,"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.",10월 7일 착륙 중엔 엔진이 부상을 입지 않고 분리됐습니다. 러시아는 이 사고 후 일-76를 잠시 지형으로 정지시켰습니다.
98,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",알래스카의 페어뱅크스 남쪽에서 수천 배럴의 원유 유출으로 800마일의 트랜스 알래스카 파이프라인 시스템이 폐쇄되었습니다.
99,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,"일상적인 방화 제어 시스템 테스트에 따른 전력 고장으로 인해 구호 밸브가 열렸고, 포트 그리리 펌프 스테이션 9 근처에서 원유가 쏟아졌다."
100,"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).","밸브 개방은 시스템에 대한 압력을 방출할 수 있었고 석유는 55,000 배럴 (230만 갤런) 를 수용할 수 있는 탱크로 패드에 흐르기도 했다."
101,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.","수요일 오후에, 탱크 내부의 열성 확장으로 인해 탱크의 공기가 여전히 누출되었습니다."
102,"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.","104,500 배럴을 수용할 수 있는 탱크 아래의 또 다른 부차적 격납 구역은 아직 용량을 채우지 않았다."
103,"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",텔레비전에서 생중계된 이 발언은 이란의 고위 소식통들이 제재가 어떤 효과를 가지고 있다고 인정하는 것은 처음이다.
