id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",Op maandag kondigden wetenschappers van de Stanford University School of Medicine de uitvinding aan van een nieuw diagnostisch hulpmiddel dat cellen per type kan sorteren: een kleine afdrukbare chip die kan worden vervaardigd met behulp van standaard inkjetprinters voor mogelijk ongeveer een Amerikaanse cent elk.
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Vooraanstaande onderzoekers zeggen dat dit kan leiden tot vroege opsporing van kanker, tuberculose, HIV en malaria bij patiënten in landen met een laag inkomen, waar de overlevingscijfers voor ziekten zoals borstkanker de helft kunnen zijn van die van rijkere landen."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","De JAS 39C Gripen crashte rond 9:30 uur lokale tijd (0230 UTC) op een landingsbaan en explodeerde, waardoor het vliegveld werd afgesloten voor commerciële vluchten."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,De piloot werd geïdentificeerd als Squadron Leader Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,Plaatselijke media berichten dat een brandweervoertuig van het vliegveld omgedraaid is tijdens het reageren.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","De 28-jarige Vidal kwam drie seizoenen geleden bij Barça, vanuit Sevilla."
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Sinds hij naar de Catalaanse hoofdstad verhuisde, had Vidal 49 wedstrijden voor de club gespeeld."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Het protest begon rond 11:00 uur lokale tijd (UTC+1) op Whitehall tegenover de door de politie bewaakte ingang van Downing Street, de officiële residentie van de premier."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Net na 11:00 uur blokkeerden demonstranten het verkeer op de wagen naar het noorden in Whitehall.
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",Om 11.20 uur vroeg de politie de demonstranten om terug te gaan naar het trottoir en ze zeiden dat ze het recht om te protesteren moesten in evenwicht brengen met het toenemende verkeer.
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Rond 11.29 uur verhuisde het protest naar Whitehall, voorbij Trafalgar Square, langs de Strand, langs Aldwych en op Kingsway richting Holborn waar de Conservatieve Partij hun Spring Forum hield in het Grand Connaught Rooms hotel."
11,Nadal's head to head record against the Canadian is 7–2.,Nadal's head-to-head record tegen de Canadees is 72.
12,He recently lost against Raonic in the Brisbane Open.,Hij verloor onlangs tegen Raonic in de Brisbane Open.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal scoorde 88% netto punten in de wedstrijd en won 76 punten in de eerste serve.
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Na de wedstrijd zei King of Clay: ""Ik ben gewoon opgewonden om terug te zijn in de laatste ronden van de belangrijkste evenementen. Ik ben hier om te proberen dit te winnen""."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" is een omvattende term voor ongeveer tien miljoen documenten van het Panamaanse advocatenkantoor Mossack Fonseca, die in het voorjaar van 2016 in de pers lekken."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,De documenten toonden aan dat veertien banken rijke klanten hielpen om miljarden Amerikaanse dollars rijkdom te verbergen om belastingen en andere regelgeving te vermijden.
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,De Britse krant The Guardian suggereerde dat Deutsche Bank ongeveer een derde van de 1200 shellbedrijven beheerde die hiervoor gebruik maakten.
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Er waren wereldwijde protesten, verschillende strafrechtelijke vervolging, en de leiders van de regeringen van IJsland en Pakistan trokken beide af."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Geboren in Hong Kong, studeerde Ma aan de Universiteit van New York en de Harvard Law School en had ooit een Amerikaanse permanente verblijfplaats ""groene kaart""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh impliceerde tijdens de verkiezingen dat Ma het land zou kunnen vluchten in een tijd van crisis.
21,Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh betoogde ook dat de fotogene Ma meer stijl dan stof was.
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",Ondanks deze beschuldigingen won Ma gemakkelijk op een platform dat voorstander was van nauwere banden met het Chinese vasteland.
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,De speler van de dag is Alex Ovechkin van de Washington Capitals.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Hij had 2 doelpunten en 2 assists in Washington's 5-3 overwinning op de Atlanta Thrashers.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkin's eerste assist van de avond was op het game-winnende doel van rookie Nicklas Backstrom;
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","zijn tweede doelpunt van de nacht was zijn 60ste van het seizoen, het wordt de eerste speler die 60 of meer doelen in een seizoen sinds 1995-96, toen Jaromir Jagr en Mario Lemieux elk bereikte die mijlpaal."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten stond op de 190e plaats op de lijst van de rijkste 400 Amerikanen in 2008 met een geschatte fortuin van 2,3 miljard dollar."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Hij studeerde af aan het College of Arts & Sciences van de Universiteit van Virginia in 1950 en was een belangrijke donor voor die instelling.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,De Iraakse gevangenis Abu Ghraib is in brand gestoken tijdens een opstand.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,De gevangenis werd berucht nadat er misbruik van gevangenen werd ontdekt nadat de Amerikaanse troepen het overnamen.
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",Piquet Jr. crashte in de Grand Prix van Singapore in 2008 vlak na een vroege pitstop voor Fernando Alonso.
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Terwijl de auto's voor Alonso brandstof kregen onder de veiligheidswagen, stapte hij om de overwinning te behalen."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. werd ontslagen na de Grand Prix van Hongarije in 2009.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Om precies 8:46 uur in de ochtend viel er een stilte over de stad, wat het exacte moment markeert dat de eerste jet zijn doelwit raakte."
