id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","W poniedziałek naukowcy z Stanford University School of Medicine ogłosili wynalezienie nowego narzędzia diagnostycznego, które może sortować komórki według rodzaju: mały, drukowalny chip, który może być wytwarzany przy użyciu standardowych drukarek przenikających atrament za około jeden cent."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Wiodący naukowcy twierdzą, że może to doprowadzić do wczesnego wykrywania raka, gruźlicy, wirusa HIV i malarii u pacjentów w krajach o niskim dochodzie, gdzie wskaźniki przeżycia chorób takich jak rak piersi mogą wynosić połowę niż w bogatszych krajach."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripen spadł na pas startowy około 9:30 rano (0230 UTC) i wybuchł, zamykając lotnisko dla lotów komercyjnych."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Pilot został zidentyfikowany jako przywódca szwadry Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,"Lokalne media informują, że pojazd pożarowy na lotnisku przewrócił się podczas reagowania."
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","28-letni Vidal dołączył do Barcelony trzy sezony temu, z Seville."
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Od czasu przeniesienia się do katalńskiej stolicy, Vidal grał 49 meczów dla klubu."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protesty rozpoczęły się około 11:00 czasu lokalnego (UTC+1) w Whitehall naprzeciw bramkowym wejściem do Downing Street, oficjalnej rezydencji premiera."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Tuż po 11:00, protestujący zablokowali ruch na północnym powozie w Whitehall."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","O godz. 11:20 policja poprosiła protestujących o powrót na chodnik, stwierdzając, że muszą zrównoważyć prawo do protestu z rosnącym ruchem."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Około 11:29 protesty ruszyły w górę Whitehall, za Trafalgar Square, wzdłuż Strand, przechodząc przez Aldwych i w górę Kingsway w kierunku Holborn, gdzie Partia Konserwatywna odbywała swój Forum wiosenny w hotelu Grand Connaught Rooms."
11,Nadal's head to head record against the Canadian is 7–2.,Rekord Nadal z Kanadyjczykiem wynosi 72.
12,He recently lost against Raonic in the Brisbane Open.,Niedawno przegrał z Raonicem w Brisbane Open.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Nadal zdobył 88% punktów netto w meczu, wygrywając 76 punktów w pierwszym serwie."
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Po meczu King of Clay powiedział: ""Jestem podekscytowany powrotem do finału najważniejszych wydarzeń."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" jest ogólnym określeniem dla około dziesięciu milionów dokumentów panamskiej kancelarii prawniczej Mossack Fonseca, wyciekanych do prasy wiosną 2016 r."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,"Dokumenty pokazują, że czternaście banków pomagało zamożnym klientom ukrywać miliardy amerykańskich dolarów, aby uniknąć podatków i innych regulacji."
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"Brytyjska gazeta The Guardian sugerowała, że Deutsche Bank kontrolował około jedną trzecią z 1200 firm używanych do tego celu."
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Były protesty na całym świecie, kilka procesów karnych, a przywódcy rządów Islandii i Pakistanu zrezygnowali."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Urodzony w Hong Kongu, Ma studiował na Uniwersytecie w Nowym Jorku i Harvard Law School i kiedyś posiadał amerykańską stałą rezydencję ""zieloną kartę""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"Hsieh sugeruje podczas wyborów, że Ma może uciec z kraju w czasie kryzysu."
21,Hsieh also argued that the photogenic Ma was more style than substance.,"Hsieh twierdził również, że fotogeniczna Ma była bardziej stylowa niż substancyjna."
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Pomimo tych oskarżeń, Ma zwyciężył z łatwością na platformie opowiadającej się za bliższymi więziami z kontynentem chińskim."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Dzisiejszym piłkarzem dnia jest Alex Ovechkin z Washington Capitals.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Miał 2 góry i 2 asysty w zwycięstwie Waszyngtonu 5-3 nad Atlanta Thrashers.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Pierwsza pomoc Ovechkin'a była w zwycięskim golie nowoczesnego Nicklasa Backstroma.
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Jego drugim golem tej nocy był jego 60. w sezonie, stając się pierwszym graczem, który zdobył 60 lub więcej golów w sezonie od 1995-96, kiedy Jaromir Jagr i Mario Lemieux każdy osiągnął ten kamień milowy."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten znalazł się na 190. miejscu na liście 400 najbogatszych Amerykanów z szacunkowym majątkiem 2,3 mld dolarów."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Ukończył Kolegium Sztuki i Nauk na Uniwersytecie Wirginii w 1950 roku i był znaczącym darcą tej instytucji.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,W irackim więzieniu w Abu Ghraib zapaliono podczas zamieszek.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,"Więzienie stało się sławne po tym, jak odkryto tam nadużycie więźniów po przejęciu przez siły amerykańskie."
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","Piquet Jr. upadł w Grand Prix w Singapurze w 2008 roku, tuż po wczesnym zatrzymaniu się w boisku Fernando Alonso, wyprowadzając samochód bezpieczeństwa."
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Kiedy samochody przed Alonso wchodziły na paliwo pod samochodem bezpieczeństwa, poszedł w górę, aby zdobyć zwycięstwo."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. został zwolniony po Grand Prix Węgier w 2009 roku.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Dokładnie o 8:46 rano w całym mieście spadła cisza, oznaczając dokładny moment, w którym pierwszy samolot uderzył w cel."
35,Two beams of light have been rigged up to point skywards overnight.,"Dwie promienie światła zostały ustawione, aby wskazywać w niebo przez noc."
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","Na miejscu trwa budowa pięciu nowych wieżowców, w środku znajdują się centrum transportowe i park pamiątkowy."
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","Program PBS ma ponad dwie tuzin nagród Emmy, a jego czas trwania jest krótszy tylko niż Sesame Street i Mister Rogers' Neighborhood."
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,"Każdy odcinek serialu skupiałby się na tematyce określonej książki, a następnie badał ten temat poprzez wiele historii."
39,Each show would also provide recommendations for books that children should look for when they went to their library.,"Każde przedstawienie zawierało również zalecenia dotyczące książek, które dzieci powinny szukać, gdy idą do swojej biblioteki."
40,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant z WNED Buffalo powiedział: ""Przeczytanie Rainbow nauczyło dzieci dlaczego czytać,... miłość do czytania  [program] zachęciła dzieci do podjęcia książki i czytania""."
41,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.","Niektórzy, w tym John Grant, uważają, że zarówno kryzys finansowy, jak i zmiana filozofii edukacyjnych programów telewizyjnych przyczyniły się do zakończenia serialu."
42,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","Według prognozistów burza, która znajduje się około 1040 kilometrów na zachód od wysp Cape Verde, prawdopodobnie się rozpłynie, zanim zagrozi jakiekolwiek tereny lądowe."
43,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,Fred ma obecnie wiatr o prędkości 105 mil na godzinę (165 km/h) i porusza się w kierunku północnego zachodu.
44,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred jest najsilniejszym huraganem tropikalnym, jaki kiedykolwiek odnotowano na południe i wschodzie Atlantyku od czasu pojawienia się zdjęć satelitarnych, i tylko trzecim największym huraganem w historii na wschód od 35°W."
45,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",24 września 1759 roku Arthur Guinness podpisał 9000-letnią umowę wynajmu na piwnicę St James's Gate w Dublinie w Irlandii.
46,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 lat później Guinness stał się globalnym przedsiębiorstwem, który rocznie obszaruje ponad 10 miliardów euro (14,7 miliarda dolarów amerykańskich)."
47,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.","Jonny Reid, współzawodnik zespołu A1GP Nowej Zelandii, zapisał dziś historię, przejeżdżając legalnie najszybciej ponad 48-letnim mostem Auckland Harbour Bridge w Nowej Zelandii."
48,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","Pan Reid zdołał jeździć Nowozelandzką autą A1GP, Black Beauty, o prędkości ponad 160 km/h siedmiokrotnie nad mostem."
49,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Policja Nowej Zelandii miała problemy z użyciem radarowych pistoletów do sprawdzenia, jak szybko pan Reid jechał z powodu niskiego poziomu Black Beauty, a policja zdołałała sprawdzić pan Reida tylko wtedy, gdy spowolnił się do 160 km/h."
50,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",W ciągu ostatnich 3 miesięcy ponad 80 aresztowanych zostało zwolnionych z centrum rezerwacji bez formalnego oskarżenia.
51,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","W kwietniu tego roku, sędzia Glynn wydał tymczasowy nakaz ponownego pozbawienia wolności w celu egzekwowania uwolnienia osób zatrzymanych ponad 24 godziny po ich przyjęciu, które nie otrzymały przesłuchania przez komisarza sądu."
52,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","Komisarz wyznacza kaucję, jeśli zostanie ona udzielona, i formalizuje zarzuty złożone przez aresztującego urzędnika."
53,The hearing also marks the date for the suspect’s right to a speedy trial.,Wysłuchanie wyznacza również datę uprawnień podejrzanego do szybkiego procesu.
54,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Peter Costello, australijski skarbca i człowiek, który najprawdopodobniej zastąpi premiera Johna Howarda jako lidera partii liberałów, rzucił swoje poparcie za przemysłem energii jądrowej w Australii."
55,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Pan Costello powiedział, że gdy wytwarzanie energii jądrowej stanie się ekonomicznie rentowne, Australia powinna kontynuować jej wykorzystanie."
56,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","""Jeśli będzie komercyjna, powinniśmy ją mieć, to znaczy, że nie ma zasadniczego sprzeciwu wobec energii jądrowej"" - powiedział pan Costello."
57,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","Według Ansy ""policja była zaniepokojona kilkoma uderzeniami z najwyższego szczebla, których obawiali się, że mogą wywołać pełną wojnę sukcesyjną."
58,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,"Policja poinformowała, że Lo Piccolo miał przewagę, ponieważ był prawej ręką Provenzana w Palermo i jego większe doświadczenie zdobyło mu szacunek starszego pokolenia szefów, którzy podążali za polityką Provenzana o zachowaniu możliwie najniższej poziomu przy jednoczesnym wzmocnieniu sieci energetycznej."
59,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","Ci szefowie zostali ograniczeni przez Provenzano, kiedy w 1992 roku zakończył wojnę prowadzoną przez Riinę przeciwko państwu, która zabiła mafiańców Giovanni Falcone i Paolo Borsellino""."
60,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,"Szef Apple Steve Jobs zaprezentował urządzenie, wchodząc na scenę i wyciągając iPhone z kieszeni dżinsów."
