id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Na segunda-feira, cientistas da Faculdade de Medicina da Universidade de Stanford anunciaram a invenção de uma nova ferramenta de diagnóstico que pode classificar células por tipo: um pequeno chip impressível que pode ser fabricado usando impressoras de jato de tinta padrão, possivelmente por cerca de um centavo cada."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Pesquisadores líderes dizem que isso pode trazer a detecção precoce de câncer, tuberculose, HIV e malária para pacientes em países de baixa renda, onde as taxas de sobrevivência de doenças como o câncer de mama podem ser metade das dos países mais ricos."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","O JAS 39C Gripen caiu em uma pista por volta das 9:30 da manhã hora local (0230 UTC) e explodiu, fechando o aeroporto para voos comerciais."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,O piloto foi identificado como o líder do esquadrão Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,A mídia local relata que um veículo de incêndio do aeroporto voltou enquanto respondeu.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Vidal, de 28 anos, juntou-se ao Barça há três temporadas, do Sevilla."
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Desde que se mudou para a capital catalã, Vidal jogou 49 jogos para o clube."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","O protesto começou por volta das 11:00 horas local (UTC+1) em Whitehall, em frente à entrada guardada pela polícia para Downing Street, a residência oficial do primeiro-ministro."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Pouco depois das 11h, os manifestantes bloquearam o tráfego na carruagem em Whitehall."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Às 11h20, a polícia pediu aos manifestantes que voltassem para a calçada, afirmando que precisavam equilibrar o direito de protestar com o aumento do tráfego."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Por volta das 11:29, o protesto avançou até Whitehall, além da Praça Trafalgar, ao longo da Strand, passando por Aldwych e até Kingsway em direção a Holborn, onde o Partido Conservador estava realizando seu Fórum da Primavera no hotel Grand Connaught Rooms."
11,Nadal's head to head record against the Canadian is 7–2.,O recorde de cabeça para cabeça de Nadal contra o canadense é de 72.
12,He recently lost against Raonic in the Brisbane Open.,Ele perdeu recentemente contra o Raonic no Brisbane Open.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal conseguiu 88% de pontos líquidos no jogo ganhando 76 pontos no primeiro serve.
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Após o jogo, o King of Clay disse: ""Estou entusiasmado por estar de volta nas finais dos eventos mais importantes. Estou aqui para tentar ganhar isto""."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" é um termo geral para cerca de dez milhões de documentos do escritório de advocacia panamenho Mossack Fonseca, vazados para a imprensa na primavera de 2016."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Os documentos mostraram que catorze bancos ajudaram clientes ricos a esconder bilhões de dólares de riqueza para evitar impostos e outras regulamentações.
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,O jornal britânico The Guardian sugeriu que o Deutsche Bank controlava cerca de um terço das 1.200 companhias utilizadas para fazer isso.
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Houve protestos em todo o mundo, várias perseguições criminais, e os líderes dos governos da Islândia e do Paquistão renunciaram."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Nascida em Hong Kong, Ma estudou na Universidade de Nova York e na Faculdade de Direito de Harvard e uma vez possuía um residente permanente americano ""green card""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh sugeriu durante a eleição que Ma poderia fugir do país durante um momento de crise.
21,Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh também argumentou que o Ma fotogênico era mais estilo do que substância.
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Apesar dessas acusações, Ma ganhou com facilidade em uma plataforma defendendo laços mais estreitos com o continente chinês."
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,O jogador do dia de hoje é Alex Ovechkin dos Capitals de Washington.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Ele teve 2 gols e 2 assistências na vitória de Washington 5-3 sobre os Atlanta Thrashers.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,A primeira assistência de Ovechkin da noite foi no gol vencedor do jogo pelo recém-chegado Nicklas Backstrom;
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Seu segundo gol da noite foi seu 60o da temporada, tornando-se o primeiro jogador a marcar 60 ou mais gols em uma temporada desde 1995-96, quando Jaromir Jagr e Mario Lemieux alcançaram cada um esse marco."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten ficou em 190o lugar na lista dos 400 americanos mais ricos de 2008 com uma fortuna estimada de 2,3 bilhões de dólares."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Ele se formou no Colégio de Artes e Ciências da Universidade da Virgínia em 1950 e foi um doador significativo para essa instituição.
29,Iraq's Abu Ghraib prison has been set alight during a riot.,A prisão de Abu Ghraib no Iraque foi incendiada durante um tumulto.
30,The jail became notorious after prisoner abuse was discovered there after US forces took over.,A prisão tornou-se notória depois que o abuso de prisioneiros foi descoberto lá depois que as forças dos EUA tomaram o controle.
31,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","Piquet Jr. caiu no Grande Prêmio de Cingapura de 2008, logo após uma parada de pit early para Fernando Alonso, trazendo o carro de segurança."
32,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Como os carros à frente de Alonso entraram para o combustível sob o carro de segurança, ele avançou para cima do grupo para tomar a vitória."
33,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Piquet Jr. foi demitido após o Grande Prêmio da Hungria de 2009.
34,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","Exactamente às 8:46 da manhã, caiu um silêncio em toda a cidade, marcando o momento exato em que o primeiro jato atingiu seu alvo."
35,Two beams of light have been rigged up to point skywards overnight.,Dois feixes de luz foram montados para apontar para o céu durante a noite.
36,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","A construção está em andamento para cinco novos arranha-céus no local, com um centro de transporte e parque memorial no meio."
37,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.","O programa da PBS tem mais de duas dúzias de prêmios Emmy, e sua duração é mais curta do que Sesame Street e Mister Rogers' Neighborhood."
38,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Cada episódio do programa focaria em um tema em um livro específico e depois explora esse tema através de várias histórias.
39,Each show would also provide recommendations for books that children should look for when they went to their library.,Cada programa também fornecia recomendações de livros que as crianças deveriam procurar quando iam à biblioteca.
40,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","John Grant, da WNED Buffalo (estação de origem do Reading Rainbow), disse: ""Reading Rainbow ensinou às crianças por que ler,... o amor pela leitura  [o programa] encorajou as crianças a pegarem um livro e a lerem""."
41,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.","Acredita-se por alguns, incluindo John Grant, que tanto a crise de financiamento quanto uma mudança na filosofia da programação de televisão educacional contribuíram para o fim da série."
42,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","Segundo os meteorólogos, a tempestade, situada a cerca de 1040 quilômetros a oeste das ilhas Cabo Verde, provavelmente se dissipará antes de ameaçar qualquer área terrestre."
43,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,Fred atualmente tem ventos de 105 milhas por hora (165 km/h) e está se movendo em direção ao noroeste.
44,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Fred é o ciclone tropical mais forte já registrado até agora no sul e leste do Atlântico desde o advento das imagens de satélite, e apenas o terceiro grande furacão registrado a leste de 35°W."
45,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Em 24 de setembro de 1759, Arthur Guinness assinou um contrato de locação de 9.000 anos para a cervejaria St James' Gate em Dublin, Irlanda."
46,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 anos depois, a Guinness tornou-se um negócio global que recebe mais de 10 bilhões de euros (US$ 14,7 bilhões) por ano."
