id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","El lunes, científicos de la Facultad de Medicina de la Universidad de Stanford anunciaron la invención de una nueva herramienta de diagnóstico que puede ordenar las células por tipo: un pequeño chip impresible que se puede fabricar utilizando impresoras de inyección de tinta estándar por posiblemente un centavo de dólar cada uno."
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Los principales investigadores dicen que esto puede traer la detección temprana del cáncer, la tuberculosis, el VIH y la malaria a los pacientes en países de bajos ingresos, donde las tasas de supervivencia de enfermedades como el cáncer de mama pueden ser la mitad de las de los países más ricos."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","El JAS 39C Gripen se estrelló contra una pista alrededor de las 9:30 am hora local (0230 UTC) y explotó, cerrando el aeropuerto a los vuelos comerciales."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,El piloto fue identificado como el líder del escuadrón Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,Los medios locales informan que un vehículo de bomberos del aeropuerto se volcó mientras respondía.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Vidal, de 28 años, se había unido al Barça hace tres temporadas, desde Sevilla."
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Desde que se mudó a la capital catalana, Vidal había jugado 49 partidos para el club."
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","La protesta comenzó alrededor de las 11:00 hora local (UTC+1) en Whitehall frente a la entrada vigilada por la policía a Downing Street, la residencia oficial del Primer Ministro."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Justo después de las 11:00, los manifestantes bloquearon el tráfico en el carro hacia el norte en Whitehall."
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","A las 11:20, la policía pidió a los manifestantes que volvieran al pavimento, afirmando que necesitaban equilibrar el derecho a protestar con el aumento del tráfico."
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Alrededor de las 11:29, la protesta se movió hasta Whitehall, más allá de Trafalgar Square, a lo largo de la Strand, pasando por Aldwych y hasta Kingsway hacia Holborn donde el Partido Conservador estaba celebrando su Foro de Primavera en el hotel Grand Connaught Rooms."
11,Nadal's head to head record against the Canadian is 7–2.,El récord de cabeza a cabeza de Nadal contra el canadiense es de 72.
