id,source_text,target_text
0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",På måndagen meddelade forskare vid Medicinska skolan vid Stanford University att de uppfann ett nytt diagnostiskt verktyg som kan sortera celler efter typ: en liten tryckbar chip som kan tillverkas med hjälp av vanliga inkjettryckare för möjligen cirka en amerikansk cent varje.
1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Ledande forskare säger att detta kan ge tidig upptäckt av cancer, tuberkulos, hiv och malaria till patienter i låginkomstländer, där överlevnadsfrekvensen för sjukdomar som bröstcancer kan vara hälften av de rikare länderna."
2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripen kraschade på en landningsbana runt 9:30 på lokal tid (0230 UTC) och exploderade, vilket stängde flygplatsen för kommersiella flygningar."
3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Piloten identifierades som skvadronsledare Dilokrit Pattavee.
4,Local media reports an airport fire vehicle rolled over while responding.,Lokala medier rapporterar att en brandbil på flygplatsen rullade om medan de svarade.
5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28-åringen Vidal hade gått till Barça för tre säsonger sedan från Sevilla.
6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Sedan han flyttade till den katalanska huvudstaden hade Vidal spelat 49 matcher för klubben.
7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protesten började runt 11:00 lokal tid (UTC+1) på Whitehall mot den polisbevakade ingången till Downing Street, premiärministerns officiella bostad."
8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Strax efter 11:00 blockerade demonstranter trafiken på vagnen i Whitehall.
9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",Klockan 11:20 bad polisen demonstranterna att gå tillbaka till trottoaren och sa att de behövde balansera rätten att protestera med trafiken.
10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Klockan 11:29 flyttade protesten upp till Whitehall, förbi Trafalgar Square, längs Strand, genom Aldwych och upp Kingsway mot Holborn där det konservativa partiet höll sitt vårforum i Grand Connaught Rooms hotell."
11,Nadal's head to head record against the Canadian is 7–2.,Nadal har en topprekord mot den kanadensiska med 72.
12,He recently lost against Raonic in the Brisbane Open.,Han förlorade nyligen mot Raonic i Brisbane Open.
13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal fick 88% nettopoäng i matchen och vann 76 poäng i första serveringen.
14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Efter matchen sa King of Clay: ""Jag är bara glad över att vara tillbaka i finalrunderna av de viktigaste händelserna. Jag är här för att försöka vinna det här""."
15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""Panama Papers"" är en övergripande term för cirka tio miljoner dokument från det panamanska advokatbyrån Mossack Fonseca, som läckades till pressen våren 2016."
16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Dokumenten visade att fjorton banker hjälpte rika kunder att dölja miljarder amerikanska dollar för att undvika skatter och andra regler.
17,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,Den brittiska tidningen The Guardian föreslog att Deutsche Bank kontrollerade ungefär en tredjedel av de 1200 shellföretag som använts för att uppnå detta.
18,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Det har skett protester över hela världen, flera straffrättsliga åtal, och ledare för regeringarna i Island och Pakistan har båda avgått."
19,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Född i Hong Kong studerade Ma vid New York University och Harvard Law School och hade en gång ett amerikanskt permanentboende ""grönt kort""."
20,Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh antydde under valet att Ma kunde fly från landet under en kristid.
21,Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh hävdade också att den fotogena Ma var mer stil än substans.
22,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",Trots dessa anklagelser vann Ma bra på en plattform som förespråkade närmare band med det kinesiska fastlandet.
23,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Dagens bästa spelare är Alex Ovechkin från Washington Capitals.
24,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Han hade 2 mål och 2 assists i Washingtons 5-3 seger över Atlanta Thrashers.
25,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Ovechkins första assist av kvällen var på det vinnande målet av nybörjare Nicklas Backstrom;
26,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Hans andra mål på kvällen var hans 60th av säsongen, bli den första spelaren att göra 60 eller fler mål i en säsong sedan 1995-96, när Jaromir Jagr och Mario Lemieux var och en nådde den milstolpen."
27,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten rankades 190 på listan över de 400 rikaste amerikanerna 2008 med en uppskattad förmögenhet på 2,3 miljarder dollar."
28,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Han tog examen från University of Virginia College of Arts & Sciences 1950 och var en betydande donator till den institutionen.
