id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","斯坦福大学医学院的科学家周一宣布创造了一种新的诊断工具,可以根据其类型区分细胞."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","根据主要研究人员的说法,在低收入国家患者中,癌症,结核病,艾滋病毒和疟疾的早期检测可能能够实现,"
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","在当地时间9点30分钟 (0230 UTC) 附近,JAS 39C Gripen发生了一次爆炸,导致机场关闭商业航班."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,飞行员被确定为迪洛克里特·帕塔维 (Dilokrit Pattavee) 机组长.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,"据当地媒体报道,一辆应对机场火灾的车辆是救援人员的事实."
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","维达尔28岁,三个赛季前从塞维利亚返回巴萨."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","自他抵达加泰罗尼亚首都以来,Vidal a joué为俱乐部49场比赛."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","抗议活动开始于11点当地时间 (UTC+1) 在怀特霍尔,"
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","在怀特哈尔,在11点后,示威者封锁了向北的车辆."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","在11点20分,警方要求示威者返回街道,"
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","在11点29分,示威活动转向怀特哈尔,特拉法加广场前,莱朗杜斯特兰,通过阿尔迪维奇,"
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,纳达尔对阵加拿大队的比分是7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,他最近在布里斯班公开赛中失去了对阵罗尼克的比赛.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","纳达尔在比赛中获得了88%的积分,"
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","在比赛结束后,战地之王宣布:""我很高兴回到最重要的比赛的最后阶段."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","巴拿马文件是指来自巴拿马律师事务所莫萨克·芬塞卡的约100万份文件,"
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,"文件显示,有14家银行帮助幸运的客户储存数十亿美元的财富,"
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,"英国日报""卫报""指出,德意志银行控制在此目的上使用的1200家公司中约三分之一."
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","世界各地发生了抗议活动,有多起刑事诉讼,冰岛和巴基斯坦政府领导人都辞职."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","在香港,我是一名纽约大学和哈佛法学院的学生,并且已经拥有美国永久居民证."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,"在选举期间,我认为我可能会在危机的情况下逃离这个国家."
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,"他还说,我提供了超级摄影的风格,"
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.","尽管有这些指控,但我仍然坚持坚持与中国大陆的关系."
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,周日的玩家是华盛顿资本队的亚历克斯·奥维奇金.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","在对阵亚特兰大垃圾队的比赛中,"
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,首次演出是为了蓝色的胜利者尼克拉斯·贝克斯特罗姆;
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","自1995-96年以来,Jaromir Jagr和Mario Lemieux都达到这一数字."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","2008年,Batten排名第190位在400位最富裕的美国人榜单上,财富估计为23亿美元."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,"他自1950年以来毕业于弗吉尼亚大学艺术和科学学院,并且是该机构的重要捐赠者."
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,伊拉克阿布格莱布的监狱在一场骚乱中被烧毁.
30,Cette prison est devenue tristement célèbre après que des maltraitances sur les prisonniers aient été constatées suite à sa reprise par les forces américaines.,这座监狱因美国军队对囚犯的虐待而闻名.
31,"Piquet Jr. s'est écrasé lors du Grand Prix de Singapour de 2008, tout juste après un arrêt aux stands de Fernando Alonso, forçant la sortie de la voiture de sécurité.","在2008年新加坡大奖赛中,小皮克在费尔南多·阿隆索站立后,"
