id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","Forskere fra Stanford University's School of Medicine har på mandag annonceret oprettelsen af et nyt diagnostisk værktøj, der kan skelne celler efter type."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Ifølge hovedforskerne kan dette muliggøre en tidlig opdagelse af kræft, tuberkulose, HIV og malaria hos patienter i lavindkomstlande, hvor overlevelsesraten for sygdomme som brystkræft kan være dobbelt så høj som i de rige lande."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",Le JAS 39C Gripen blev sprængt på en piste omkring kl. 9.30 lokalt (0230 UTC) og en eksplosion forårsagede lukning af lufthavnen til kommercielle flyvninger.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Piloten er blevet identificeret som leder af Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28 år, havde for tre sæsoner siden vendt tilbage til Barça."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",Siden sin ankomst i den catalanske hovedstad har Vidal spillet 49 kampe for klubben.
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Demonstrationen begyndte omkring kl. 11.00 på Whitehall, foran Downing Street-politiets indgang, premierministerens officielle bopæl."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","På Whitehall, kort efter kl. 11, blokerede demonstranterne trafikken mod nord."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","Klokken 11.20 anmodede politiet demonstranterne om at vende tilbage på trottoaren og erklærede, at de skulle finde en balance mellem manifestrettigheden og den øgede trafik."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Klokken 11.29 flyttede demonstrationen mod Whitehall, foran Trafalgar Square, le long du Strand, en passant via Aldwych og en remontant Kingsway mod Holborn, hvor partiet Conservateur holdt sin Forum de print à l'hôtel Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Nadal's score i konfrontationer går direkte mod Canadien er 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Han har for nylig tabt en kamp mod Raonic i Brisbane Open.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Nadal samlede 88% af pointene i kampen, hvilket resulterede i 76 point i premier-service."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Efter kampen erklærede le roi de la terre battue: ""Jeg er simpelthen glad for at være tilbage til de sidste faser af de vigtigste begivenheder."
