id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","Wissenschaftler der Medizinischen Fakultät der Universität Stanford haben am Montag die Schaffung eines neuen Diagnosetools angekündigt, mit dem die Zellen je nach Typ unterschieden werden können."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Nach Auffassung der Hauptforscher könnte dies eine frühzeitige Erkennung von Krebs, Tuberkulose, HIV und Malaria bei Patienten aus Ländern mit niedrigem Einkommen ermöglichen, wo die Überlebensrate von Krankheiten wie Brustkrebs zweimal niedriger sein kann als in den reichen Ländern."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","Der Flughafen JAS 39C Gripen wurde um 9.30 Uhr (0230 Uhr UTC) auf einer Strecke erschossen und explodierte, wodurch der Flughafen für Geschäftsflüge verschlossen wurde."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Der Pilot wurde identifiziert als Chef des Eskaders Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en transport de secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28 Jahre alt, war vor drei Saisons nach Sevilla zum Barça zurückgekehrt."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",Seit seiner Ankunft in der katalanischen Hauptstadt spielt Vidal 49 Spiele für den Verein.
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Die Demonstration begann gegen 11.00 Uhr (UTC+1) in Whitehall, gegenüber dem Eingang der Polizei von Downing Street, der offiziellen Residenz des Premierministers."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","In Whitehall, kurz nach 11 Uhr, haben Demonstranten den Verkehr der Fahrzeuge in Richtung Norden blockiert."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","Um 11 Uhr 20 Uhr forderte die Polizei die Demonstranten auf, auf den Bürgersteig zurückzukehren und erklärte, sie müssten ein Gleichgewicht zwischen dem Manifestrecht und der Zunahme der Verkehrsstraße finden."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Um 11.29 Uhr verlegte sich die Demonstration in Richtung Whitehall, vor Trafalgar Square, le long du Strand, en passant par Aldwych und en remontant Kingsway nach Holborn, wo die Konservativen Partei ihr Frühlingsforum am Hotel Grand Connaught Rooms hielt."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Das Ergebnis von Nadal in Konfrontationen richtet sich gegen die Kanadier auf 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Er hat vor kurzem ein Spiel gegen Raonic beim Open von Brisbane verloren.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.",Nadal sammelte 88% der Punkte im Spiel und erzielte 76 Punkte im Premier-Service.
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Nach dem Spiel erklärte der König der geschlagenen Erde: ""Ich bin ganz einfach froh, für die letzten Phasen der wichtigsten Ereignisse zurückzukehren."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Les  Panama Papers  ist ein generischer Ausdruck für etwa zehn Millionen Dokumente aus dem panamäischen Rechtsanwaltskammer Mossack Fonseca, die im Frühjahr 2016 in der Presse gefiltert wurden."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,"Die Dokumente zeigen, daß 14 Banken glücklichen Kunden geholfen haben, Milliarden von US-Dollar Reichtum aufzubewahren, um Steuern und andere Vorschriften zu vermeiden."
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,"Die britische Zeitschrift The Guardian schlägt vor, daß die Deutsche Bank etwa ein Drittel der 1200 Unternehmen kontrolliert, die zu diesem Zweck eingesetzt werden."
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","Die Demonstrationen finden überall auf der Welt statt, es gibt mehrere Strafverfolgungen, und die Führer der isländischen und pakistanischen Regierungen haben beide zurückgetreten."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Ne à Hong Kong, Ma a étudié à l'université de New York und à la faculté de droit de Harvard und a déjà été titulaire d'une  carte verte , la carte de résident permanent des États-Unis."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,"Sie haben im Laufe der Wahlen gesagt, dass sie das Land im Falle einer Krise vertreiben könnten."
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,"Er hat auch behauptet, daß das sehr fotogenie­sche Angebot mehr Stil als echte Ideen bietet."
