id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","Οι επιστήμονες της Ιατρικής Σχολής του Πανεπιστημίου Στάνφορντ ανακοίνωσαν την Δευτέρα την δημιουργία ενός νέου εργαλείου διάγνωσης, το οποίο θα μπορούσε να διαφοροποιήσει τα κύτταρα ανάλογα με το είδος τους."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Σύμφωνα με τους κύριους ερευνητές, αυτό θα μπορούσε να επιτρέψει την έγκαιρη ανίχνευση του καρκίνου, της φυματίωσης, του HIV και της ελονοσίας στους ασθενείς των χωρών με χαμηλό εισόδημα, όπου το ποσοστό επιβίωσης σε ασθένειες όπως ο καρκίνος του μαστού μπορεί να είναι δύο φορές λιγότερο υψηλό από ό, τι στις πλούσιες χώρες."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",Το JAS 39C Gripen έπεσε σε μια πίστα γύρω στις 9:30 τοπικές ώρες (0230 UTC) και μια έκρηξη προκάλεσε το κλείσιμο του αεροδρομίου στις εμπορικές πτήσεις.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Ο πιλότος αναγνωρίστηκε ως επικεφαλής της ομάδας Ντιλόκριτ Πατάβε.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,Η τοπική εφημερίδα αναφέρει ότι ένα όχημα καταπολέμησης πυρκαγιάς στο αεροδρόμιο είναι ένα γεγονός των τόνων που φέρουν βοήθεια.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Ο Βιντάλ, 28 ετών, είχε επιστρέψει στην Μπαρτζα πριν από τρεις σεζόν, από την Σεβίλη."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","Από την άφιξή του στην Καταλανική πρωτεύουσα, ο Vidal a joué παίζει 49 αγώνες για το σύλλογο."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Η διαδήλωση ξεκίνησε στις 11:00 τοπικής ώρας (UTC+1) στο Whitehall, μπροστά από την είσοδο της αστυνομίας της Downing Street, την επίσημη κατοικία του Πρωθυπουργού."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","Στο Γουάιτχολ, λίγο μετά τις 11:00, οι διαδηλωτές μπλοκάρισαν την κυκλοφορία των οχημάτων προς τα βόρεια."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","Στις 11:20 η αστυνομία ζήτησε από τους διαδηλωτές να επιστρέψουν στο μονοπάτι, δηλώνοντας ότι έπρεπε να βρουν μια ισορροπία μεταξύ του δικαιώματος διαδήλωσης και της αύξησης της κυκλοφορίας."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Στις 11:29, η διαδήλωση μετακινήθηκε προς το Whitehall, μπροστά από την πλατεία Trafalgar, το long du Strand, en passant par Aldwych και en remontant Kingsway προς το Holborn, όπου το Κόμμα των Συντηρητικών είχε το Φόρουμ της Άνοιξης στο ξενοδοχείο Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Το σκορ του Νάδαλ σε συγκρούσεις κατευθύνει έναντι του Καναδίκου είναι 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Πρόσφατα έχασα έναν αγώνα με τον Ράονικ στο Άνοιγμα του Μπρίσμπαν.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Ο Νάδαλ συγκέντρωσε το 88% των πόντων στον αγώνα, κερδίζοντας 76 πόντους στην πρωταθλήτρια υπηρεσία."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Μετά το αγώνα, ο βασιλιάς της γης νικητής δήλωσε: ""Είμαι απλά χαρούμενος που επέστρεψα για τα τελικά στάδια των σημαντικότερων γεγονότων."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Τα έγγραφα του Παναμά είναι μια γενική έκφραση που αναφέρεται σε περίπου δέκα εκατομμύρια έγγραφα που προέρχονται από το δικηγορικό συμβούλιο του Παναμά, Mossack Fonseca, και τα οποία διακρίθηκαν στην εφημερίδα την άνοιξη του 2016."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,Τα έγγραφα δείχνουν ότι 14 τράπεζες βοήθησαν τους τυχερούς πελάτες τους να αποθηκεύσουν δισεκατομμύρια δολάρια πλούτου για να αποφύγουν τους φόρους και άλλους κανονισμούς.
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,Η βρετανική εφημερίδα The Guardian πρότεινε ότι η Deutsche Bank ελέγχει περίπου το ένα τρίτο των 1200 εταιρειών που χρησιμοποιούνται για αυτό το σκοπό.
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","Οι διαδηλώσεις πραγματοποιούνται σε όλο τον κόσμο, υπάρχουν πολλαπλές ποινικές διώξεις και οι ηγέτες των κυβερνήσεων της Ισλανδίας και του Πακιστάν παραιτήθηκαν."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une  carte verte , la carte de résident permanent des États-Unis."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,Θα ήθελα να πω ότι κατά τη διάρκεια των εκλογών θα μπορούσε να απομακρυνθεί η χώρα σε περίπτωση κρίσης.
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,Ο ίδιος επιβεβαίωσε επίσης ότι η πολύ φωτογενική προσφορά μου συνεισφέρει περισσότερο στυλ από τις πραγματικές ιδέες.
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.","Παρά τις κατηγορίες αυτές, η Κίνα έχει κερδίσει την κύρια θέση σε μια πλατφόρμα που υποστηρίζει τις σχέσεις και τις σχέσεις με την ηπειρωτική Κίνα."
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,Ο παίκτης της ημέρας είναι ο Άλεξ Όβεκκιν από την Ουάσιγκτον Καπιταλς.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","Έκανε 2 μαρκέ αλλά και 2 αποφασιστικές παίζες κατά τη διάρκεια του αγώνα με τους Άτλαντα Τράσερς, νικημένο με 5-3 από την Ουάσιγκτον."
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,Η πρεμιέρα είναι αποφασιστική για τον Ovechkin dans la soirée a été en faveur του νικητή του μπλε Nicklas Backstrom .
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","Το δεύτερο αλλά της βραδιάς ήταν το 60ο της σεζόν, καθιστώντας έτσι τον πρώτο παίκτη να σημειώνει 60 buts ή περισσότερο σε μια σεζόν από το 1995-96, ημερομηνία κατά την οποία ο Jaromir Jagr και ο Mario Lemieux έχουν ο καθένας φθάσει σε αυτό το νούμερο."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","Το 2008, ο Batten κατατάχθηκε 190ος στη λίστα των 400 πλουσιότερων Αμερικανών, με περιουσία που εκτιμάται σε 2,3 δισεκατομμύρια δολάρια."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,Είναι πτυχιούχος του Κολλεγίου Τεχνών και Επιστημών του Πανεπιστημίου της Βιρτζίνια από το 1950 και είναι σημαντικός δωρητής αυτού του ιδρύματος.
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,Η φυλακή του Αμπού Γκράιμπ στο Ιράκ καίγεται κατά τη διάρκεια μιας εξέγερσης.
