id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","Stanfordin yliopiston lääketieteellisen koulun tutkijat ilmoittivat maanantaina uuden diagnostisen työkalun luomisesta, joka mahdollistaa solujen erottamisen niiden tyypin mukaan."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Päätutkijoiden mukaan tämä voisi mahdollistaa syövän, tuberkuloosin, HIV:n ja malarian ennenaikaisen havaitsemisen vähätuotantoalueiden potilaiden keskuudessa, jossa rintasyövän kaltaisten sairauksien eloonjäämisaste voi olla kaksi kertaa pienempi kuin rikkaissa maissa."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","JAS 39C Gripen räjähti pisteellä paikallisella kello 9.30 (0230 UTC) ja räjähti, mikä aiheutti lentoaseman sulkemisen kaupallisille lentoille."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Lentäjä on tunnistettu ryhmän päällikkö Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en transport de secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28-vuotias, oli liittynyt Barcelonaan kolmea kautta sitten."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",Vidal a joué on ottanut 49 ottelua klubille.
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Manifestaatio alkoi noin kello 11 paikallisella paikalla (UTC+1) Whitehallissa, Downing Streetin poliisin sisäänkäynnin edessä, pääministerin virallinen asuinpaikka."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.",Valkoisessa Whitehallissa mielenosoittajat sulkivat liikenteen pohjoiseen suuntaan.
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","Kello 11.20 poliisit pyysivät mielenosoittajia palaamaan jalkakäytävälle ilmoittaen, että heidän oli löydettävä tasapaino mielenosoitusoikeuden ja liikenteen lisääntymisen välillä."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Kello 11.29 mielenosoitus siirtyi kohti Whitehallia, Trafalgarin aukion edessä, le long du Strand, en passant par Aldwych ja en remontant Kingsway kohti Holborn, jossa konservatiivinen puolue piti kevätfoorumin Grand Connaught Rooms -hotelliin."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Nadal on ottanut kanadalaisia vastaan 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Hän menetti viime aikoina ottelun Raonicin kanssa Brisbane Openissa.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.",Nadal keräsi 88% pisteistä ottelussa ja vastasi 76 pistettä.
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Kilpailun jälkeen le roi de la terre battue sanoi: ""Olen yksinkertaisesti iloinen siitä, että olen palannut tärkeimpien tapahtumien lopullisiin vaiheisiin."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Les  Panama Papers  on yleinen ilmaus, joka tarkoittaa noin kymmenen miljoonaa asiakirjaa, jotka ovat peräisin panamalaisesta Mossack Fonsecan lakimiesministeriöstä ja jotka on siirretty lehdistössä keväällä 2016."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,"Asiakirjat osoittavat, että 14 pankkia auttoi onnekkaita asiakkaita varastoimaan miljardeja Yhdysvaltain dollareita välttääkseen veroja ja muita säännöksiä."
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,"Brittiläinen The Guardian-lehti ehdotti, että Deutsche Bank valvoo noin kolmanneksen 1200 tähän tarkoitukseen käytetystä yhtiöstä."
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","Todistuksia on pidetty kaikkialla maailmassa, useita rikosoikeuksia on pidetty, ja Islannin ja Pakistanin hallitusten johtajat ovat molemmat palkaneet."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Né à Hong Kong, Ma a étudié à l'université de New York ja à la faculté de droit de Harvard ja a déjà été titulaire d'une  carte verte , la carte de résident permanent des États-Unis."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,"Hän sanoi, että vaalien aikana hän voisi karata maasta kriisin sattuessa."
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,"Hän vahvisti myös, että valokuvaus tarjoaa enemmän tyyliä kuin todelliset ideat."
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.",Näistä syytteistä huolimatta Ma on voittanut pääasiassa kiintymykset ja läheisyydet Kontinentaalisen Kiinan kanssa.
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,Päivän pelaaja on Washington Capitalin Alex Ovechkin.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","Il a marqué 2 buts et fait 2 passes ratkaisevat ottelussa vastaan Atlanta Trashers, remported 5-3 Washington."
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,La première passe décisive d'Ovechkin dans la soirée a été en faveur du but winner du bleu Nicklas Backstrom;
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","Son deuxième but de la soirée était son 60e de la saison, josta hänestä on tullut ensimmäinen pelaaja, joka on marssinut 60 buts tai enemmän vuodessa vuodesta 1995-1996, jolloin Jaromir Jagr ja Mario Lemieux ovat kaikki saavuttaneet tämän numeron."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","Vuonna 2008 Batten oli luokiteltu 190:n luokkaan 400 rikkaimman amerikkalaisen listalla, jonka varallisuus arvioitiin 2,3 miljardia dollaria."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,Hän on valmistunut Virginian yliopiston taide- ja tiedeopistoa vuodesta 1950 ja on ollut tämän laitoksen merkittävä lahjoittaja.
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,Abu Ghraibin vankila Irakissa on poltettu vallankumouksen aikana.
30,Cette prison est devenue tristement célèbre après que des maltraitances sur les prisonniers aient été constatées suite à sa reprise par les forces américaines.,"Tämä vankila on tullut hyvin kuuluisa sen jälkeen, kun Yhdysvaltojen joukot havaitsivat vankien pahoinpitelystä."
31,"Piquet Jr. s'est écrasé lors du Grand Prix de Singapour de 2008, tout juste après un arrêt aux stands de Fernando Alonso, forçant la sortie de la voiture de sécurité.","Piquet Jr. tappoi Grand Prix de Singaporen vuonna 2008, aivan Fernando Alonson pysähtymisen jälkeen."
32,"Alonso a profité que les voitures positionnées devant se sont arrêtées pour faire le plein de carburant durant la présence de la safety car, pour remonter le peloton et remporter la victoire.","Alonso käyttää hyväkseen sitä, että ajoneuvot, jotka on asennettu eteenpäin, pysähtyvät polttamaan polttoainetta turvaauton läsnäolon aikana, korjaamaan peloton ja voittaakseen voiton."
33,Piquet Jr. a été limogé après le Grand Prix de Hongrie 2009.,Piquet Jr. a été limogé après le Grand Prix de Hongrie 2009.
34,"À 8 h 46 exactement, un silence s’est abattu sur la ville, marquant le moment exact où le premier jet a atteint sa cible.","Täsmälleen kello 8.46, kaupungissa tapahtui hiljaisuus, joka merkitsee juuri sen hetken, jolloin ensimmäinen lentokone saavutti tavoitteensa."
35,Deux faisceaux de lumière ont été montés pour pointer vers le ciel pendant la nuit.,Kaksi valonvaloa on asennettu kohti taivasta yöllä.
36,"La construction de cinq nouveaux gratte-ciels est en cours sur le site, dont un centre de transport et un parc commémoratif au milieu.","Paikalla on rakennettu viisi uutta korkeaa rakennusta, joista yksi on liikennekeskus ja toinen muistoparkki."
37,"L'émission de PBS a reçu plus d'une vingtaine d'Emmy Awards, et elle a uniquement duré moins longtemps que 1, rue Sésame et Mister Rogers.","L'émission de PBS on saanut yli 20 Emmy-palkinnon, ja se on ainutlaatuinen moins longtemps que 1, rue Sésame et Mister Rogers."
38,Chaque épisode de l’émission se concentrerait sur un thème d’un livre spécifique et explorerait ensuite ce thème à travers plusieurs histoires.,Kunkin ohjelman episoodi keskittyy tietyn kirjan aiheeseen ja tutkii sitä myöhemmin useiden tarinoiden kautta.
39,De plus chaque spectacle proposera une suggestion de livres que les enfants devraient emprunter à la bibliothèque.,"Lisäksi jokaisessa näytöksessä ehdotetaan kirjoja, joita lapset voisivat lainata kirjastoon."
