id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","स्टैनफोर्ड विश्वविद्यालय के स्कूल ऑफ मेडिसिन के वैज्ञानिकों ने सोमवार को एक नए नैदानिक उपकरण के निर्माण की घोषणा की, जो कोशिकाओं को उनके प्रकार के आधार पर अलग करने की अनुमति देगा। यह एक छोटा प्रिंटेबल चिप है, जिसे मानक जेट इंक प्रिंटर के माध्यम से लगभग एक सेंट डॉलर की लागत से बनाया जा सकता है।"
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","मुख्य शोधकर्ताओं के अनुसार, यह कम आय वाले देशों के रोगियों में कैंसर, क्षयरोग, एचआईवी और मलेरिया का प्रारंभिक पता लगाने की अनुमति दे सकता है, जहां स्तन कैंसर जैसी बीमारियों में जीवित रहने की दर अमीर देशों की तुलना में दो गुना कम हो सकती है।"
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","JAS 39C ग्रिपेन को स्थानीय समय (0230 UTC) में 9 बजकर 30 मिनट के आसपास एक पटरी पर दुर्घटनाग्रस्त किया गया और एक विस्फोट हुआ, जिससे हवाई अड्डे को वाणिज्यिक उड़ानों के लिए बंद कर दिया गया।"
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,पायलट को एस्कैड्रन के चीफ Dilokrit Pattavee के रूप में पहचाना गया है।
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en transport de secours हवाई अड्डे की आग से लड़ने वाले वाहन का एक तथ्य है।
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.",28 वर्षीय विडाल तीन सीज़न पहले सेविल से लौटे थे।
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","कैटालियन राजधानी में बेटे के आगमन के बाद से, विडल ने क्लब के लिए 49 मैच खेले हैं।"
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","दावनिंग स्ट्रीट पुलिस द्वारा प्रवेश द्वार के सामने, प्रधान मंत्री के आधिकारिक निवास, व्हाइटहॉल पर लगभग 11 बजे (यूटीसी + 1) स्थानीय स्तर पर प्रदर्शन शुरू हुआ।"
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","वाइटहॉल में, 11 बजे के बाद, प्रदर्शनकारियों ने उत्तरी दिशा में वाहनों के आवागमन को अवरुद्ध कर दिया।"
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","11.20 बजे, पुलिस ने प्रदर्शनकारियों से गलियारे पर लौटने के लिए कहा, यह कहते हुए कि उन्हें प्रदर्शनकारी अधिकार और आवागमन में वृद्धि के बीच संतुलन ढूंढना चाहिए।"
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","11.29 बजे, प्रदर्शन व्हाइटहॉल की ओर, ट्रैफल्गर स्क्वायर के सामने, लोंग डू स्ट्रैंड, एल्डविच से होकर और किंग्सवे की ओर होलबर्न की ओर, जहां कंजर्वेटर पार्टी ने होटल ग्रैंड कॉनॉट रूम में अपना वसंत फोरम आयोजित किया।"
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,नडाल का मुकाबला 7-2 से कनाडाई टीम के मुकाबले सीधा है।
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,उन्होंने हाल ही में ब्रिस्बेन ओपन के दौरान राओनिक के खिलाफ एक मैच खो दिया था।
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","नडाल ने मैच में 88% अंक जमा किए, प्रीमियर सर्विस में 76 अंक कमाए।"
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","मैच के बाद, राजा ने कहाः ""मैं केवल सबसे महत्वपूर्ण घटनाओं के अंतिम चरणों के लिए वापसी से प्रसन्न हूं। मैं जीतने की कोशिश करने के लिए यहां हूं।"
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016."," पनामा पेपर्स  एक सामान्य शब्द है जो पनामा के वकील मोसाक फोंसेका के कैबिनेट से लगभग दस मिलियन दस्तावेजों को संदर्भित करता है, जिन्हें 2016 के वसंत में प्रेस में फ़िल्टर किया गया था।"
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,दस्तावेजों से पता चलता है कि 14 बैंकों ने करों और अन्य नियमों से बचने के लिए भाग्यशाली ग्राहकों को अरबों अमेरिकी डॉलर की धन जमा करने में मदद की।
