id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","スタンフォード大学医学部の研究者らは,細胞を種類によって区別できる新しい診断ツールを開発することを本月発表しました."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","主要の研究者によると,これは低所得国患者の癌,結核,HIV,マラリアの早期発見を可能にし,乳がんのような病気の生存率は裕福な国より2倍も低い可能性がある."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","""JAS 39C Gripen""は9時30分 (UTC0230分) の軌道で爆発し,商用フライトへの空港の閉鎖を引き起こした."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,パイロットはディロクリット・パタヴェー部隊の首長として 特定されました
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en transport de secours 空港の火災対策車両が救助を運ぶ事象を報告した
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.",28歳のヴィダルは3シーズン前にシビリ出身でバーサに復帰した.
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",カタルーニャの首都に到着して以来 ヴィダル・ア・ジョーがクラブに49試合出場しました
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.",デモは11時00分 (UTC+1) に始まった.
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.",ホワイトホールでは11時過ぎに 抗議者が北方向に移動する車両を遮断した.
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","11時20分に警察はデモ隊に対し,デモ行進権と交通増加の間のバランスをとる必要があると宣言し,"
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","11時29分,デモはホワイトホール,トラファルガー広場前,ロング・ド・ストランド前,オールドウィッチ経由で,キングスウェイを往復してホルボーンへ移動した."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,ナダルのスコアは 7-2でカナダ人と対決する.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,ブリズベンのオープンで ラオニクと試合に負けました
