id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",스탠포드 대학교 의과대학 의 과학자 들 은 월요일 에 새로운 진단 도구 를 만들겠다고 발표 하였다. 이 도구 는 세포 를 종류 에 따라 구별 할 수 있는 것 이다. 이 기계 는 표준 잉크 제트 프린터 를 통해 생산 될 수 있는 작은 칩 이다.
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","주요 연구원들에 따르면, 이것은 저소득 국가 환자들 사이에서 암, 결핵, HIV 및 말라리즘의 조기 발견을 가능하게 할 수 있습니다. 부유한 국가들 보다 두 배 더 낮은 암과 같은 질병의 생존율이 있을 수 있습니다."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",JAS 39C Gripen은 9시 30분 (0230 UTC) 의 경로에서 폭발하여 상업 항공편의 폐쇄를 일으켰습니다.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,조종사는 디로크리트 파타비 에스카드론의 수장인 것으로 확인됐습니다.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,로컬 프레스 에 리포트 에 에 에어포트 화재 퇴치 차량 은 구호 를 운반 하는 톤 을 운반 하는 사실 을 보도 했다.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.",28살인 비달은 세비야 출신으로 3시즌 전에 바르사에 복귀했다.
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","카탈루냐의 수도에 도착한 이후, 비달은 클럽에 49경기에 출전했다."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.",시위는 도닝 스트리트 경찰의 입구 앞에 있는 와이트홀에서 (UTC+1) 11시경에 시작되었습니다.
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","와이트홀에서, 11시 이후, 시위대는 북쪽으로 이동하는 차량의 운행을 차단했습니다."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","11시 20분, 경찰은 시위원들에게 도로를 돌아가는 것을 요청했고, 시위권과 교통의 증가 사이의 균형을 찾아야 한다고 선언했습니다."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","11시 29분, 시위가 트래팔거 광장 앞, 롱두 스트랜드 앞, 올드위히 경로, 그리고 킹스웨이를 거쳐 홀본으로 이동하여, 보수당은 호텔 그랜드 코너트룸에서 봄 포럼을 개최했습니다."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,나달의 승률은 7-2로 캐나디언과 맞붙습니다.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,최근 브리즈번 오픈에서 라오닉과 경기에서 패했습니다.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","나달은 경기에서 88%의 득점을 기록했고, 프리미어 서비스에서 76점을 획득했다."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","경기가 끝난 후, 무궁화 왕은 이렇게 선언했습니다. ""나는 가장 중요한 사건의 마지막 단계로 돌아온 것을 기쁘게 생각합니다."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.", 파나마 문서 은 파나마 변호사 사무실 모사크 폰세카에서 온 약 10 백만 개의 문서를 가리키는 일반 표현입니다.
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,문서들은 14개의 은행이 세금과 다른 규제로부터 벗어나기 위해 수십억 달러의 재산을 보관하는 행운의 고객들에게 도움을 준다는 것을 보여줍니다.
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,영국 신문인 가디언은 독일 은행이 이 목적을 위해 사용되는 1200개 회사 중 약 3분의 1을 통제한다고 제안했습니다.
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","세계 곳곳에서 시위가 벌어지고 있으며, 여러 차례 형사소송이 진행되고 있으며, 아이슬란드와 파키스탄 정부 지도자들은 모두 사퇴했습니다."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","홍콩, 뉴욕 대학, 하버드 법학과에 재학중이며 이미 미국 상임주시권인 자격증을 취득했습니다."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,선거를 앞두고 국가를 위기 상황으로 도망칠 수 있다는 말을 남겼습니다.
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,그리고 그는 또한 매우 사진적인 것이 진정한 아이디어보다 더 많은 스타일을 제공한다는 것을 주장했습니다.
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.","이러한 비난에도 불구하고, Ma a gagné haut la main는 중국 대륙과의 유대관계를 주장하는 플랫폼에서 승리했습니다."
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,주니버는 워싱턴 캐피탈스의 알렉스 오브치킨입니다.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.",애틀랜타 트래시어스와의 경기에서 결정적인 패스 2개를 기록했습니다. 워싱턴은 5-3로 승리했습니다.
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,프레임이 결정적인  Ovechkin dans la soirée a été en faveur of the but winner of the blue Nicklas Backstrom;
