id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",Wetenschappers van de school van geneeskunde van de universiteit van Stanford hebben maandag aangekondigd dat er een nieuw diagnostisch hulpmiddel is ontwikkeld dat de cellen kan onderscheiden op basis van hun type.
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Volgens de hoofdonderzoekers zou dit een vroegtijdige opsporing van kanker, tuberculose, HIV en malaria mogelijk kunnen maken bij patiënten in landen met een laag inkomen, waar het overlevingspercentage van ziekten zoals baarmoederkanker twee keer lager kan zijn dan in rijke landen."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",De JAS 39C Gripen is overvallen op een baan rond 9.30 uur lokale tijd (0230 UTC) en een explosie veroorzaakt de sluiting van de luchthaven voor commerciële vluchten.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,De piloot is geïdentificeerd als de chef van het squadron Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux portant secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28 jaar oud, was drie seizoenen geleden teruggekomen bij de Barça."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",Sinds zijn aankomst in de Catalaanse hoofdstad speelt Vidal 49 wedstrijden voor de club.
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","De manifestatie begon rond 11.00 uur lokaal (UTC+1) op Whitehall, tegenover de ingang bewaard door de politie van Downing Street, de officiële residentie van de premier."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","In Whitehall, kort na 11 uur, blokkeerden demonstranten de circulatie van voertuigen richting het noorden."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.",Om 11.20 uur vroeg de politie de demonstranten terug te keren op de stoep en verklaarde dat ze een evenwicht moesten vinden tussen het manifestatierecht en de toename van het verkeer.
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Om 11.29 uur is de manifestatie verplaatst naar Whitehall, voor Trafalgar Square, le long du Strand, en passant par Aldwych en en en remontant Kingsway naar Holborn, waar de Conservatieve Partij haar Forum de printemps à l'hôtel Grand Connaught Rooms hield."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,De score van Nadal in confrontaties richt zich tegenover de Canadiens is van 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Ik heb onlangs een wedstrijd verloren tegen Raonic tijdens de Open van Brisbane.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Nadal heeft 88% van de punten verzameld in de wedstrijd, met 76 punten in de premierdienst."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Na de wedstrijd verklaarde le roi de la terre battue: ""Ik ben gewoon blij dat ik terug ben voor de laatste fasen van de belangrijkste gebeurtenissen."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Les  Panama Papers  is een generische uitdrukking voor ongeveer tien miljoen documenten van het Panamaanse advocatenkantoor Mossack Fonseca, die in het voorjaar van 2016 in de pers zijn gefilterd."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,De documenten tonen aan dat veertien banken gelukkige klanten hebben geholpen miljarden Amerikaanse dollars van rijkdom te verbergen om belasting en andere regelgeving te ontwijken.
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,"Het Britse tijdschrift The Guardian suggereert dat de Deutsche Bank ongeveer een derde van de 1200 schriftelijke bedrijven die hiervoor worden gebruikt, controleert."
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","De manifestaties vinden over de hele wereld plaats, er zijn een aantal strafrechtelijke vervolgingen, en de leiders van de IJslandse en Pakistaanse regeringen hebben allebei ontslag genomen."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard en a déjà été titulaire d'une  carte verte , la carte de résident permanent des États-Unis."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,Hij heeft tijdens de verkiezingen gezegd dat hij het land zou kunnen laten vluchten in geval van een crisis.
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,Hij heeft ook bevestigd dat het zeer fotogeniek aanbod meer stijl heeft dan echte ideeën.
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.",Ten spyte van deze beschuldigingen heeft Ma a gagné haut la main op een platform voor banden en intimiteiten met het continentale China.
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,Le joueur du jour is Alex Ovechkin van de Washington Capitals.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","Hij maakte een marqué 2 buts et fait 2 beslissende passes tijdens de wedstrijd tegen de Atlanta Trashers, vervangen 5-3 door Washington."
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,De première passe décisive van Ovechkin dans la soirée a été en favoriet van de winnaar van de blauwe Nicklas Backstrom;
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","Son deuxième but de la soirée était son 60e de saison, en werd daarmee de eerste speler om 60 buts of meer te scoren in een seizoen sinds 1995-1996, toen Jaromir Jagr en Mario Lemieux elk dit cijfer bereikten."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","In 2008 werd Batten ingedeeld op 190e plaats op de lijst van de 400 rijkste Amerikanen, met een fortuin geschat op 2,3 miljard dollar."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,Hij is sinds 1950 afgestudeerd aan het College of Arts and Sciences van de Université de Virginie en is een belangrijke donateur van deze instelling.
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,De gevangenis van Abu Ghraib in Irak werd verbrand tijdens een opstand.
30,Cette prison est devenue tristement célèbre après que des maltraitances sur les prisonniers aient été constatées suite à sa reprise par les forces américaines.,Deze gevangenis werd tristement beroemd nadat de mishandeling van de gevangenen door de Amerikaanse troepen werd ontdekt.
31,"Piquet Jr. s'est écrasé lors du Grand Prix de Singapour de 2008, tout juste après un arrêt aux stands de Fernando Alonso, forçant la sortie de la voiture de sécurité.","Piquet Jr. werd tijdens de Grand Prix van Singapoer in 2008 verslagen, net na een arrestatie bij de stands van Fernando Alonso, waardoor de exit de voiture de sécurité werd geforceerd."
32,"Alonso a profité que les voitures positionnées devant se sont arrêtées pour faire le plein de carburant durant la présence de la safety car, pour remonter le peloton et remporter la victoire.","Alonso profiteert ervan dat de wagens die voor zich zijn gepositioneerd, worden gestopt om de brandstof te vullen tijdens de aanwezigheid van de veiligheidswagen, om het peloton te herstellen en de overwinning te behalen."
33,Piquet Jr. a été limogé après le Grand Prix de Hongrie 2009.,Piquet Jr. is na de Grand Prix van Hongarije in 2009 verlost.
34,"À 8 h 46 exactement, un silence s’est abattu sur la ville, marquant le moment exact où le premier jet a atteint sa cible.",Om precies 8:46 uur is er een stilte in de stad geslagen. Het is precies het moment waarop het eerste vliegtuig het doel bereikt.
35,Deux faisceaux de lumière ont été montés pour pointer vers le ciel pendant la nuit.,Twee lichtstralen zijn gemonteerd om in de nacht naar de hemel te wijzen.
36,"La construction de cinq nouveaux gratte-ciels est en cours sur le site, dont un centre de transport et un parc commémoratif au milieu.","Op de locatie is de bouw van vijf nieuwe grote gebouwen aan de gang, waaronder een transportcentrum en een herdenkingspark."
37,"L'émission de PBS a reçu plus d'une vingtaine d'Emmy Awards, et elle a uniquement duré moins longtemps que 1, rue Sésame et Mister Rogers.","De uitzending van PBS heeft meer dan een twintigtal Emmy's ontvangen, en het is een uniquement duré moins longtemps que 1, rue Sésame et Mister Rogers."
38,Chaque épisode de l’émission se concentrerait sur un thème d’un livre spécifique et explorerait ensuite ce thème à travers plusieurs histoires.,Elke aflevering van de uitzending zou zich concentreren op een thema van een specifiek boek en vervolgens dit thema door meerdere verhalen verkennen.
39,De plus chaque spectacle proposera une suggestion de livres que les enfants devraient emprunter à la bibliothèque.,Bovendien stelt elk spektakel een suggestie voor van boeken die de kinderen aan de bibliotheek zouden moeten lenen.
40,"John Grant, de WNED Buffalo (station diffusant Reading Rainbow) a déclaré : « Reading Rainbow a appris aux enfants pourquoi lire […] leur a donné l’amour de la lecture — [l’émission] a encouragé les enfants à prendre un livre et à lire ».","John Grant, de WNED Buffalo (station diffusant Reading Rainbow) a déclaré :  Reading Rainbow a appris aux enfants pourquoi lire [...] leur a donné l'amour de la lecture  [l'émission] a encouragé les enfants à prendre un livre et à lire ."
