id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",Naukowcy z Szkoły Medycyny Uniwersytetu Stanforda ogłosili w poniedziałek stworzenie nowego narzędzia diagnostycznego pozwalającego odróżnić komórki w zależności od ich rodzaju.
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Według głównych badaczy, może to umożliwić wczesne wykrywanie raka, gruźlicy, wirusa HIV i malarii u pacjentów z krajów o niskim dochodzie, gdzie wskaźnik przeżycia chorób takich jak raka sery może być dwukrotnie mniejszy niż w krajach bogatych."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","JAS 39C Gripen zniszczono na trasie około 9:30 lokalnej godziny (0230 UTC) i wybuchł, powodując zamknięcie lotniska dla lotów handlowych."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Pilot został zidentyfikowany jako szef szwadry Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonnes en transport de secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28 lat, dołączył do Barcelony trzy sezony temu, pochodząc z Seville."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","Od jego przybycia w katalanskiej stolicy, Vidal a joué 49 meczów dla klubu."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Demonstracja rozpoczęła się około 11 godziny lokalnej (UTC+1) w Whitehall, naprzeciw wejściu policji Downing Street, oficjalnej rezydencji premiera."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","W Whitehall, po 23:00, demonstranci zablokowali ruch pojazdów w kierunku północnym."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","O godzinie 11.20 policja poprosiła demonstratorów o powrót na chodnik, stwierdzając, że muszą znaleźć równowagę między prawem demonstracji a zwiększeniem ruchu."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","O godzinie 11.29 demonstracja przeniosła się w kierunku Whitehall, przed Trafalgar Square, le long du Strand, en passant par Aldwych i en remontant Kingsway w kierunku Holborn, gdzie Partia Konserwatywna prowadziła Forum de printemps à l'hôtel Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Wynik Nadal w konfrontacjach wygrywa przeciwko Kanadyjczykom w wyniku 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Ostatnio przegrałem mecz z Raonicem podczas Brisbane Open.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Nadal zgromadził 88% punktów w meczu, wynosząc 76 punktów w pierwszym serwisie."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Po meczu, le roi de la terre battue oświadczył: ""Jestem po prostu szczęśliwy, że wróciłem na finały najważniejszych wydarzeń."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Les  Panama Papers  jest określeniem ogólnym odnoszącym się do około dziesięciu milionów dokumentów pochodzących z panamskich gabinetów prawników Mossack Fonseca, które zostały sfiltrowane w prasie wiosną 2016 r."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,"Dokumenty pokazują, że 14 banków pomogło szczęśliwym klientom ukryć miliardy dolarów amerykańskich, aby uniknąć podatków i innych regulacji."
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,"Brytyjski czasopismo The Guardian sugeruje, że Deutsche Bank kontroluje około jedną trzecią z 1200 firm używanych w tym celu."
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","Demonstracje odbywają się na całym świecie, są kilka procesów karnych, a kierownicy rządów islandzkiego i pakistańskiego rządu oboje zrezygnowali."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Nie jestem w Hongkongu, jestem studentem na uniwersytecie Nowego Jorku i na uczelni prawnej Harvardu i już byłem posiadaczem karty stałej rezydencji Stanów Zjednoczonych."
