id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.","Os cientistas da Faculdade de Medicina da Universidade de Stanford anunciaram nesta segunda-feira a criação de uma nova ferramenta de diagnóstico, que permitiria diferenciar as células de acordo com o seu tipo."
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","De acordo com os pesquisadores principais, isto poderia permitir uma detecção precoce do cancro, da tuberculose, do VIH e da maludismo entre os doentes dos países de baixa renda, onde a taxa de sobrevivência a doenças como o cancro do seno pode ser duas vezes menor do que nos países ricos."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",O JAS 39C Gripen explodiu numa pista às 9h30 local (0230 UTC) e provocou a fechadura do aeroporto aos voos comerciais.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,O piloto foi identificado como o chefe do esquadrão Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,A imprensa local relatou que um veículo de luta contra o incêndio no aeroporto é um facto de toneladas de socorros serem transportadas.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, de 28 anos, reincorporou-se ao Barça há três temporadas, proveniente de Séville."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","Desde a sua chegada à capital catalã, Vidal jogou 49 partidas para o clube."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","A manifestação começou por volta das 11h local (UTC+1) em Whitehall, em frente à entrada guardada pela polícia de Downing Street, a residência oficial do primeiro-ministro."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","Em Whitehall, pouco depois das 11h, os manifestantes bloquearam a circulação dos veículos em direcção ao norte."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","Às 11h20, a polícia pediu aos manifestantes que retornassem ao calçadão, declarando que deviam encontrar um equilíbrio entre o direito de manifesto e o aumento da circulação."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Às 11h29, a manifestação se deslocou em direção a Whitehall, frente à Praça Trafalgar, le long du Strand, en passant par Aldwych e en remontant Kingsway vers Holborn, onde o Partido Conservador realizou seu Fórum de Primavera à l'hôtel Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,A pontuação de Nadal em confrontos diretos face ao Canadien é de 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Recentemente perdeu um jogo contra o Raonic durante o Aberto de Brisbane.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","O Nadal acumulou 88% de pontos no jogo, remportando 76 pontos no primeiro serviço."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Após o jogo, o rei da terra batida declarou: ""Estou simplesmente contente por estar de volta para as fases finais dos eventos mais importantes."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Os Papéis de Panamá são uma expressão genérica que designa cerca de dez milhões de documentos provenientes do gabinete de advogados panameus Mossack Fonseca, e que foram filtrados na imprensa na primavera de 2016."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,Os documentos mostram que 14 bancos ajudaram clientes afortunados a guardar milhares de milhões de dólares americanos de riqueza para evitar impostos e outras regulamentações.
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,O jornal britânico The Guardian sugeriu que o Deutsche Bank controlasse cerca de um terço das 1200 sociedades escritas utilizadas para este fim.
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","As manifestações ocorrem em todo o mundo, há várias perseguições penais e os dirigentes dos governos islandês e paquistanês renunciaram."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Né à Hong Kong, Ma a estudé à universidade de Nova York e à faculdade de direito de Harvard e já foi titular de uma carteira verte, a carteira de residente permanente dos Estados Unidos."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,"O senhor comissário disse que, durante as eleições, poderia fugir do país em caso de crise."
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,Ele também afirmou que a muito fotogênica oferecia mais estilo que ideias verdadeiras.
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.","Apesar dessas acusações, Ma ganhou a maior parte de uma plataforma que defende os laços e os laços com a China continental."
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,O jogador do dia é Alex Ovechkin dos Capitals de Washington.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","Ele marcou 2 pontos e fez 2 passes decisivas durante o jogo contra os Atlanta Trashers, remportado 5-3 por Washington."
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,A estreia passa decisiva de Ovechkin dans la soirée a été en faveur do vencedor do azul Nicklas Backstrom;
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","Son deuxième but de la soirée était son 60e de la saison, tornando-se assim o primeiro jogador a marcar 60 buts ou mais numa temporada desde 1995-96, data em que Jaromir Jagr e Mario Lemieux alcançaram cada um esse número."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","Em 2008, Batten foi classificado em 190o na lista dos 400 americanos mais ricos, com uma fortuna estimada em 2,3 bilhões de dólares."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,É diplomado no Colégio de Artes e Ciências da Universidade da Virgínia desde 1950 e foi importante doador desta instituição.
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,A prisão de Abu Ghraib no Iraque foi incendiada durante uma revolta.
30,Cette prison est devenue tristement célèbre après que des maltraitances sur les prisonniers aient été constatées suite à sa reprise par les forces américaines.,Esta prisão tornou-se tristemente famosa após os maus tratos contra os prisioneiros que foram constatados após a sua recuperação pelas forças americanas.
31,"Piquet Jr. s'est écrasé lors du Grand Prix de Singapour de 2008, tout juste après un arrêt aux stands de Fernando Alonso, forçant la sortie de la voiture de sécurité.","Piquet Jr. foi derrotado no Grande Prêmio de Cingapura de 2008, logo após uma parada nos estádios de Fernando Alonso, forçando a saída de la voiture de sécurité."
32,"Alonso a profité que les voitures positionnées devant se sont arrêtées pour faire le plein de carburant durant la présence de la safety car, pour remonter le peloton et remporter la victoire.","Alonso se beneficia de que os carros colocados diante de si sejam parados para fazer o carburante durante a presença do carro de segurança, para montar o pelotão e substituir a vitória."
