id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",Científicos de la Escuela de Medicina de la Universidad de Stanford anunciaron este lunes la creación de una nueva herramienta de diagnóstico que permitirá diferenciar las células según su tipo.
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Según los investigadores principales, esto podría permitir una detección precoz del cáncer, la tuberculosis, el VIH y la malaria entre los pacientes de los países de bajos ingresos, donde la tasa de supervivencia a enfermedades como el cáncer de seno puede ser dos veces menor que en los países ricos."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.","El JAS 39C Gripen se estrelló en una pista alrededor de las 9h30 hora local (0230 UTC) y se produjo una explosión, provocando el cierre del aeropuerto a los vuelos comerciales."
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,El piloto ha sido identificado como el jefe del escuadrón Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La prensa local ha informado que un vehículo de lucha contra el incendio en el aeropuerto ha hecho de toneladas de ayuda.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, de 28 años, regresó al Barça hace tres temporadas, procedente de Sevilla."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.","Desde su llegada a la capital catalana, Vidal ha jugado 49 partidos para el club."
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","La manifestación comenzó alrededor de las 11 horas local (UTC+1) en Whitehall, frente a la entrada guardada por la policía de Downing Street, la residencia oficial del Primer Ministro."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","En Whitehall, poco después de las 11:00, los manifestantes bloquearon la circulación de los vehículos en dirección al norte."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.","A las 11h20, la policía pidió a los manifestantes que regresaran al pasillo, declarando que debían encontrar un equilibrio entre el derecho de manifiesto y el aumento de la circulación."
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","A las 11h29, la manifestación se desplazó hacia Whitehall, frente a Trafalgar Square, le long du Strand, en passant por Aldwych y en remontante Kingsway hacia Holborn, donde el Partido Conservador sostuvo su foro de primavera a l'hôtel Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,La puntuación de Nadal en confrontaciones se dirige frente al Canadien est de 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Recientemente perdió un partido contra Raonic durante el Abierto de Brisbane.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Nadal acumuló un 88% de puntos en el partido, remportando 76 puntos en el primer servicio."
