id,source_text,target_text
0,"Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",Forskare vid Stanforduniversitetets medicinska skola har på måndagen meddelat att de ska skapa ett nytt diagnostiskt verktyg som kan skilja cellerna beroende på deras typ.
1,"Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.","Enligt de främsta forskarna kan detta möjliggöra en tidig upptäckt av cancer, tuberkulos, HIV och malaria hos patienter i låginkomstländer, där överlevnaden av sjukdomar som bröstcancer kan vara två gånger mindre än i rika länder."
2,"Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",JAS 39C Gripen kraschade på en banan runt 9:30 lokaltid (0230 UTC) och en explosion orsakade att flygplatsen stängdes för kommersiella flygningar.
3,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,Piloten har identifierats som chefen för Eskadern Dilokrit Pattavee.
4,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.
5,"Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.","Vidal, 28 år, hade återvänt till Barça för tre säsonger sedan."
6,"Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",Sedan sin ankomst i den katalanska huvudstaden har Vidal a Joué spelat 49 matcher för klubben.
7,"La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.","Demonstrationen inleddes runt 11:00 lokaltid (UTC+1) på Whitehall, framför Downing Street-polisen, premiärministerns officiella residens."
8,"À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.","På Whitehall, strax efter kl. 11, blockerade demonstranter trafiken mot norr."
9,"À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.",Vid klockan 11:20 bad polisen demonstranterna återvända på trottoaren och förklarade att de skulle hitta en balans mellan manifesträtt och ökning av trafiken.
10,"A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.","Klockan 11.29 flyttade demonstrationen mot Whitehall, framför Trafalgar Square, le long du Strand, en passage via Aldwych och en remontant Kingsway mot Holborn, där Parti Conservateur höll sitt Forum de printes à l'hôtel Grand Connaught Rooms."
11,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,Skoret från Nadal i konfrontationer leder mot Canadien är 7-2.
12,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,Han förlorade nyligen en match mot Raonic under Brisbane Open.
13,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.","Nadal samlade 88% av poängna i matchen, med 76 poäng i premiärservice."
14,"Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».","Efter matchen förklarade le roi de la terre battue: ""Jag är helt enkelt glad över att vara tillbaka för de sista faserna av de viktigaste händelserna."
15,"Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.","Les  Panama Papers  är ett generiskt uttryck för cirka tio miljoner dokument från det panamesiska advokatbyrån Mossack Fonseca, som filtrerades i pressen våren 2016."
16,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,Dokumenten visar att 14 banker har hjälpt de lyckliga kunderna att spara miljarder amerikanska dollar i rikedom för att undvika skatter och andra regleringar.
17,Le journal britannique The Guardian a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin.,Den brittiska tidningen The Guardian föreslog att Deutsche Bank kontrollerade ungefär en tredjedel av de 1200 företag som används för detta ändamål.
18,"Des manifestations ont eu lieu un peu partout dans le monde, il y a eu plusieurs poursuites pénales, et les dirigeants des gouvernements islandais et pakistanais ont tous deux démissionné.","Demonstrationer äger rum över hela världen, det finns flera straffrättsliga förföljelser, och de isländska och pakistanska regeringarnas ledare har båda avgått."
19,"Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard et a déjà été titulaire d'une « carte verte », la carte de résident permanent des États-Unis.","Né à Hong Kong, Ma a étudié à l'université de New York et à la faculté de droit de Harvard och a déjà été titulaire d'une  carte verte , la carte de résident permanent des États-Unis."
20,Hsieh a laissé entendre pendant les élections que Ma pourrait fuir le pays à l'occasion d'une crise.,Jag har inte sagt något under valet om jag skulle kunna fly landet i händelse av en kris.
21,Hsieh a également affirmé que le très photogénique Ma offrait plus de style que de véritables idées.,Han har också bekräftat att den mycket fotogena erbjuder mer stil än verkliga idéer.
22,"Malgré ces accusations, Ma a gagné haut la main sur une plateforme prônant des liens plus étroits avec la Chine continentale.",Trots dessa anklagelser har Ma vunnit högt på en plattform som förespråkar band och nära kontakter med det kontinentala Kina.
23,Le joueur du jour est Alex Ovechkin des Washington Capitals.,Le joueur du jour är Alex Ovechkin från Washington Capitals.
24,"Il a marqué 2 buts et fait 2 passes décisives durant le match contre les Atlanta Trashers, remporté 5-3 par Washington.","Han gjorde 2 mål och 2 pass under matchen mot Atlanta Trashers, förlorad 5-3 av Washington."
25,La première passe décisive d’Ovechkin dans la soirée a été en faveur du but gagnant du bleu Nicklas Backstrom ;,La première passe décisive d'Ovechkin dans la soirée a été en faveur du men vinnaren av det blå Nicklas Backstrom;
26,"Son deuxième but de la soirée était son 60e de la saison, devenant ainsi le premier joueur à marquer 60 buts ou plus en une saison depuis 1995-96, date à laquelle Jaromir Jagr et Mario Lemieux ont chacun atteint ce chiffre.","Son deuxième but de la soirée était son 60e de la saison, och blev därmed den första spelaren att markera 60 buts eller mer i en säsong sedan 1995-96, då Jaromir Jagr och Mario Lemieux var och en nådde denna siffra."
27,"En 2008, Batten a été classé 190e sur la liste des 400 Américains les plus riches, avec une fortune estimée à 2,3 milliards de dollars.","2008 var Batten rankad 190 på listan över de 400 rikaste amerikanerna, med en förmögenhet uppskattad till 2,3 miljarder dollar."
28,Il est diplômé du Collège des arts et sciences de l’Université de Virginie depuis 1950 et a été un donateur important de cette institution.,Han har studerat vid University of Virginia College of Arts and Sciences sedan 1950 och har varit en viktig donator till denna institution.
29,La prison d’Abu Ghraib en Irak a été incendiée lors d’une émeute.,Fängelset i Abu Ghraib i Irak brändes under ett uppror.
30,Cette prison est devenue tristement célèbre après que des maltraitances sur les prisonniers aient été constatées suite à sa reprise par les forces américaines.,Detta fängelse blev tristest berömt efter att misshandel av fångar upptäcktes efter en återupprättning av de amerikanska styrkorna.
