id,source_text,target_text
0,周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,"周一, scientists at Stanford University Medical School announced that they have invented a new type of diagnostic tool that can classify cells by type: a printed microchip. Such a chip can be used to make a standard inkjet printing machine."
1,主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,"The main researchers said that this could enable patients in low-income countries/regions to detect cancer, tuberculosis, AIDS and malaria as early as possible. In these countries/regions, the survival rate of diseases such as breast cancer may be only half that of rich countries."
2,当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,"Local time around 9:30 am (UTC 0230),JAS 39C 狮斗机撞上跑道并发生爆炸,导致机场关闭,商业航班无法正常起起降――"
3,涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,涉事飞行员 is the commander of the air force (Dilokrit Pattavee).
4,当地媒体报道，一辆机场消防车在响应火警时翻了车。,"According to local media reports, a machine-gun fire truck overturned the car in response to the fire."
5,三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,"Three seasons ago, a 28-year-old Bidal (Vidal) from the Serbian team joined Bassa."
6,自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,"Since joining the senior team, Vidal has made 49 appearances for the club."
7,抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,"The protest began at 11:00 local time (UTC+1) 左右在白厅 (White Hall) 开始,白厅对面是首相官邸唐宁街的入口处,由警察看守──"
8,11 点刚过，抗议者便堵住了白厅北行车道的交通。,"At 11 p.m., protesters blocked traffic in the White House."
9,11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,"At 11:20 pm, the police demanded that protesters return to the walkways, and informed protesters that, when exercising their right to protest, they must take into account the increasing congestion of public transportation."
10,11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,"Around 11:29 p.m., the protest crowd marched forward into the White Hall, through the Trafalga Square, Stranderdadstrasse, and into the Hall. The Conservative Party was holding a spring conference at the local Grand Connaught Rooms Hotel."
11,纳达尔（Nadal）与加拿大人的交手记录是 7-2。,纳达尔 (Nadal) and the Canadian men have a record of 7-2.
12,不久前，他在布里斯班公开赛上败于拉奥尼奇。,"Not long ago, he lost to Laonich at the Brisbane Open."
13,纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,"纳达尔 (Nadal) took 88% of the net winning share in the match, winning 76 points in the first innings."
