id,source_text,target_text
0,周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,"周一, des scientifiques de la faculté de médecine de l'Université de Stanford ont annoncé qu'ils avaient inventé un nouveau type d'outil de diagnostic permettant de classer les cellules par type: une petite puce imprimable."
1,主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,"Les principaux chercheurs ont indiqué que cela permettrait aux patients des pays/régions à faible revenu de détecter le plus tôt possible le cancer, la tuberculose pulmonaire, le sida et le paludisme. Dans ces pays/régions, le taux de survie de maladies comme le cancer du sein n'est que de moitié dans les pays riches."
2,当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,"À l'heure locale, à 9h30 (UTC 0230), le JAS 39C s'est écrasé sur la piste et a explosé, entraînant la fermeture de l'aéroport et l'incapacité des vols commerciaux à démarrer et à descendre."
3,涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员 涉事飞行员
4,当地媒体报道，一辆机场消防车在响应火警时翻了车。,"Selon les médias locaux, un véhicule d'incendie de l'hôtel s'est écrasé à l'heure de l'incendie."
5,三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,"Il y a trois saisons, Vidal, 28 ans, a rejoint l'équipe de Séville."
6,自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,"Depuis son transfert à l'équipe du chef de l'État de Thaïlande, Vidal a joué 49 matches pour le club."
7,抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,La manifestation s'est déroulée à 11h00 (UTC+1) à l'entrée de la Maison Blanche.
8,11 点刚过，抗议者便堵住了白厅北行车道的交通。,"À 11 heures du matin, les manifestants ont bloqué la circulation de la salle blanche."
9,11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,"11h20min, la police a demandé aux manifestants de revenir sur les routes et a informé les manifestants qu'en exerçant leur droit de protestation, ils doivent tenir compte des problèmes de transport en commun de plus en plus encombrés."
10,11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,"À 11 h 29 environ, les manifestants se dirigent vers la salle blanche, traversent le terrain, la rue Strand, la rue, la rue, l'hôtel, le Grand Connaught Room, où le Parti conservateur organise un forum de printemps."
11,纳达尔（Nadal）与加拿大人的交手记录是 7-2。,L'équipe canadienne a un record de 7-2.
12,不久前，他在布里斯班公开赛上败于拉奥尼奇。,"Il n'y a pas longtemps, il a été défait à Laonich lors de l'Open de Brisbane."
13,纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,"纳达尔 (Nadal) a remporté 88% de son chiffre d'affaires net lors du match, en gagnant 76 points lors de la première élimination."
14,赛后，红土之王拉斐尔·纳达尔称：“我很开心重返能这项重大赛事的决赛，我会尽全力争取夺冠。”,"À la fin de la compétition, le roi de la terre rouge Rafael Nadal a déclaré: ""Je suis très heureux de revenir à la finale de cette grande compétition, je ferai de mon mieux pour gagner la victoire""."
15,"“巴拿马文件” 是巴拿马莫萨克·冯塞卡律师事务所 (Mossack Fonseca) 约 1,000 万份文件的总称，这些文件在 2016 年春季被爆料给媒体。",巴拿马文件 巴拿马莫萨克塞卡律师事务所 (Mossack Fonseca) 巴拿马莫萨克塞卡律师事务所 (Mossack Fonseca) 巴拿马文件 巴拿马文件 巴拿马莫萨克塞卡律师事务所 (Mossack Fonseca) 巴拿马文件 巴拿马文件 巴拿马莫萨克塞卡律师事务所 (Mossack Fonseca) 巴
16,文件显示，十四家银行帮助富有的客户隐藏了数十亿美元的财富来逃避税收和其它监管。,Les documents montrent que 14 banques ont aidé des clients riches à cacher des milliards de dollars de richesses pour échapper à la fiscalité et à d'autres réglementations.
17,英国《卫报》指出，在用于实现这一目标的 1200 家空壳公司中，德意志银行控制了大约三分之一。,"Le quotidien britannique britannique note que, parmi les 1200 entreprises qui ont atteint cet objectif, la Deutsche Bank contrôle environ un tiers."
18,世界各地都发生了抗议活动，有几起刑事诉讼，冰岛和巴基斯坦政府的领导人都辞职了。,"Des manifestations ont eu lieu partout dans le monde, des poursuites pénales ont éclaté, les dirigeants des gouvernements de l'Islande et du Pakistan ont démissionné."
19,马生于香港，曾就读于纽约大学和哈佛大学法学院，还一度持有美国永久居民身份证“绿卡”。,"Il est né à Hong Kong, a étudié à l'Université de New York et à la Faculté de droit de l'Université Harvard, et possède une fois un permis de séjour permanent aux États-Unis."
20,谢长廷在选举期间暗示，马英九在遇到危机时可能会逃离台湾。,谢长廷 lors des élections a laissé entendre que l'Angleterre pourrait fuir Taïwan en cas de crise.
21,谢长廷还声称马英九虽然很上镜，但中看不中用。,"谢长廷 a également affirmé que même si c'était très haut de gamme, il ne l'était pas."
22,尽管受到这些指责，马英九在一次演讲中主张与中国大陆建立更加紧密的联系，并轻松获胜。,"Malgré ces reproches, il s'est engagé à établir des liens plus étroits avec la Chine continentale lors d'un discours et a gagné facilement."
23,今日最佳选手是来自华盛顿首都队的亚历克斯·奥韦奇金。,Le meilleur joueur d'aujourd'hui est Alex O'Weitchkin de l'équipe de Washington.
24,在华盛顿队以 5-3 的比分战胜亚特兰大鸫鸟队的比赛中，他贡献了 2 个进球和 2 次助攻。,"Lors de la victoire de 5-3 contre l'équipe de Washington contre l'Atlanta, il a contribué à 2 buts et 2 secondes d'assistants."
25,奥韦奇金（Ovechkin）当晚的第一个助攻，来自新秀尼克拉斯·贝克斯特伦 (Nicklas Backstrom) 的制胜一球;,Le premier assistant de Ovechkin de la soirée provient de la victoire de Nicolas Backstrom.
26,他当晚的第二个进球是他本赛季的第60个进球，成为自1995-96赛季以来首位在一个赛季中打进60个或更多进球的球员——在1995-96赛季，亚罗米尔·雅格和马里奥·拉缪都达到了这一里程碑。,"Son deuxième but de la soirée est le sixième de sa saison, devenant le premier joueur depuis la saison 1995-96 à marquer 60 buts ou plus en une saison."
27,巴滕位列 2008 年全美最富有 400 人榜单第 190 位，预计其财富达到约 23 亿美元。,"La liste des 400 personnes les plus riches de l'Amérique de 2008 occupe la 190e place, sa fortune devrait atteindre environ 23 milliards de dollars."
28,他在 1950 年毕业于弗吉尼亚大学艺术与科学学院，并且是该校的重要捐赠者。,Il est diplômé de l'Académie des arts et des sciences de l'Université de Virginie en 1950 et est un donateur important de l'école.
29,伊拉克的阿布格莱布监狱在一次暴乱中着火。,La prison d'Abbul Khalib en Irak a été incendiée lors d'une révolte.
30,美军接管后，该监狱发现了虐囚事件，自此变得声名狼藉。,"Après la prise de contrôle de l'armée américaine, la prison a découvert des faits de maltraitance, devenant désormais célèbre."
31,在 2008 年新加坡大奖赛上，费尔南多·阿隆索提前进站后，小皮奎特发生撞车，迫使安全车出场。,"En 2008, lors du Grand Prix de Singapour, après la première étape de l'épreuve, un accident de voiture s'est produit, obligeant une voiture de sécurité à sortir de l'épreuve."
32,当位于阿隆索前面的赛车在安全车的引领下进行加油时，他趁机抢先，最终赢得了胜利。,"Lorsqu'un véhicule de course à l'avant d'Alonso, sous la direction d'un véhicule de sécurité, a été chargé de carburant, il a eu la chance de se précipiter et a finalement remporté la victoire."
33,小皮奎特在 2009 年匈牙利大奖赛之后被解雇。,小皮奎特 a été licencié après le Grand Prix de Hongrie de 2009.
34,正值上午 8 点 46 分，整座城市陷入了寂静，标示了第一架飞机撞上目标的确切时间。,"À 8h46, toute la ville est plongée dans le silence, marquant le moment exact du premier avion qui a heurté l'objectif."
35,两束光被临时造出，彻夜指向天空。,"Les deux rayons de lumière sont temporairement créés, toute la nuit en direction du ciel."
