id,source_text,target_text
0,"Mandag offentliggjorde forskere fra Stanford Universitys School of Medicine opfindelsen af et nyt diagnoseværktøj, som kan sortere celler efter type: en ganske lille printbar chip, som kan fremstilles med almindelige inkjetprintere, muligvis for omkring én US-cent stykket.","Mandag published researchers from Stanford University's School of Medicine opfindelsen of et nyt diagnoseværktøj, som kan sortere celler efter type: en ganske lille printbar chip, som kan fremstilles with the usual inkjetprinter, possibly for about én US-cent piece."
1,"Førende forskere siger, at dette kan medføre tidlig opdagelse af kræft, tuberkulose, HIV og malaria for patienter i lavindkomstlande, hvor overlevelsesraterne for sygdomme, såsom brystkræft, kan være halvdelen af dem fra rigere lande.","According to leading researchers, this can lead to early onset of cancer, tuberculosis, HIV and malaria for patients in developing countries, where survival rates for diseases, such as breast cancer, can be half of the population in the rest of the world."
2,"JAS 39C Gripen styrtede ned på en landingsbane omkring kl. 9.30 lokal tid (02.30 UTC) og eksploderede, hvilket førte til midlertidig lukning af lufthavnen for kommercielle flyvninger.","JAS 39C Gripen was detonated on a landing strip around 9.30 local time (02.30 UTC) and exploded, leading to the temporary closure of airports for commercial flights."
3,Piloten blev identificeret som eskadrilleleder Dilokrit Pattavee.,The pilot was identified as squadron leader Dilokrit Pattavee.
4,"Lokale medier rapporterer, at en brandbil fra lufthavnen væltede, mens den var under udrykning.","Local media rapporteur, at en brandbil fra lufthavnen væltede, mens den var under udrykning."
5,Den 28-årige Vidal har sluttet sig til Barca for tre sæsoner siden fra Sevilla.,The 28-year-old Vidal has signed for Barca for three seasons since Sevilla.
6,"Vidal har, siden han flyttede til den catalanske hovedstad, spillet 49 kampe for klubben.","Vidal har, since he moved to den katalanske huvudstad, has played 49 kampe for klubben."
7,"Protesten startede omkring kl. 11:00 lokal tid (UTC+1) på Whitehall, overfor den politibevogtede indgang til Downing Street, premierministerens officielle hjem.","Protests began around 11:00 local time (UTC+1) on Whitehall, across the political street from the entrance to Downing Street, the Prime Minister's official home."
8,Lidt over kl. 11:00 blokerede demonstranter den nordgående trafik i Whitehall.,Lidt over 11:00 blocked demonstrators from northbound traffic in Whitehall.
9,"Klokken 11:20 bad politiet demonstranterne om at bevæge sig tilbage til fortovet og kommanderede, at de skulle afstemme deres ret til at demonstrere med ophobningen af trafik.","At 11.20 am, the police demonstrated their right to return to the fortress and were ordered to give up their right to demonstrate traffic violations."
10,"Omkring 11:29 bevægede demonstrationen sig op ad Whitehall, forbi Trafalgar Square, langs the Strand, forbi Aldwych og op ad Kingsway i retning af Holborn, hvor det Konservative parti afholdt deres forårs-forum på hotellet Grand Connaught Rooms.","Around 11:29 a.m. demonstrations were held in Whitehall, across Trafalgar Square, along the Strand, across Aldwych and across Kingsway in the direction of Holborn, where the Conservative Party held their spring-forum at the Hotel Grand Connaught Rooms."
11,Nadals mand-til-mand rekord mod canadieren er 7–2.,"In the case of the United States, it is not possible to determine the extent to which this is the case."
12,Han tabte for nylig til Raonic i Brisbane Open.,He's been to the Raonic in Brisbane Open recently.
13,Nadal scorede 88% af de samlede point i kampen og vandt 76% af sine førsteserver.,Nadal scored 88% of the total points in the fight and 76% of his first server.
14,"Efter kampen udtalte Lerets Konge: ""Jeg er bare glad for at være tilbage i de sidste runder af de vigtigste begivenheder. Jeg er her for at vinde.""","After the fight, Lerets Konge said: ""I'm just happy to be back in the last round of the most important events."
15,"""Panama-papirerne"" er en paraplybetegnelse for ca. ti millioner dokumenter fra det panamanske advokatfirma Mossack Fonseca, der blev lækket til pressen i foråret 2016.","""Panama-papirerne"" is a paraplybetegnelse for about one million documents from the Panamanian advocacy firm Mossack Fonseca, which was leaked to the press in spring 2016."
16,"Dokumenterne viste, at 14 banker hjalp velhavende kunder med at skjule formuer på milliarder af amerikanske dollars for at undgå skatter og andre reguleringer.","For example, at 14 bankers helped wealthy clients at Skjule form on billions of U.S. dollars for avoidance of skaters and other regulators."
17,"Den britiske avis The Guardian mente, at Deutsche Bank kontrollerede cirka en tredjedel af de 1200 skuffeselskaber, der blev brugt til at opnå dette.",The British newspaper The Guardian reported that Deutsche Bank controlled approximately a third of the 1200 companies employed in this field.
18,"Der var protester over hele verden, adskillige retsforfølgelser, og lederne af Islands og Pakistans regeringer trådte begge tilbage.","There were protests all over the world, adskillige retsforfølgelser, og lederne af islands og Pakistans regeringer trådte begge tilbage."
19,"Ma er født i Hong Kong og studerede på New York University og Harvard Law School og havde engang et amerikansk ""green card"" for fastboende personer.","I was born in Hong Kong and studied at the New York University and Harvard Law School and had an American ""green card"" for fastboende persons."
20,"Hsieh antydede under valget, at Ma ville flygte fra landet i en krisetid.","Hsieh Antyded under Wahl, at Ma Ville Flieggte fra landet i en krisetid."
21,"Hsieh argumenterede også, at den fotogene Ma var mere stil end substans.","Hsieh argued also, at den fotogene Ma var mere stil end substans."
22,På trods af disse beskyldninger vandt Ma med lethed ved at tale for tættere bånd med det kinesiske fastland.,"In spite of these accusations, I have not been able to speak for a closer relationship with the Chinese mainland."
23,"Dagens spiller er, i dag, Alex Ovechkin fra Washington Capitals.","Dagens Player is today, Alex Ovechkin from Washington Capitals."
24,Han lavede 2 mål og 2 målgivende afleveringer i Washingtons 5-3 sejr over Atlanta Thrashers.,He scored two goals and two assists in Washington's 5-3 victory over the Atlanta Thrashers.
25,Aftenens første assist for Ovechkins var på det kampvindende mål af debutanten Nicklas Backstrom;,Attenens first assist for Ovechkins var på det kampvindende mål of debutant Nicklas Backstrom;
26,"hans andet mål denne aften var hans 60. i denne sæson, og han blev den første spiller som har scoret 60 eller flere mål i en sæson siden 1995-96, da Jaromir Jagr og Mario Lemieux begge nåede den milepæl.","In this season, he became the first player to score 60 or more goals in a season since 1995-96, since Jaromir Jagr and Mario Lemieux both reached the milestone."
27,"Batten var med en anslået formue på 2,3 milliarder $ nummer 190 på ranglisten over de 400 rigeste amerikanere i 2008.","Batten var med en anslået formue at 2,3 billion $ number 190 on the list of the 400 richest Americans in 2008."
28,Han dimitterede fra College of Arts & Sciences fra University of Virginia i 1950 og var en betydelig bidragsyder til institutionen.,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and made considerable contributions to the institutions.
29,Iraks Abu Ghraib-fængsel er blevet sat i brand under et oprør.,The Iraqi Abu Ghraib prisoners have been imprisoned under torture.
30,"Fængslet blev berygtet, da fangermisbrug blev opdaget, efter de amerikanske styrker overtog ledelsen.","Fængslet was berygtet, the Fangermisbrug was discovered, after the American forces took over the leadership."
31,"Piquet Jr. havde en ulykke i Grand Prix i Singapore lige efter et tidligt pitstop til Fernando Alonso, hvilket fik sikkerhedsbilen ud.","Piquet Jr. had an accident at the Grand Prix in Singapore just after the pit stop of Fernando Alonso, which made him a security guard."
32,"Da bilerne foran Alonso stoppede for at tanke op under følge af sikkerhedsbilen, rykkede han op i rækken og tog sejren.","When Bilerne and Alonso stopped for a tank operation under the auspices of the Security Bilen, he ricked his op i rækken og tog sejren."
33,Piquet Jr. blev fyret efter Grand Prixet i Ungarn i 2009.,Piquet Jr. was fired after the Grand Prix in Hungary in 2009.
34,"Præcis klokken 8:46 faldt der en stilhed over byen som markerede det nøjagtige øjeblik, hvor det første fly ramte sit mål.",Exactly at 8:46 a.m. the plane crashed over Ben Sommarede at the exact moment when the first flight landed.
35,"To stråler af lys er blevet installeret, således at de peger op mod himlen i løbet af natten.","In order to radiate the light that has been installed, so at de peger op mod heaven in the course of the night."
36,Bygningen af fem nye skyskrabere er i gang på stedet med et transportcenter og en mindepark i midten.,The construction of a new skyscraper is organised on the premises of a medical and transport centre and a memorial park in the centre.
37,"PBS-showet har vundet mere end to dusin Emmy-priser, og den har løbet i længere tid end alle andre programmer på nær Sesame Street og Mister Rogers' Neighborhood.","PBS-shows have won only a dozen Emmy awards, and they have run longer than any other program on Sesame Street and Mister Rogers' Neighborhood."
38,"Hver episode af showet fokuserede på et tema i en bestemt bog, og dette tema blev derefter udforsket gennem flere historier.","Each episode of the show focused on a theme in a particular book, and this theme was then explored through several stories."
39,"Hvert show gav også anbefalinger til bøger, som børn skulle lede efter, når de gik på biblioteket.","Each show also gave a recommendation to the books, which the children should follow, when they reach the library."
40,"John Grant fra WNED Buffalo (Reading Rainbows hjemmekanal) sagde ""Reading Rainbow lærte børn, hvorfor de skulle læse... kærligheden til at læse – [showet] opfordrede til at tage en bog frem og til at læse.""","John Grant from WNED Buffalo (Reading Rainbows hjemmekanal) said ""Reading Rainbow lærte børn, hvorfor de skulle læse... kærligheden til at læse  [showet] opfordrede til at tage en bog frem og til at læse""."
41,"Nogen mener, herunder John Grant, at både finansieringsknuden og skiftet i filosofien om undervisnings-TV havde indflydelse på, at serien sluttede.","No one, including John Grant, at both the financing and the philosophy of education had an influence on television, at the end of the series."
42,"Prognoserne siger, at stormen, der er omkring 645 mil (1040 km) vest for Kap Verde-øerne, sandsynligvis vil forsvinde, før den truer nogen landområder.","According to forecasts, at storms, which are about 645 miles (1040 km) west of Cape Verde, most likely will disappear, before any real land areas."
43,Fred har i øjeblikket vinde på 165 km/t og bevæger sig mod nordvest.,Fred is currently travelling at 165 km/h and moving northwest.
44,"Fred er den heftigste tropiske cyklon, der nogensinde er blevet registreret så sydligt og østligt i Atlanterhavet, siden man begyndte at bruge satellitbilleder, og kun den tredje store orkan, der er registreret øst for 35°V.","Fred was the strongest tropical cyclone ever recorded so south and east in the Atlantic Ocean, since man began to use satellite imagers, and there was the third major hurricane ever recorded east of 35°V."
45,"Den 24. september 1759 underskrev Arthur Guinness en 9.000-års lejeaftale af St James' Gate-bryggeriet i Dublin, Irland.","On 24 September 1759 Arthur Guinness signed the 9,000-year lease after the St James' Gate-bryggeriet in Dublin, Ireland."
46,"250 år senere er Guinness vokset til en global virksomhed, som omsætter for 10 milliarder Euro (14,7 miliarder US$) hvert år.","250 years later Guinness grew into a global company, with a turnover of 10 billion Euro (14.7 billion US$) per annum."
47,"Jonny Reid, medchauffør for det new zealandske A1GP team, skrev historie i dag ved at køre hurtigst over den 48 år gamle Auckland Harbour Bridge, New Zealand, helt lovligt.","Jonny Reid, medical chauffeur for the New Zealand A1GP team, wrote the story of the day at the 48-year-old Auckland Harbour Bridge, New Zealand, helt lovligt."
48,"Mr Reid formåede at køre New Zealands A1GP-bil, Black Beauty, over broen syv gange med en hastighed på over 160 km/t.","Mr Reid trained at New Zealand's A1GP-bil, Black Beauty, over brown seven times with a speed of over 160 km/h."
49,"Det newzealandske politi havde svært ved at bruge deres fartkontrol til at se hvor hurtigt Hr. Reid virkelig kørte, på grund af hvor lav Black Beauty er. Den eneste gang politiet formåede at fange Hr. Reid, var da han satte farten ned til 160 km/t.","The New Zealand police had difficulty in using their speed controls until Mr. Reid really drove, due to the lack of Black Beauty."
50,I løbet af de sidste 3 måneder er over 80 arresterede blevet løsladt fra Central Booking uden at blive anklaget officielt.,Over the last three months more than 80 arrests have been released from Central Booking without being officially charged.
51,"I april i år blev der udstedt et midlertidigt polititilhold af dommer Glynn mod faciliteten, for at håndhæve løsladelsen af dem der blev tilbageholdt i mere end 24 timer, efter de blev anholdt, og som ikke blev afhørt af en kommissær.","In April of that year, a temporary political detention was issued by Mr Glynn mod faciliteten, for at the time of handing over the release of the detainees, they were detained for only 24 hours, after they had been detained, and they were not informed by a commissær."
52,"Kommissæren fastsætter kautionen hvis bevilget og formaliserer sigtelserne, der er indgivet af den arresterende betjent. Sigtelserne bliver derpå indtastet i statens computersystem, hvor sagen følges.","The Commissioners shall lay down the conditions for granting and formalizing the signals, which shall be issued by the arresting officer."
53,Høringen markerer også datoen for den mistænktes ret til en hurtig retssag.,Høringen markerer also dated for the mistænktes ret till en hurtig retssag.
54,"Peter Costello, som er en australsk kasserer og den person der højest sandsynligt kommer til at efterfølge premierminister John Howard som partileder i det liberale parti, har givet sin støtte til atomkraftindustrien i Australien.","Peter Costello, an Australian treasurer and the most likely person to succeed Prime Minister John Howard as leader of the Liberal Party, has given his support to the atomic energy industry in Australia."
55,"Mr Costello sagde, at når kernekraftproduktion bliver økonomisk levedygtig, burde Australien fortsætte med at bruge det.","Mr Costello said that when nuclear power production becomes economically viable, Australia should continue to use it."
56,"""Hvis det bliver kommercielt, skal vi have det. Det vil sige, at der ikke er nogen principiel indvending imod atomenergi"", sagde Mr Costello.","""If it becomes commercial, we will have it."
57,"Ifølge Ansa var ""politiet bekymret for et par angreb fra øverste niveau, som de frygtede kunne udløse en regulær arvefølgekrig.","According to Ansa var, ""Politicians are concerned about attacks from the highest levels, as they fear they could lead to a regular armed conflict."
