id,source_text,target_text
0,"Mandag offentliggjorde forskere fra Stanford Universitys School of Medicine opfindelsen af et nyt diagnoseværktøj, som kan sortere celler efter type: en ganske lille printbar chip, som kan fremstilles med almindelige inkjetprintere, muligvis for omkring én US-cent stykket.","Le lundi, des chercheurs de l'École de médecine de l'Université de Stanford ont publié les découvertes et le nouveau diagnostic des cellules de type: en tout petit morceau d'imprimante, en tout état de cause, avec des imprimantes à jet d'encre ordinaires, peut-être pour environ un centime américain."
1,"Førende forskere siger, at dette kan medføre tidlig opdagelse af kræft, tuberkulose, HIV og malaria for patienter i lavindkomstlande, hvor overlevelsesraterne for sygdomme, såsom brystkræft, kan være halvdelen af dem fra rigere lande.","Les chercheurs de premier plan affirment que ce phénomène peut entraîner des maladies précoces comme le cancer, la tuberculose, le VIH et le paludisme chez les patients vivant dans un pays, où la survie des maladies telles que le cancer du sein peut être la moitié de la population dans un autre pays."
2,"JAS 39C Gripen styrtede ned på en landingsbane omkring kl. 9.30 lokal tid (02.30 UTC) og eksploderede, hvilket førte til midlertidig lukning af lufthavnen for kommercielle flyvninger.",Le JAS 39C Gripen a explosé sur une piste d'atterrissage vers 9h30 heure locale (02.30 heure UTC) et a conduit à la fermeture temporaire des aéroports pour les vols commerciaux.
3,Piloten blev identificeret som eskadrilleleder Dilokrit Pattavee.,Le pilote a été identifié comme le chef de l'escadrille Dilokrit Pattavee.
4,"Lokale medier rapporterer, at en brandbil fra lufthavnen væltede, mens den var under udrykning.","Rapporteur des médias locaux, à en brandbil fra lufthavnen væltede, mens den var under udrykning."
5,Den 28-årige Vidal har sluttet sig til Barca for tre sæsoner siden fra Sevilla.,"Vidal, 28 ans, a signé au Barça pour trois saisons depuis Séville."
6,"Vidal har, siden han flyttede til den catalanske hovedstad, spillet 49 kampe for klubben.","Vidal Har, depuis qu'il a déménagé à la capitale catalane, a joué 49 camps pour les clubs."
7,"Protesten startede omkring kl. 11:00 lokal tid (UTC+1) på Whitehall, overfor den politibevogtede indgang til Downing Street, premierministerens officielle hjem.","Les manifestations ont débuté vers 11h00 heure locale (UTC+1) à Whitehall, en face de l'entrée politique vers Downing Street, le domicile officiel du premier ministre."
8,Lidt over kl. 11:00 blokerede demonstranter den nordgående trafik i Whitehall.,"À 11 heures, des manifestants ont bloqué la circulation à Whitehall."
9,"Klokken 11:20 bad politiet demonstranterne om at bevæge sig tilbage til fortovet og kommanderede, at de skulle afstemme deres ret til at demonstrere med ophobningen af trafik.","À 11h20, les manifestants de la police ont manifesté leur droit de retourner à la forteresse et aux commandants, ce qui leur aurait permis de démontrer leur droit d'opposition à la circulation."
10,"Omkring 11:29 bevægede demonstrationen sig op ad Whitehall, forbi Trafalgar Square, langs the Strand, forbi Aldwych og op ad Kingsway i retning af Holborn, hvor det Konservative parti afholdt deres forårs-forum på hotellet Grand Connaught Rooms.","Vers 11h29, des manifestations ont eu lieu à Whitehall, à Trafalgar Square, le long de la Strand, à Aldwych et à Kingsway en direction de Holborn, où le Parti conservateur a tenu son sommet à l'hôtel Grand Connaught Rooms."
11,Nadals mand-til-mand rekord mod canadieren er 7–2.,Il n'y a pas d'accord entre les autorités canadiennes et les autorités canadiennes.
12,Han tabte for nylig til Raonic i Brisbane Open.,Il a récemment participé à l'Open de Brisbane.
13,Nadal scorede 88% af de samlede point i kampen og vandt 76% af sine førsteserver.,Nadal a obtenu 88% du point total de la bataille et 76% du premier serveur.
14,"Efter kampen udtalte Lerets Konge: ""Jeg er bare glad for at være tilbage i de sidste runder af de vigtigste begivenheder. Jeg er her for at vinde.""","Après la bataille, Lerets Konge a déclaré: ""Je suis heureux d'être de retour dans le dernier tour des événements les plus importants."
15,"""Panama-papirerne"" er en paraplybetegnelse for ca. ti millioner dokumenter fra det panamanske advokatfirma Mossack Fonseca, der blev lækket til pressen i foråret 2016.","""Panama-papirerne"" est un extrait d'environ un million de documents du cabinet panaméen d'avocats Mossack Fonseca, qui ont été publiés à la presse au printemps 2016."
16,"Dokumenterne viste, at 14 banker hjalp velhavende kunder med at skjule formuer på milliarder af amerikanske dollars for at undgå skatter og andre reguleringer.","Il y a eu des documents montrant qu'à 14 ans, des banquiers ont aidé des clients en bonne et due forme à éviter les taxes et autres réglementations."
17,"Den britiske avis The Guardian mente, at Deutsche Bank kontrollerede cirka en tredjedel af de 1200 skuffeselskaber, der blev brugt til at opnå dette.","Selon le journal britannique The Guardian, la Deutsche Bank contrôlait environ un tiers des 1200 sociétés d'études qui étaient utilisées pour y parvenir."
18,"Der var protester over hele verden, adskillige retsforfølgelser, og lederne af Islands og Pakistans regeringer trådte begge tilbage.","Les manifestants du monde entier, les responsables des poursuites judiciaires, les dirigeants des îles et le gouvernement pakistanais se sont opposés."
19,"Ma er født i Hong Kong og studerede på New York University og Harvard Law School og havde engang et amerikansk ""green card"" for fastboende personer.","Il est né à Hong Kong et a étudié à l'Université de New York et à la Faculté de Droit de Harvard et a eu une ""carte verte"" américaine pour les jeunes."
20,"Hsieh antydede under valget, at Ma ville flygte fra landet i en krisetid.","Elle est morte sous le choc, à Ma ville volgte fra landet i en krisetid."
21,"Hsieh argumenterede også, at den fotogene Ma var mere stil end substans.","Il s'agit également d'un argument, à la photo génétique Ma var mere stil end substances."
22,På trods af disse beskyldninger vandt Ma med lethed ved at tale for tættere bånd med det kinesiske fastland.,"En dépit de ces accusations, je me suis rendu compte qu'il y avait des liens plus étroits avec le continent chinois."
23,"Dagens spiller er, i dag, Alex Ovechkin fra Washington Capitals.",Le joueur est Alex Ovechkin des Capitals de Washington.
24,Han lavede 2 mål og 2 målgivende afleveringer i Washingtons 5-3 sejr over Atlanta Thrashers.,Il a réalisé 2 buts et 2 buts en donnant l'influence aux Washington 5-3 victoire sur les Atlanta Thrashers.
25,Aftenens første assist for Ovechkins var på det kampvindende mål af debutanten Nicklas Backstrom;,Atenens première aide pour Ovechkins sur les objectifs de campagne du débutant Nicklas Backstrom;
26,"hans andet mål denne aften var hans 60. i denne sæson, og han blev den første spiller som har scoret 60 eller flere mål i en sæson siden 1995-96, da Jaromir Jagr og Mario Lemieux begge nåede den milepæl.","Il est devenu le premier joueur à avoir marqué 60 ou plus de buts en une saison depuis 1995-1996, puisque Jaromir Jagr et Mario Lemieux ont tous les deux atteint un million."
27,"Batten var med en anslået formue på 2,3 milliarder $ nummer 190 på ranglisten over de 400 rigeste amerikanere i 2008.","En 2008, la liste des 400 plus riches américains s'est élevée à 2,3 milliards de dollars."
28,Han dimitterede fra College of Arts & Sciences fra University of Virginia i 1950 og var en betydelig bidragsyder til institutionen.,Il est diplômé du Collège des arts et des sciences de l'Université de Virginie en 1950 et a apporté des contributions significatives aux institutions.
29,Iraks Abu Ghraib-fængsel er blevet sat i brand under et oprør.,Les Irakiens d'Abou Ghraib-Fengsel ont été placés sous la marque et opprimés.
30,"Fængslet blev berygtet, da fangermisbrug blev opdaget, efter de amerikanske styrker overtog ledelsen.","Le château a été abandonné, le pont de la prison a été découvert, après que les forces américaines ont repris la direction."
31,"Piquet Jr. havde en ulykke i Grand Prix i Singapore lige efter et tidligt pitstop til Fernando Alonso, hvilket fik sikkerhedsbilen ud.","Piquet Jr. avait eu un accident au Grand Prix de Singapour juste après le coup d'envoi de Fernando Alonso, ce qui a fait sauter sa voiture."
