id,source_text,target_text
0,"Am Montag haben die Wisenschaftler der Stanford University School of Medicine die Erfindung eines neuen Diagnosetools bekanntgegeben, mit dem Zellen nach ihrem Typ sortiert werden können: ein winziger, ausdruckbarer Chip, der für jeweils etwa einen US-Cent mit Standard-Tintenstrahldruckern hergestellt werden kann.","I have to say that the scientists of the Stanford University School of Medicine have discovered a new diagnostic tool that can be used to diagnose the disease: a winziger, an ausdruckbarer chip, a jewelry, a US-cent, a standard tin-strahl printer."
1,"Führende Forscher sagen, dass dies die Früherkennung von Krebs, Tuberkulose, HIV und Malaria für Patienten in einkommensschwachen Ländern fördern könnte, wo die Überlebensraten bei Krankheiten wie Brustkrebs teilweise nur halb so hoch sind wie in reicheren Ländern.","The Fuehrer Forscher said that early detection of Krebs, tuberculosis, HIV and malaria for patients in less-favoured countries could be prevented."
2,"Der JAS 39C Gripen stürzte gegen 9:30 Uhr Ortszeit (02:30 UTC) auf eine Startbahn und explodierte, sodass der Flughafen für kommerzielle Flüge geschlossen werden musste.","Der JAS 39C Gripen stürzte gegen 9:30 Uhr Ortszeit (02:30 UTC) auf eine Startbahn und explodierte, sodass der Flughafen für kommerzielle Flüge was closed was had to be closed."
3,Der Pilot wurde als Staffelführer Dilokrit Pattavee identifiziert.,The pilot was identified as Staff Leader Dilokrit Pattavee.
4,"Lokale Medien berichten, dass ein Feuerwehrwagen während der Rettungsaktion umkippte.",It is also important to note that the Commission's proposal for a directive on the protection of intellectual property rights in the Member States does not preclude the adoption of a directive on the protection of intellectual property rights in the Member States.
5,Der 28-jährige Vidal war vor drei Spielzeiten von Sevilla zu Barça gekommen.,The 28-year-old Vidal war vor drei Spielzeiten von Sevilla to Barça has come.
6,Seit seinem Umzug in die katalanische Hauptstadt hatte Vidal für den Verein 49 Partien gespielt.,Since its establishment in the Catalan Hauptstadt had Vidal für den Verein 49 Partien gespielt.
7,"Der Protest begann gegen 11:00 Uhr Ortszeit (UTC +1) in Whitehall gegenüber dem von der Polizei bewachten Eingang zur Downing Street, dem offiziellen Wohnsitz des Premierministers.","Der Protest began around 11:00 Uhr Ortszeit (UTC +1) in Whitehall opposite dem von der Polizei bewachten Eingang to Downing Street, dem offiziellen Wohnsitz des Premierministers."
8,Kurz nach 11.00 Uhr blockierten die Demonstranten den Verkehr Richtung Norden in Whitehall.,"At 11 o'clock in the morning, the protestors were blocked in Whitehall."
9,"Um 11:20 Uhr forderte die Polizei die Demonstranten dazu auf, wieder auf die Bürgersteige zurückzukehren, und gab dazu an, dass man das Demonstrationsrecht mit dem Verkehrsaufkommen abwägen müsse.",At 11.20 a.m. the police demanded that the protesters should be allowed to return to their homes and that the right to demonstrate should be abolished.
10,"Gegen 11.29 Uhr zog der Protest nach Whitehall, vorbei am Trafalgar Square, die Straße Strand entlang, vorbei an Aldwych und den Kingsway entlang nach Holborn, wo die Konservative Partei ihr Frühjahrsforum im Hotel Grand Connaught Rooms abhielt.","Gegen 11.29 Uhr zog der Protest nach Whitehall, vorbei am Trafalgar Square, die Straße Strand entlang, vorbei an Aldwych und den Kingsway entlang nach Holborn, where the Conservative Party ihr Frühjahrsforum im Hotel Grand Connaught Rooms was located."
11,Nadals Rekord im direkten Vergleich gegen den Kanadier liegt bei 7:2.,The record in direct comparison with the Canadian is 7:2.
12,Vor kurzem verlor er bei den Brisbane Open gegen Raonic.,I lost the Brisbane Open against Raonic.
13,"Nadal sackte 88% der Netzpunkte im Spiel ein, womit er im ersten Aufschlag 76 Punkte gewann.","Nadal sacked 88% of the Netzpunkte in the game, which in the first Aufschlag won 76 points."
14,"Nach dem Spiel sagte der Sandplatz-König: „Ich freue mich einfach, wieder in den Finalrunden der wichtigsten Turniere zu sein. Ich bin hier, weil ich versuchen will zu gewinnen.“",I am here because I will try to win.
15,"""""""Panama Papers"""" ist ein Sammelbegriff für ungefähr zehn Millionen Dokumente aus der panamaischen Rechtsanwaltskanzlei Mossack Fonseca, die der Presse im Frühjahr 2016 zugespielt wurden.""","""Panama Papers"" is a collective term for approximately ten million documents from the Panamaischen Rechtsanwaltskanzlei Mossack Fonseca, which were published in the press in the spring of 2016."
16,"Die Dokumente zeigten, dass vierzehn Banken reichen Klienten dabei halfen, Vermögen im Wert von mehreren Milliarden US-Dollar zu verstecken, um Steuern und andere gesetzliche Vorgaben zu umgehen.","The documents set out in this section are as follows: that is to say, that there are four types of banks in the European Union, and that is to say, that there are four types of banks in the European Union."
17,"Die britische Zeitung The Guardian deutete an, dass die Deutsche Bank etwa ein Drittel der 1200 Briefkastenfirmen kontrollierte, die genutzt wurden, um das zu erreichen.","The British newspaper The Guardian reported that the Deutsche Bank controlled about one third of the 1200 paper companies, and that they were able to achieve this."
18,"Es kam weltweit zu Protesten, mehreren Strafverfolgungen, und die Regierungschefs von Island und Pakistan sind beide zurückgetreten.","In the world, protests, demonstrations, and the regional governments of the island and Pakistan are both backed up."
19,"""Ma wurde in Hongkong geboren, studierte an der New York University und der Harvard Law School und war im Besitz einer amerikanischen „Green Card"""" für dauerhaft Ansässige.""","""I was born in Hong Kong, studied at the University of New York and the Harvard Law School and was awarded the American Green Card for Permanent Residence""."
20,"Hsieh deutete während der Wahl an, dass Ma während einer Krisenzeit aus dem Land fliehen könnte.",I would like to thank the Commissioner for his comments on this matter.
21,"Hsieh argumentierte zudem, dass die photogene Ma mehr Stil als Substanz war.",He also argues that photogenesis is still a matter of war.
22,"Trotz dieser Vorwürfe hat Ma auf einem Podium, das für engere Beziehungen zum chinesischen Festland eintritt, mühelos gewonnen.x","In spite of these advantages, Ma auf einem Podium, das für engere Beziehungen zum chinesischen Festland eintritt, mühelos gewonnen."
23,Der Spieler des Tages ist heute Alex Ovechkin von den Washington Capitals.,I would like to thank the President of the European Parliament for his support of this resolution.
24,Beim 5:3-Sieg Washingtons gegen die Atlanta Thrashers machte er 2 Tore und 2 Assists.,Beim 5:3-Sieg Washington against the Atlanta Thrashers with 2 goals and 2 assists.
25,Ovechkins erster Assist des Abends führte zum Siegestreffer des Neulings Nicklas Backstrom;,Ovechkins first Assist des Abends led to the Siegestreffer des Neulings Nicklas Backstrom;
