id,source_text,target_text
0,"Am Montag haben die Wisenschaftler der Stanford University School of Medicine die Erfindung eines neuen Diagnosetools bekanntgegeben, mit dem Zellen nach ihrem Typ sortiert werden können: ein winziger, ausdruckbarer Chip, der für jeweils etwa einen US-Cent mit Standard-Tintenstrahldruckern hergestellt werden kann.","Les chercheurs de l'École de médecine de l'Université de Stanford ont découvert de nouveaux outils de diagnostic connus, et ils peuvent être utilisés."
1,"Führende Forscher sagen, dass dies die Früherkennung von Krebs, Tuberkulose, HIV und Malaria für Patienten in einkommensschwachen Ländern fördern könnte, wo die Überlebensraten bei Krankheiten wie Brustkrebs teilweise nur halb so hoch sind wie in reicheren Ländern.","Le Führende Forscher a déclaré que les décès prématurés de Krebs, de tuberculose, de VIH et de paludisme pour les patients des pays défavorisés pourraient augmenter, mais que les taux de mortalité des maladies telles que la tuberculose ne sont pas aussi élevés que dans les pays riches."
2,"Der JAS 39C Gripen stürzte gegen 9:30 Uhr Ortszeit (02:30 UTC) auf eine Startbahn und explodierte, sodass der Flughafen für kommerzielle Flüge geschlossen werden musste.","Der JAS 39C Gripen stürzte gegen 9:30 Uhr Ortszeit (02:30 UTC) auf eine Startbahn und explodierte, sodass der Flughafen für kommerzielle Flüge geschlossen werden musste."
3,Der Pilot wurde als Staffelführer Dilokrit Pattavee identifiziert.,Le pilote a été identifié comme le chef du personnel Dilokrit Pattavee.
4,"Lokale Medien berichten, dass ein Feuerwehrwagen während der Rettungsaktion umkippte.",La mise en œuvre de l'acte de sauvetage a été mise en œuvre par le gouvernement de la République fédérale d'Allemagne.
5,Der 28-jährige Vidal war vor drei Spielzeiten von Sevilla zu Barça gekommen.,La guerre de Vidal de 28 ans contre les Spielzeiten de Séville à Barça est arrivée.
6,Seit seinem Umzug in die katalanische Hauptstadt hatte Vidal für den Verein 49 Partien gespielt.,"Depuis son emplacement dans la capitale catalane, le Vidal für den Verein 49 Partien gespielt."
7,"Der Protest begann gegen 11:00 Uhr Ortszeit (UTC +1) in Whitehall gegenüber dem von der Polizei bewachten Eingang zur Downing Street, dem offiziellen Wohnsitz des Premierministers.","La manifestation a débuté à 11h00 Ortszeit (UTC +1) à Whitehall en face de la police à Eingang vers Downing Street, le Wohnsitz officiel des premiers ministres."
8,Kurz nach 11.00 Uhr blockierten die Demonstranten den Verkehr Richtung Norden in Whitehall.,Le Kurz nach 11.00 Uhr a bloqué les manifestants en direction du Nord à Whitehall.
9,"Um 11:20 Uhr forderte die Polizei die Demonstranten dazu auf, wieder auf die Bürgersteige zurückzukehren, und gab dazu an, dass man das Demonstrationsrecht mit dem Verkehrsaufkommen abwägen müsse.","Je suis d'accord avec vous, Monsieur le Président, sur le fait qu'il y a eu un certain nombre d'événements qui ont eu lieu à l'occasion de la réunion de l'Assemblée générale."
10,"Gegen 11.29 Uhr zog der Protest nach Whitehall, vorbei am Trafalgar Square, die Straße Strand entlang, vorbei an Aldwych und den Kingsway entlang nach Holborn, wo die Konservative Partei ihr Frühjahrsforum im Hotel Grand Connaught Rooms abhielt.","Gegen 11.29 Uhr zog der Protest nach Whitehall, passe à Trafalgar Square, passe à Straße Strand entlang, passe à Aldwych und den Kingsway entlang nach Holborn, où vivait le Parti conservateur dans le forum des premières années de l'hôtel Grand Connaught Rooms."
11,Nadals Rekord im direkten Vergleich gegen den Kanadier liegt bei 7:2.,Le record de Nadals im direkten Vergleich gegen den Kanadier est de 7:2.
12,Vor kurzem verlor er bei den Brisbane Open gegen Raonic.,Avant j'ai perdu à l'ouverture de Brisbane contre Raonic.
13,"Nadal sackte 88% der Netzpunkte im Spiel ein, womit er im ersten Aufschlag 76 Punkte gewann.","Nadal a perdu 88% des points du Netzpunkte dans le match, dont 76 points dans le premier Aufschlag."
