id,source_text,target_text
0,"Τη Δευτέρα, επιστήμονες από την Ιατρική Σχολή του Πανεπιστημίου του Στάνφορντ ανακοίνωσαν την εφεύρεση ενός νέου εργαλείου διάγνωσης με δυνατότητα ομαδοποίησης των κυττάρων ανά τύπο: ένα μικροσκοπικό εκτυπώσιμο τσιπ που μπορεί να κατασκευαστεί με απλούς εκτυπωτές ψεκασμού μελάνης με κόστος περίπου ένα σεντ του αμερικανικού δολαρίου το καθένα.","On Monday, scientists from the Medical School of Stanford University announced the invention of a new diagnostic tool with the possibility of grouping cells per type: a microscopic printing chip that can be constructed with simple printing machines at a cost of about one cent of the U.S. dollar each."
1,"Οι επικεφαλής ερευνητές ισχυρίζονται ότι αυτό ενδέχεται να οδηγήσει σε έγκαιρη ανίχνευση του καρκίνου, της φυματίωσης, του HIV και της ελονοσίας σε ασθενείς χωρών με χαμηλό εισόδημα, όπου τα ποσοστά επιβίωσης για αρρώστιες όπως ο καρκίνος του μαστού ενδέχεται να είναι μικρότερα από ό,τι σε πλουσιότερες χώρες κατά το ήμισυ.","The main researchers argue that this may lead to early detection of cancer, tuberculosis, HIV and malaria in patients in low-income countries, where survival rates for diseases such as breast cancer may be lower than in the wealthier countries."
2,"Το μαχητικό αεροσκάφος τύπου JAS 39C Gripen έπεσε στον αεροδιάδρομο στις 9:30 π.μ. τοπική ώρα (0230 Παγκόσμια Ώρα) και εξερράγη, διακόπτοντας τη λειτουργία του αεροδρομίου για εμπορικές πτήσεις.","The aircraft type JAS 39C Gripen fell on the airway at 9:30 a.m. local time (0230 Παγκόσμια Ώρα) and exploded, interrupting the operation of the airway for commercial flights."
3,Ο πιλότος αναγνωρίστηκε ως ο επισμηναγός Ντιλόκριτ Πάτταβι.,The pilot has been recognized as an officer of the army.
4,Τοπικά μέσα ενημέρωσης μιλούν για την ανατροπή ενός πυροσβεστικού οχήματος αεροδρομίου κατά την κινητοποίησή του.,Topical media talk about the overthrow of a fire-fighting aircraft during its mobility.
5,"Ο 28χρονος Βιντάλ είχε ενταχθεί στη Μπάρτσα τρεις σεζόν νωρίτερα, από τη Σεβίλλη.","The 28-year-old Vidal had been enrolled in the Barça three seasons earlier, by the Seville."
6,"Από τη μέρα που πήγε στην πρωτεύουσα της Καταλονίας, ο Βιντάλ έπαιξε σε 49 παιχνίδια για την ομάδα.","From the day he went to the capital of Catalonia, Vidal played in 49 games for the team."
7,"Η διαμαρτυρία ξεκίνησε περίπου στις 11:00 τοπική ώρα (UTC +1) στο Γουάιτχολ απέναντι από τη φρουρούμενη από την αστυνομία είσοδο στη Ντάουνινγκ Στριτ, την επίσημη πρωθυπουργική κατοικία.","The protest began around 11:00 local time (UTC +1) at the White Hall opposite the police entrance to Downing Street, the official residence of the Prime Minister."
8,"Αμέσως μετά τις 11.00, οι διαδηλωτές διέκοψαν την κυκλοφορία στο βόρειο τμήμα της οδού Γουάιτχολ.","Immediately after 11:00, the demonstrators stopped the traffic in the northern section of the street Whitehall."
9,"Στις 11:20 η αστυνομία ζήτησε από τους διαμαρτυρόμενους να ανέβουν στο πεζοδρόμιο, λέγοντας πως οφείλουν να ισοσταθμίσουν το δικαίωμα να διαμαρτυρίας με την κυκλοφοριακή συμφόρηση.","At 11:20 the police asked the protesters to stand on the street, saying that they should balance the right to protest with the traffic agreement."
10,"Περίπου στις 11:29, η διαδήλωση ανέβηκε προς το Γουάιτχολ, πέρασε την πλατεία Τραφάλγκαρ, κατά μήκος του Στραντ, προσπέρασε το Άλντουιτς και ανέβηκε προς το Κίνγκσγουεϊ κατευθυνόμενη προς το Χόλμπορν, όπου το Συντηρητικό Κόμμα διεξάγει το εαρινό φόρουμ του στο ξενοδοχείο Γκραντ Κονότ Ρουμς.","Around 11:29, the demonstration went up towards the White Hall, passed the Trafalgar Square, along the Strand, passed the Alndwicz and went up towards the King's Way towards the Holborn, where the Συντηρητικό Κόμμα held the εαρινό φόρουμ του στο ξενοδοχείο Γκραντ Κονότ Ρουμς."
11,Το ρεκόρ του Ναδάλ απέναντι στον Καναδό είναι 7-2.,The record of Nadal against the Canadiens is 7-2.
12,Πρόσφατα έχασε εναντίον του Ραόνιτς στο Μπρίσμπεϊν Όπεν.,He lost against the Raonics in the Brisbane Open.
13,Ο Ναδάλ συγκέντρωσε 88% πόντους στο φιλέ κατά τη διάρκεια του αγώνα κερδίζοντας 76 πόντους στο πρώτο σερβίς.,O'Donnell collected 88% of the points in the final during the match winning 76 points in the first half.
14,Μετά τον αγώνα ο «βασιλιάς του χώματος» δήλωσε «Είμαι ενθουσιασμένος που επέστρεψα στους τελικούς γύρους των σημαντικότερων διοργανώσεων. Ήρθα για να προσπαθήσω να νικήσω».,"After the struggle, the king of the space declared, ""I am an enthusiast who returned to the final rounds of the most important events."
15,"Το «Panama Papers» είναι ένας περιεκτικός όρος για περίπου δέκα εκατομμύρια έγγραφα από τη δικηγορική εταιρεία του Παναμά, Mossack Fonseca, που διέρρευσαν στις εφημερίδες την άνοιξη του 2016.","The Panama Papers is a comprehensive term for approximately ten million documents by the Panama-based law firm Mossack Fonseca, which were published in newspapers in the spring of 2016."
16,"Σύμφωνα με τα έγγραφα, δεκατέσσερις τράπεζες βοήθησαν εύπορους πελάτες να κρύψουν πλούτο δισεκατομμυρίων δολαρίων ΗΠΑ για να αποφύγουν φόρους και άλλου είδους κανονισμούς.","According to the documents, 10 banks have helped their clients hide billions of dollars in wealth to avoid taxes and other regulations."
17,Η βρετανική εφημερίδα The Guardian υποδήλωσε ότι η τράπεζα Deutsche έλεγχε περίπου το ένα τρίτο των 1.200 εικονικών εταιρειών που χρησιμοποιήθηκαν για την επίτευξή του.,"The British newspaper The Guardian indicated that the Deutsche Bank controlled approximately one third of the 1,200 real estate companies used for its achievement."
18,"Έγιναν πολλές διαμαρτυρίες σε όλο τον κόσμο, και αρκετοί διώχθηκαν ποινικά, ενώ οι αρχηγοί των κυβερνήσεων της Ισλανδίας και του Πακιστάν δήλωσαν την παραίτησή τους.","There were many protests all over the world, and several were prosecuted, while the leaders of the governments of Iceland and Pakistan declared their support."
19,"Ο Μα γεννήθηκε στο Χονγκ Κονγκ, σπούδασε στο Πανεπιστήμιο της Νέας Υόρκης και στη νομική σχολή του Πανεπιστημίου του Χάρβαρντ και κάποτε ήταν κάτοχος «πράσινης κάρτας», δηλαδή μόνιμος κάτοικος των ΗΠΑ.","He was born in Hong Kong, studied at the University of New York and at the law school of Harvard University and was once a holder of a green card, i.e. a permanent resident of the USA."
20,Η Hsieh άφησε να εννοηθεί κατά τη διάρκεια των εκλογών ότι η Ma ενδέχεται να φύγει από τη χώρα σε μια περίοδο κρίσης.,The Hsieh left to be understood during the elections that the Ma might leave the country in a crisis period.
21,Ο Χσιεχ υποστήριξε επίσης ότι ο φωτογενής Μα διάθετε περισσότερο στιλ παρά ουσία.,O Χσιεχ also argued that the photo genesis Ma διάθετε περισσότερο στιλ παρά ουσία.
22,"Παρά τις εν λόγω κατηγορίες, ο Μα κέρδισε έυκολα με την ομιλία του πάνω σε μια πλατφόρμα, στην οποία τάχθηκε υπέρμαχος της σύσφιξης των δεσμών με την κινεζική ηπειρωτική χώρα.","In spite of these accusations, Ma gained the right to speak on a platform, in which he stood for the establishment of ties with the Chinese mainland."
23,Ο σημερινός παίκτης της ημέρας είναι ο Άλεξ Οβέτσκιν των Ουάσιγκτον Κάπιταλς.,The current player of the day is Alex Ovettskin of the Washington Capitals.
24,Πέτυχε 2 γκολ και μοίρασε 2 ασσίστ στη νίκη της Ουάσιγκτον με 5-3 εναντίον των Ατλάντα Θράσερς.,He scored two goals and added two assists in a 5-3 win over the Atlanta Thrashers.
25,Η πρώτη ασίστ της βραδιάς για τον Ovechkin ήταν το νικητήριο γκολ από τον πρωτοεμφανιζόμενο Nicklas Backstrom.,The first victory of the night for Ovechkin was the victory of Nicklas Backstrom.
26,"Το δεύτερο γκολ της βραδιάς ήταν το 60ο του στη σεζόν, έτσι έγινε ο πρώτος παίκτης που σκόραρε 60 ή παραπάνω γκολ σε μια σεζόν από το 1995-96, όταν οι Γιάρομιρ Τζαγκρ και Μάριο Λεμιού έφτασαν ο καθένας αυτό το ρεκόρ.","The second goal of the night was his 60th in the season, thus becoming the first player to score 60 or more goals in a season since 1995-96, when the Yankees reached the same record."
27,"Στη λίστα με τους 400 πλουσιότερους Αμερικάνους για το 2008, ο Batten κατατάχθηκε στη θέση 190 με εκτιμώμενη περιουσία ύψους 2,3 δισεκατομμυρίων δολαρίων.","In the list of the 400 richest Americans for 2008, Batten was ranked at position 190 with an estimated fortune of 2,3 billion dollars."
28,"Ήταν απόφοιτος του Κολεγίου Τεχνών και Επιστημών του Πανεπιστημίου της Βιρτζίνια του έτους 1950, καθώς και σημαντικός ευεργέτης αυτού του ιδρύματος.","He was a graduate of the College of Arts and Sciences of the University of Virginia in 1950, as well as an important benefactor of this institution."
29,"Κατά τη διάρκεια μιας εξέγερσης, έβαλαν φωτιά στη φυλακή Αμπού Γκράιμπ του Ιράκ.","During an uprising, they set fire to Abu Ghraib's Iraqi prison."
30,Η φυλακή έγινε διαβόητη αφού ανακαλύφθηκε η κακομεταχείριση των κρατουμένων και ανέλαβαν τον έλεγχο οι αμερικανικές δυνάμεις.,The prison became notorious after imprisonment was discovered and U.S. forces took control.
31,"Ο Πικέ Τζούνιορ είχε ατύχημα στο γκραν πρι της Σιγκαπούρης το 2008, αμέσως μετά από ένα πιτ στοπ του Φερνάντο Αλόνσο, με αποτέλεσμα την εμφάνιση του αυτοκινήτου ασφαλείας.","O Pike Júnior was involved in an accident in the Grand Prix of Siγκαπούρης in 2008, immediately after a crash on the Fernando Alonso, resulting in the appearance of the safety car."
32,"Καθώς τα αυτοκίνητα μπροστά από τον Αλόνσο πήγαν για καύσιμα κάτω από το αυτοκίνητο ασφαλείας, αυτός προχώρησε πάνω από την ομάδα και νίκησε.","As the cars in front of Alonso went for fuel under the safety car, he advanced above the team and won."
33,Ο Πικέ ο νεότερος απολύθηκε έπειτα από το ουγγρικό Grand Prix του 2009.,Ο Πικέ ο νεότερος was fired after the 2009 Hungarian Grand Prix.
34,"Στις 8:46 π.μ. ακριβώς, μια σιγή σκέπασε όλη την πόλη, σημειώνοντας ακριβώς τη στιγμή που το πρώτο τζετ χτύπησε τον στόχο του.","At 8:46 a.m. exactly, a quiet thought swept through the city, noting exactly the moment the first jet hit its target."
35,Δύο ακτίνες φωτός έχουν στηθεί ώστε να δείχνουν προς τον ουρανό κατά τη διάρκεια της νύχτας.,Two rays of light have been set up to point towards the sky during the night.
36,"Συνεχίζεται η κατασκευή πέντε νέων ουρανοξυστών στην περιοχή, με το κέντρο μεταφορών και το εθνικό μνημείο της 11ης Σεπτεμβρίου να βρίσκονται στη μέση.","The construction of five new airports in the region is underway, with the transport centre and the national monument of 11 September in the middle."
37,"To πρόγραμμα αυτό του PBS έχει κερδίσει πάνω από είκοσι βραβεία Emmy, και η διάρκειά του είναι μικρότερη από του Sesame Street και του Mister Rogers' Neighborhood.","To this program of PBS has won over twenty Emmy Awards, and its duration is shorter than Sesame Street and Mister Rogers' Neighborhood."
38,Κάθε επεισόδιο της εκπομπής επικεντρωνόταν σε ένα θέμα ενός συγκεκριμένου βιβλίου και έπειτα εξερευνούσε το θέμα μέσω διάφορων ιστοριών.,Each episode of the show focused on a topic of a particular book and then explored the topic through various stories.
39,Κάθε παράσταση παρέχει επίσης προτάσεις για βιβλία που θα πρέπει να ψάξουν τα παιδιά όταν θα πάνε στη βιβλιοθήκη τους.,Each performance also provides suggestions for books that the children should look for when they go to their library.
40,"Ο Τζον Γκραντ, από το WNED Buffalo (τον σταθμό του Reading Rainbow) δήλωσε: «Το Reading Rainbow έδειξε στα παιδιά γιατί χρειάζεται να διαβάζουν, … την αγάπη για το διάβασμα - [η εκπομπή] προέτρεπε τα παιδιά να ξεκινήσουν να διαβάζουν ένα βιβλίο».","Ο Τζον Γκραντ, από το WNED Buffalo (τον σταθμό του Reading Rainbow) stated: Το Reading Rainbow έδειξε στα παιδιά γιατί χρειάζεται να διαβάσουν, ... την αγάπη για το διάβασμα - [η εκπομπή] προέτρεψε τα παιδιά να αρχίσουν να διαβάζουν ένα βιβλίο."
