id,source_text,target_text
0,"Τη Δευτέρα, επιστήμονες από την Ιατρική Σχολή του Πανεπιστημίου του Στάνφορντ ανακοίνωσαν την εφεύρεση ενός νέου εργαλείου διάγνωσης με δυνατότητα ομαδοποίησης των κυττάρων ανά τύπο: ένα μικροσκοπικό εκτυπώσιμο τσιπ που μπορεί να κατασκευαστεί με απλούς εκτυπωτές ψεκασμού μελάνης με κόστος περίπου ένα σεντ του αμερικανικού δολαρίου το καθένα.","Le lendemain, des scientifiques de l'École de médecine de l'Université de Stanford ont annoncé l'invention d'un nouvel outil de diagnostic avec la possibilité de regrouper les cellules par type: un microchip imprimable qui peut être construit avec des imprimantes simples de mélanine au coût d'environ un centime de dollar américain par type."
1,"Οι επικεφαλής ερευνητές ισχυρίζονται ότι αυτό ενδέχεται να οδηγήσει σε έγκαιρη ανίχνευση του καρκίνου, της φυματίωσης, του HIV και της ελονοσίας σε ασθενείς χωρών με χαμηλό εισόδημα, όπου τα ποσοστά επιβίωσης για αρρώστιες όπως ο καρκίνος του μαστού ενδέχεται να είναι μικρότερα από ό,τι σε πλουσιότερες χώρες κατά το ήμισυ.","Les principaux chercheurs affirment que cela peut conduire à une détection précoce du cancer, de la tuberculose, du VIH et de l'épidémie dans les patients de pays à faible revenu, où les taux de survie pour les maladies telles que le cancer du sein peuvent être inférieurs à ceux des pays riches en moyenne."
2,"Το μαχητικό αεροσκάφος τύπου JAS 39C Gripen έπεσε στον αεροδιάδρομο στις 9:30 π.μ. τοπική ώρα (0230 Παγκόσμια Ώρα) και εξερράγη, διακόπτοντας τη λειτουργία του αεροδρομίου για εμπορικές πτήσεις.","Le μαχητικό αεροσκάφος τύπου JAS 39C Gripen έπεσε στο αεροδιάδρομο στις 9:30 π.μ. τοπική ώρα (0230 Παγκόσμια Ώρα) και εξερράγη, interrompant le fonctionnement de l'aérodrome pour les vols commerciaux."
3,Ο πιλότος αναγνωρίστηκε ως ο επισμηναγός Ντιλόκριτ Πάτταβι.,Le pilote a été reconnu comme l'armée.
4,Τοπικά μέσα ενημέρωσης μιλούν για την ανατροπή ενός πυροσβεστικού οχήματος αεροδρομίου κατά την κινητοποίησή του.,Les médias parlent de la destruction d'un véhicule d'incendie aérien lors de sa mobilisation.
5,"Ο 28χρονος Βιντάλ είχε ενταχθεί στη Μπάρτσα τρεις σεζόν νωρίτερα, από τη Σεβίλλη.","Le jeune homme de 28 ans avait été inscrit à la Barça trois saisons auparavant, par la Seville."
6,"Από τη μέρα που πήγε στην πρωτεύουσα της Καταλονίας, ο Βιντάλ έπαιξε σε 49 παιχνίδια για την ομάδα.","Depuis le jour où il est allé à la capitale de la Catalogne, Vidal a joué 49 matchs pour l'équipe."
7,"Η διαμαρτυρία ξεκίνησε περίπου στις 11:00 τοπική ώρα (UTC +1) στο Γουάιτχολ απέναντι από τη φρουρούμενη από την αστυνομία είσοδο στη Ντάουνινγκ Στριτ, την επίσημη πρωθυπουργική κατοικία.","La manifestation a commencé vers 11h00 heure locale (UTC +1) au Whitehall en face de l'entrée de la police dans la rue Downing Street, la résidence officielle du Premier ministre."
8,"Αμέσως μετά τις 11.00, οι διαδηλωτές διέκοψαν την κυκλοφορία στο βόρειο τμήμα της οδού Γουάιτχολ.","Immédiatement après 11 heures, les manifestants ont interrompu la circulation dans la partie nord de la rue Whitehall."
9,"Στις 11:20 η αστυνομία ζήτησε από τους διαμαρτυρόμενους να ανέβουν στο πεζοδρόμιο, λέγοντας πως οφείλουν να ισοσταθμίσουν το δικαίωμα να διαμαρτυρίας με την κυκλοφοριακή συμφόρηση.","À 11h20, la police a demandé aux manifestants de monter sur le chemin, affirmant qu'ils devaient équilibrer le droit de manifester avec le droit de circulation."
