id,source_text,target_text
0,"Stanfordin yliopiston lääketieteen laitoksen tutkijat ilmoittivat maanantaina uuden diagnostiikkatyökalun keksimisestä: solut tyypin mukaan lajitteleva pienenpieni tulostettava siru, joka voidaan valmistaa normaaleilla mustesuihkutulostimilla mahdollisesti noin yhden Yhdysvaltain sentin kappalehintaan.","Stanford University Medical School's research institute announced its intention to make a new diagnosis before the end of the year: solut typing according to the lawful nature of the patient's condition, which can be evaluated normally and must be stimulated possibly by one US sentinel."
1,"Johtavat tutkijat sanovat, että sen avulla syöpä, tuberkuloosi, HIV ja malaria voidaan todeta jo varhaisessa vaiheessa potilailla, jotka asuvat alhaisen tulotason maissa, missä esimerkiksi rintasyövän kaltaisen taudin eloonjäämisaste voi olla puolet rikkaampien maiden vastaavasta.","However, it is important to note that, as a result of the recent developments in the healthcare sector, the number of people with HIV/AIDS and malaria in the United States has decreased significantly since the beginning of the 1990s."
2,"JAS 39C Gripen törmäsi kiitorataan noin kello 9.30 paikallista aikaa (2.30 UTC) ja räjähti, minkä vuoksi lentokenttä suljettiin kaupallisilta lennoilta.","JAS 39C Gripen törmäsi kiitorataan at about 9.30 local time (2.30 UTC) in rajähti, which is why lentokenttä suljettiin kaupallisilta lennoilta."
3,Lentäjä tunnistettiin majuri Dilokrit Pattaveeksi.,Lentäjä tunnistettiin majuri Dilokrit Pattaveeksi was born in Poland.
4,Sikäläisen median mukaan lentokentän paloauto pyörähti ympäri tullessaan paikalle.,According to the median of the sikäläisen lentokentän paloauto pyörähti around tullessaan paikalle.
5,28-vuotias Vidal oli siirtynyt Barçaan Sevillasta kolmea kautta aikaisemmin.,28-year-old Vidal Oli transferred from Barça to Sevilla three years earlier.
6,Vidal oli Katalonian pääkaupunkiin muutettuaan pelannut joukkueen 49 ottelussa.,It is also important to note that the Commission's proposal for a directive on the protection of workers' rights in the Member States does not preclude the adoption of a directive on the protection of workers' rights in the Member States.
7,"Protesti alkoi noin klo 11.00 paikallista aikaa (UTC+1) Whitehall-kadulla vastapäätä poliisin vartioimaa sisäänkäyntiä Downing Streetiä, jonka varrella on pääministerin virka-asunto.",Protests began around 11.00 local time (UTC+1) at the Whitehall-kadulla vastapäätä police station on the entrance to Downing Street.
8,Pian klo 11.00 jälkeen mielenosoittajat tukkivat liikenteen Whitehallin pohjoiseen johtavilla kaistoilla.,At 11.00 a.m. the protestors will gather in Whitehall to join the leadership of the Kaistoilla.
9,"Kello 11.20 poliisi pyysi mielenosoittajia siirtymään takaisin jalkakäytävälle ilmoittaen, että heidän tarvitsi löytää tasapaino mielenosoitusoikeuden ja kasautuvan liikenneruuhkan välillä.","At 11.20 am, the police asked the protesters to move back to the street, so that their needs could be met."
10,"Noin 11.29 protesti eteni Whitehallia pohjoiseen Trafalgar Squaren ohi, sitten The Strandia Aldwychin ohi ja Kingswaytä pitkin kohti Holbornia, missä konservatiivipuolue piti kevätfoorumiaan Grand Connaught Rooms -hotellissa.","Noon 11.29 protests part Whitehallia joined Trafalgar Square, then the Strandia Aldwychin and Kingsway pitkin towards Holbornia, where the conservatives at the Piti Kevätforum Grand Connaught Rooms hotel."
11,Nadalin ja kanadalaisen kohtaamiset ovat menneet edellisen eduksi 7–2.,"In addition, it is important to note that the Commission's proposal for a regulation of the European Parliament and of the Council was adopted by a majority of the Member States."
12,Hän hävisi jokin aika sitten Raonicille Brisbanen tennisturnauksessa.,He hasn't seen anything since Raonicille Brisbanen's tennis tournament.
13,Nadal sai 88 % ottelun verkkopisteistä ja sai 76 pistettä ensimmäisellä syötöllä.,Nadal said 88% of the votes were cast and he said 76 votes were cast in the first round.
14,"Ottelun jälkeen massakenttien kuningas sanoi: ""Olen innoissani siitä, että päässyt taas mukaan tärkeimpien tapahtumien viimeisille kierroksille. Olen täällä yrittääkseni voittaa.""","After the massacre, the king said: ""I am not aware of it, and I am trying to make a voice out of it""."
