id,source_text,target_text
0,"Stanfordin yliopiston lääketieteen laitoksen tutkijat ilmoittivat maanantaina uuden diagnostiikkatyökalun keksimisestä: solut tyypin mukaan lajitteleva pienenpieni tulostettava siru, joka voidaan valmistaa normaaleilla mustesuihkutulostimilla mahdollisesti noin yhden Yhdysvaltain sentin kappalehintaan.",Les chercheurs de l'Université de Stanford en médecine ont déclaré qu'il y avait un nouveau diagnostic et qu'il n'y avait pas encore eu de réponse.
1,"Johtavat tutkijat sanovat, että sen avulla syöpä, tuberkuloosi, HIV ja malaria voidaan todeta jo varhaisessa vaiheessa potilailla, jotka asuvat alhaisen tulotason maissa, missä esimerkiksi rintasyövän kaltaisen taudin eloonjäämisaste voi olla puolet rikkaampien maiden vastaavasta.","Les chercheurs ont découvert que le cancer, la tuberculose, le VIH et le paludisme peuvent être diagnostiqués dans différentes phases de la vie des patients, qui ont besoin d'une meilleure santé, par exemple en cas d'une maladie ou d'une maladie."
2,"JAS 39C Gripen törmäsi kiitorataan noin kello 9.30 paikallista aikaa (2.30 UTC) ja räjähti, minkä vuoksi lentokenttä suljettiin kaupallisilta lennoilta.","JAS 39C Gripen törmäsi kiitorataan environ à 9h30 localallista tiden (2.30 UTC) en rajähti, c'est pourquoi il est lentokenttä suljettiin kaupallisilta lennoilta."
3,Lentäjä tunnistettiin majuri Dilokrit Pattaveeksi.,Lentäjä tunnistettiin majuri Dilokrit Pattaveeksi est un groupe d'écrivains de langue allemande.
4,Sikäläisen median mukaan lentokentän paloauto pyörähti ympäri tullessaan paikalle.,"Selon la moyenne de la population, le nombre d'automobiles qui circulent autour de Tullessaan paikalle."
5,28-vuotias Vidal oli siirtynyt Barçaan Sevillasta kolmea kautta aikaisemmin.,"Vidal, 28 ans, a été transféré au Barça Sevillas trois ans auparavant."
6,Vidal oli Katalonian pääkaupunkiin muutettuaan pelannut joukkueen 49 ottelussa.,Vidal Oli Catalonian pääkaupunkiin muutettuaan pelannut joukkueen 49 ottelussa.
7,"Protesti alkoi noin klo 11.00 paikallista aikaa (UTC+1) Whitehall-kadulla vastapäätä poliisin vartioimaa sisäänkäyntiä Downing Streetiä, jonka varrella on pääministerin virka-asunto.","Les manifestations ont commencé vers 11h00 local (UTC+1) à la police de Whitehall-kadulla vastapäätä, à l'entrée de la rue Downing, qui a eu lieu à l'heure actuelle."
8,Pian klo 11.00 jälkeen mielenosoittajat tukkivat liikenteen Whitehallin pohjoiseen johtavilla kaistoilla.,"À 11h00, les manifestants se sont rendus à l'hôtel pour rejoindre la direction de la ville de Kaistoilla."
9,"Kello 11.20 poliisi pyysi mielenosoittajia siirtymään takaisin jalkakäytävälle ilmoittaen, että heidän tarvitsi löytää tasapaino mielenosoitusoikeuden ja kasautuvan liikenneruuhkan välillä.","À 11h20, la police a demandé aux manifestants de se déplacer dans les rues de l'aéroport pour qu'ils puissent trouver des manifestants qui se déplaçaient entre les deux villes."
10,"Noin 11.29 protesti eteni Whitehallia pohjoiseen Trafalgar Squaren ohi, sitten The Strandia Aldwychin ohi ja Kingswaytä pitkin kohti Holbornia, missä konservatiivipuolue piti kevätfoorumiaan Grand Connaught Rooms -hotellissa.","Les manifestations se déroulent à 11h29 à Whitehallia, à Trafalgar Square, puis à Strandia Aldwychin, à Kingsway Pitkin en direction de Holbornia."
11,Nadalin ja kanadalaisen kohtaamiset ovat menneet edellisen eduksi 7–2.,L'éducation canadienne et canadienne n'a pas été mise en place avant l'exigence de l'éducation 72.
12,Hän hävisi jokin aika sitten Raonicille Brisbanen tennisturnauksessa.,Il n'y a pas eu de match depuis que Raonicille Brisbanen a joué au tennis.
13,Nadal sai 88 % ottelun verkkopisteistä ja sai 76 pistettä ensimmäisellä syötöllä.,Nadal sait 88% qu'il y en a sur le réseau et sait 76 qu'il y en a sur le réseau.
14,"Ottelun jälkeen massakenttien kuningas sanoi: ""Olen innoissani siitä, että päässyt taas mukaan tärkeimpien tapahtumien viimeisille kierroksille. Olen täällä yrittääkseni voittaa.""","""Je ne sais pas ce qui s'est passé, mais je suis ici pour essayer de voter"", a-t-il déclaré."
15,"Panaman paperit on yläkäsite panamalaisen lakiyrityksen Mossack Fonsecan noin kymmenelle miljoonalle asiakirjalle, jotka vuodettiin lehdistölle keväällä 2016.",Le document panamain sur le site panamalaisen lakiyrityksen Mossack Fonsecan sur une dizaine de millions de documents qui ont été publiés à la fin de l'année 2016.
16,"Asiakirjoista selvisi, että neljätoista pankkia auttoi varakkaita asiakkaita piilottamaan miljardeja USA:n dollareita verojen ja muiden sääntelyjen välttämiseksi.",Il s'agit d'un projet qui vise à améliorer la qualité de l'emploi et à améliorer la qualité de l'emploi et de la qualité de l'emploi.
