id,source_text,target_text
0,"सोमवार को, स्टैनफ़ोर्ड यूनिवर्सिटी स्कूल ऑफ़ मेडिसिन के वैज्ञानिकों ने एक नए डायग्नोस्टिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के आधार पर छाँट सकता है: एक छोटी प्रिंट करने योग्य चिप जिसे स्टैण्डर्ड इंकजेट प्रिंटर का उपयोग करके लगभग एक अमेरिकी सेंट के लिए निर्मित किया जा सकता है.","On Monday, scientists at the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells according to their type: a small printable chip that can be manufactured for about a U.S. dollar using a standard inkjet printer."
1,"शोधकर्ताओं ने कहा है कि यह अल्प आय वाले देशों में कैंसर, टीवी, एचआईवी और मलेरिया के रोगियों की आसानी से पहचान करेगा, जहाँ अमीर देशों की तुलना में स्तन कैंसर जैसी बीमारी में जीवित रहने की दर आधी हो सकती है.","Researchers have said that it will easily identify cancer, TV, HIV and malaria patients in low-income countries, where the survival rate in a disease like breast cancer may be half that of rich countries."
2,"स्थानीय समय (0230 UTC) के मुताबिक करीब 9:30 बजे JAS 39C Gripen रनवे पर धमाके के साथ दुर्घटनाग्रस्त हो गया, जिसकी वजह से वाणिज्यिक उड़ानों के लिए हवाई अड्डे को बंद कर दिया गया.","According to local time (0230 UTC), around 9:30 am JAS 39C crashed with a blast on Gripen runway, which led to the closure of the airport for commercial flights."
3,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,The pilot was identified as Squadron Leader Delocrat Patavi.
4,स्थानीय मीडिया ने बताया है कि कार्रवाई करने के दौरान एयरपोर्ट का अग्निशामक वाहन लुढ़क गया था.,Local media reported that the airport's firefighting vehicle was looted during the action.
5,28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,The 28-year-old Vidal joined Barca from Sevilla three seasons ago.
6,"कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.","Since moving to Catalan's capital (Barcelona), Vidal had played 49 games for the club."
7,"व्हाइटहॉल पर लगभग 11:00 बजे स्थानीय समय (यूटीसी + 1) पर विरोध शुरू हुआ, जो प्रधानमंत्री के आधिकारिक आवास डाउनिंग स्ट्रीट के पुलिस-पहरेदार के दरवाजे के सामने था।","The protest began at around 11:00 local time (UTC+1) at the White Hall, which was in front of the door of the police-guard at the official residence of the Prime Minister at Downing Street."
8,"ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.","Just after 11:00 a.m., protesters stopped northbound traffic in the White Hall."
9,"11:20 पर, पुलिस ने प्रदर्शनकारियों को यह कहते हुए फ़ुटपाथ पर वापस जाने के लिए कहा कि उन्हें भीड़ इकट्ठा करने के साथ विरोध करने के अधिकार को संतुलित करने की ज़रूरत है.","At 11:20, the police asked the protesters to return to the footpath, saying they needed to balance the right to protest with the right to gather crowds."
10,"11:29 बजे के आस-पास, विरोध करने वाले लोग व्हाइटहॉल की ओर बढ़ गए. इसके बाद, वे किनारे-किनारे चलते हुए ट्राफ़ल्गर स्क्वायर, एल्डविच, किंग्सवे से गुजरते हुए होलबर्न की ओर बढ़ गए, जहाँ कंजरवेटिव पार्टी, ग्रैंड कनॉट रूम होटल में अपने स्प्रिंग फ़ोरम का आयोजन कर रही थी.","Around 11:29 p.m., protesters marched towards the White Hall. Afterwards, they walked along the shore, passing through Trafalgar Square, Aldwich, Kingsway, and headed towards Holborn, where the Conservative Party was holding its spring forum at the Grand Connaught Room Hotel."
11,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,Nadal's direct record against the Canadians is 7-2.
12,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,He had recently lost against Roanoke in the Brisbane Open.
13,फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88% नेट पॉइंट्स मिले.,"First of all, Nadal got 88% net points in 76 matches winning points."
14,"मैच के बाद, क्ले के राजा ने कहा, “मैं सबसे महत्वपूर्ण इवेंट के अंतिम दौर में वापस आने को लेकर उत्साहित हूँं। मैं यहाँ इसे जीतने का प्रयास कर रहा हूँं।”","After the match, Clay's king said, ""I am excited to return to the final round of the most important event. I am trying to win it here""."
15,“पनामा पेपर्स” पनामा की कानूनी फर्म मोसाक फोंसेका से लगभग दस मिलियन दस्तावेजों के लिए एक शब्द युग्म है जिसे सन 2016 के वसंत में प्रेस को लीक कर दिया गया था।,Panama Papers is a term for nearly ten million documents from Panama's law firm Mosaic Fonseca that were leaked to the press in the spring of 2016.
16,दस्तावेजों से पता चलता है कि चौदह बैंकों ने अमीर ग्राहकों को कर और अन्य नियमों से बचने के लिए अरबों अमेरिकी डॉलर की संपत्ति छिपाने में मदद की।,Documents show that fourteen banks helped wealthy customers hide billions of US dollars in assets to avoid taxes and other regulations.
17,ब्रिटिश अख़बार द गार्जियन के अनुसार ड्यूश बैंक ने इसे पूरा करने के लिए इस्तेमाल की जाने वाली 1200 शेल कंपनियों में से एक तिहाई को मोटे तौर पर नियंत्रित किया.,"According to the British newspaper The Guardian, Deutsche Bank controlled roughly a third of the 1,200 shell companies used to complete it."
18,"दुनिया भर में विरोध प्रदर्शन हुए, कई आपराधिक मुकदमे दर्ज हुए और आइसलैंड और पाकिस्तान की सरकारों के कई नेताओं ने इस्तीफा दे दिया।","Protests took place around the world, several criminal cases were filed and many leaders of the governments of Iceland and Pakistan resigned."
19,"मा का जन्म हांगकांग में हुआ था, उन्होंने न्यूयॉर्क विश्वविद्यालय और हार्वर्ड लॉ स्कूल में अध्ययन किया और उनके पास अमेरिका की स्थाई नागरिकता वाला “ग्रीन कार्ड” भी था.","Ma was born in Hong Kong, studied at New York University and Harvard Law School and also had a green card with permanent US citizenship."
20,चुनाव के दौरान साइह ने जताया कि संकट के दौर में मा देश छोड़कर भाग सकते हैं.,"During the election, Saih indicated that in times of crisis, we can leave the country."
21,शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे.,Shay also argued that photogenic materials were more fabricated than they really were.
22,"इन आरोपों के बावजूद, मा ने चीनी महाद्वीप के साथ घनिष्ठ संबंधों की वकालत करते हुए एक मंच पर जीत हासिल की.","Despite these allegations, Ma won on a platform advocating for close ties with the Chinese mainland."
23,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,Today's player is Alex Ovechkin of the Washington Capitals.
24,अटलांटा थ्रैशर्स पर वाशिंगटन की 5-3 की जीत में उन्होंने 2 गोल और 2 असिस्ट किए थे.,He scored 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.
25,उस रात रूकी निकल्स बैकस्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली.,"That night, the rookie Nickels backstroke's game-winning goal helped Ovechkin get his first help."
26,"रात का उनका दूसरा गोल सीज़न का उनका 60वाँ गोल था, जिससे 1995-96 से लेकरजब जोरोमिर जागर और मारियो लेमिएक्स ने इतने गोल किए थे उसके बाद वह एक सीज़न में 60 या इससे अधिक गोल करने वाले पहले खिलाड़ी बन गए हैं.","His second goal of the night was his 60th goal of the season, making him the first player to score 60 or more goals in a season since 1995-96, when Joromir Jagar and Mario Lemieux had scored so many goals."
27,2008 के 400 सबसे अमीर अमेरिकियों की सूची में बैटन को $ 2.3 billion की अनुमानित संपत्ति के साथ 190 वें स्थान पर रखा गया था।,"In the 2008 list of the 400 richest Americans, Baton was placed 190th with an estimated fortune of $2.3 billion."
28,उन्होंने 1950 में वर्जीनिया यूनिवर्सिटी के कला और विज्ञान महाविद्यालय से स्नातक की उपाधि हासिल की थी और वे उस संस्था के अहम दानदाता थे.,He graduated from the College of Arts and Sciences of the University of Virginia in 1950 and was an important donor to that institution.
29,इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।,Abu Ghraib prison in Iraq was set on fire during the riots.
30,"कैदी दुर्व्यवहार के पता चलने का बाद जेल कुख्यात हो गयी, उसके बाद यू एस सैन्य दलों ने पद भर संभल लिया |","The prison became notorious after the prisoner's abuse was discovered, after which the U.S. military took over the post."
31,फ़र्नांडो अलोंसो के लिए एक शुरुआती पिट स्टॉप के बाद पिकेट जूनियर 2008 के सिंगापुर ग्रां प्री में दुर्घटनाग्रस्त हो गया।,Piquet Jr. crashed at the 2008 Singapore Grand Prix after a starting pit stop for Fernando Alonso.
32,"जैसे ही अलोंसो के आगे की कारें सेफ्टी कार के नीचे ईंधन लेने के लिए चली गईं, वह जीत दर्ज करने के लिए आगे बढ़ गया।","As soon as the cars ahead of Alonso went under the safety car to get fuel, he went ahead to record a victory."
33,पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया था.,Piket Jr. was sacked after the 2009 Hungarian Grand Prix.
34,"ठीक 8:46 बजे, सुबह पूरे शहर मे चुप्पी फैल गई, ठीक उसी पल पहले जेट ने अपना निशाना बनाया।","At exactly 8:46 a.m., in the morning, the entire city was silent, just the moment before the jet made its mark."
35,रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है.,Two rays of light have been prepared to look towards the sky at night.
36,"साईट पर पांच नई गगनचुम्बी इमारतों पर काम चल रहा है, इन इमारतों के बीच में एक परिवहन केंद्र और स्मारक पार्क होगा।","Work is underway on five new skyscrapers on the site, a transportation centre and a memorial park will be built between these buildings."
37,इस PBS शो को दो दर्जन से ज़्यादा एमी पुरस्कार मिल चुके हैं. नियमित प्रसारण के मामले में यह सिर्फ़ सीसेम स्ट्रीट और मिस्टर रॉजर नेबरहुड से पीछे है.,"This PBS show has received more than two dozen Emmy awards. In terms of regular broadcasting, it is only behind Sesame Street and Mr. Roger Neighborhood."
38,शो का हर एक एपिसोड एक ख़ास पुस्तक की थीम पर केंद्रित होगा और फिर कई कहानियों के माध्यम से उस थीम को खोजेगा.,Each episode of the show will focus on a specific book theme and then explore that theme through several stories.
39,हर शो में कुछ किताबों के बारे में सलाह भी दी जाएगी. बच्चों को अपनी लाइब्रेरी में जाकर ये किताबें पढ़नी चाहिए.,Children should go to their library and read these books.
40,"डब्ल्यूएनईडी बफेलो से (Rainbow's home station पढ़ते हुए) जॉन ग्रांट ने कहा “रेनबो ने बच्चों को सिखाया कि पढ़ना क्यों चाहिए,.... पढने के प्रति लगाव --- (द शो) ने बच्चों को किताब उठा के पढने के लिए प्रेरित किया.","John Grant from WNED Buffalo (reading Rainbow's home station) said Rainbow taught children why they should read,....attachment to reading --- (The Show) inspired children to pick up a book and read."
