id,source_text,target_text
0,"सोमवार को, स्टैनफ़ोर्ड यूनिवर्सिटी स्कूल ऑफ़ मेडिसिन के वैज्ञानिकों ने एक नए डायग्नोस्टिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के आधार पर छाँट सकता है: एक छोटी प्रिंट करने योग्य चिप जिसे स्टैण्डर्ड इंकजेट प्रिंटर का उपयोग करके लगभग एक अमेरिकी सेंट के लिए निर्मित किया जा सकता है.","Lundi, les scientifiques de la faculté de médecine de l'Université de Stanford ont annoncé l'invention d'un nouvel outil de diagnostic qui peut trier les cellules en fonction de leur type: une petite puce imprimable qui peut être fabriquée pour environ un centime américain en utilisant un imprimant à encre standard."
1,"शोधकर्ताओं ने कहा है कि यह अल्प आय वाले देशों में कैंसर, टीवी, एचआईवी और मलेरिया के रोगियों की आसानी से पहचान करेगा, जहाँ अमीर देशों की तुलना में स्तन कैंसर जैसी बीमारी में जीवित रहने की दर आधी हो सकती है.","Les chercheurs ont déclaré qu'il permettrait d'identifier facilement les patients atteints de cancer, de TV, de VIH et de paludisme dans les pays à faible revenu, où le taux de survie d'une maladie comme le cancer du sein peut être de moitié plus élevé que dans les pays riches."
2,"स्थानीय समय (0230 UTC) के मुताबिक करीब 9:30 बजे JAS 39C Gripen रनवे पर धमाके के साथ दुर्घटनाग्रस्त हो गया, जिसकी वजह से वाणिज्यिक उड़ानों के लिए हवाई अड्डे को बंद कर दिया गया.","Selon le temps local (0230 UTC), à environ 9h30, le JAS 39C s'est écrasé avec une explosion sur la piste Gripen, ce qui a entraîné la fermeture de l'aéroport pour les vols commerciaux."
3,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,Le pilote a été identifié comme étant le chef d'équipage de l'équipage.
4,स्थानीय मीडिया ने बताया है कि कार्रवाई करने के दौरान एयरपोर्ट का अग्निशामक वाहन लुढ़क गया था.,Les médias locaux ont rapporté que le véhicule d'incendie de l'aéroport avait été volé pendant l'action.
5,28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,"Vidal, 28 ans, a rejoint Barca de Séville il y a trois saisons."
6,"कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.","Depuis son arrivée à la capitale de Catalan (Barcelona), Vidal a joué 49 matchs pour le club."
7,"व्हाइटहॉल पर लगभग 11:00 बजे स्थानीय समय (यूटीसी + 1) पर विरोध शुरू हुआ, जो प्रधानमंत्री के आधिकारिक आवास डाउनिंग स्ट्रीट के पुलिस-पहरेदार के दरवाजे के सामने था।","La manifestation a débuté à environ 11h00 heure locale (UTC+1) au White Hall, devant la porte du commissariat de police de la résidence officielle du Premier ministre à Downing Street."
8,"ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.","Juste après 11 heures, les manifestants ont bloqué la circulation vers le nord dans le White Hall."
9,"11:20 पर, पुलिस ने प्रदर्शनकारियों को यह कहते हुए फ़ुटपाथ पर वापस जाने के लिए कहा कि उन्हें भीड़ इकट्ठा करने के साथ विरोध करने के अधिकार को संतुलित करने की ज़रूरत है.","A 11h20, la police a demandé aux manifestants de revenir sur le trottoir en disant qu'ils devaient équilibrer leur droit de manifester avec le rassemblement de la foule."
10,"11:29 बजे के आस-पास, विरोध करने वाले लोग व्हाइटहॉल की ओर बढ़ गए. इसके बाद, वे किनारे-किनारे चलते हुए ट्राफ़ल्गर स्क्वायर, एल्डविच, किंग्सवे से गुजरते हुए होलबर्न की ओर बढ़ गए, जहाँ कंजरवेटिव पार्टी, ग्रैंड कनॉट रूम होटल में अपने स्प्रिंग फ़ोरम का आयोजन कर रही थी.","Vers 11h29, les manifestants se sont dirigés vers le White Hall. Après cela, ils se sont dirigés vers Holborn, en passant par Trafalgar Square, Aldwich, Kingsway, où le Parti conservateur organisait son forum de printemps à l'hôtel Grand Connaught Room."
11,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,Le record direct de Nadal contre les Canadiens est de 7-2.
12,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,Il a récemment perdu contre Rooney à l'Open de Brisbane.
13,फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88% नेट पॉइंट्स मिले.,"Au premier rang, Nadal a obtenu 88% des points nets dans 76 matchs gagnants."
14,"मैच के बाद, क्ले के राजा ने कहा, “मैं सबसे महत्वपूर्ण इवेंट के अंतिम दौर में वापस आने को लेकर उत्साहित हूँं। मैं यहाँ इसे जीतने का प्रयास कर रहा हूँं।”","Après le match, le roi de Clay a déclaré: ""Je suis impatient de revenir au dernier tour de l'événement le plus important."
15,“पनामा पेपर्स” पनामा की कानूनी फर्म मोसाक फोंसेका से लगभग दस मिलियन दस्तावेजों के लिए एक शब्द युग्म है जिसे सन 2016 के वसंत में प्रेस को लीक कर दिया गया था।,"Le Panama Papers est le terme utilisé pour désigner près de dix millions de documents provenant de la firme juridique de Panama, Mosaic Fonseca, qui ont été divulgués à la presse au printemps 2016."
16,दस्तावेजों से पता चलता है कि चौदह बैंकों ने अमीर ग्राहकों को कर और अन्य नियमों से बचने के लिए अरबों अमेरिकी डॉलर की संपत्ति छिपाने में मदद की।,Les documents montrent que quatorze banques ont aidé les clients riches à cacher des milliards de dollars de biens pour échapper aux impôts et à d'autres réglementations.
17,ब्रिटिश अख़बार द गार्जियन के अनुसार ड्यूश बैंक ने इसे पूरा करने के लिए इस्तेमाल की जाने वाली 1200 शेल कंपनियों में से एक तिहाई को मोटे तौर पर नियंत्रित किया.,"Selon le journal britannique The Guardian, la Deutsche Bank contrôlait à grande échelle un tiers des 1200 sociétés de shell utilisées pour le réaliser."
18,"दुनिया भर में विरोध प्रदर्शन हुए, कई आपराधिक मुकदमे दर्ज हुए और आइसलैंड और पाकिस्तान की सरकारों के कई नेताओं ने इस्तीफा दे दिया।","Des manifestations ont eu lieu dans le monde entier, des poursuites pénales ont été engagées et de nombreux dirigeants des gouvernements de l'Islande et du Pakistan ont démissionné."
19,"मा का जन्म हांगकांग में हुआ था, उन्होंने न्यूयॉर्क विश्वविद्यालय और हार्वर्ड लॉ स्कूल में अध्ययन किया और उनके पास अमेरिका की स्थाई नागरिकता वाला “ग्रीन कार्ड” भी था.","Ma est née à Hong Kong, a étudié à l'Université de New York et à la Harvard Law School et a également eu une carte verte de citoyenneté permanente des États-Unis."
20,चुनाव के दौरान साइह ने जताया कि संकट के दौर में मा देश छोड़कर भाग सकते हैं.,"Au cours de l'élection, Saih a indiqué qu'en période de crise, on peut quitter le pays et s'enfuir."
21,शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे.,Shay a également fait valoir que les photogéniques étaient plus fabriquées que la réalité.
22,"इन आरोपों के बावजूद, मा ने चीनी महाद्वीप के साथ घनिष्ठ संबंधों की वकालत करते हुए एक मंच पर जीत हासिल की.","Malgré ces accusations, Ma a remporté une victoire sur un podium en préconisant des relations étroites avec le continent chinois."
23,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,Le joueur d'aujourd'hui est Alex Ovechkin des Capitals de Washington.
24,अटलांटा थ्रैशर्स पर वाशिंगटन की 5-3 की जीत में उन्होंने 2 गोल और 2 असिस्ट किए थे.,Il avait marqué 2 buts et 2 assists dans la victoire 5-3 de Washington contre les Atlanta Thrashers.
25,उस रात रूकी निकल्स बैकस्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली.,"Ce soir-là, le joueur de rookie Nickels Backstrom a obtenu la première aide d'Ovetchkin avec un but gagnant."
26,"रात का उनका दूसरा गोल सीज़न का उनका 60वाँ गोल था, जिससे 1995-96 से लेकरजब जोरोमिर जागर और मारियो लेमिएक्स ने इतने गोल किए थे उसके बाद वह एक सीज़न में 60 या इससे अधिक गोल करने वाले पहले खिलाड़ी बन गए हैं.","Son deuxième but de la nuit était son 60e but de la saison, ce qui lui a permis de devenir le premier joueur à avoir marqué 60 ou plus de buts en une saison depuis 1995-96, lorsque Joramir Jagar et Mario Lemieux avaient marqué autant de buts."
27,2008 के 400 सबसे अमीर अमेरिकियों की सूची में बैटन को $ 2.3 billion की अनुमानित संपत्ति के साथ 190 वें स्थान पर रखा गया था।,"Dans la liste des 400 Américains les plus riches de 2008, Baton était classé à la 190e place avec une fortune estimée à 2,3 milliards de dollars."
28,उन्होंने 1950 में वर्जीनिया यूनिवर्सिटी के कला और विज्ञान महाविद्यालय से स्नातक की उपाधि हासिल की थी और वे उस संस्था के अहम दानदाता थे.,Il a obtenu son diplôme de la faculté d'art et de sciences de l'Université de Virginie en 1950 et était un donateur important de cette institution.
29,इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।,La prison d'Abou Gharib en Irak a été incendiée pendant les émeutes.
30,"कैदी दुर्व्यवहार के पता चलने का बाद जेल कुख्यात हो गयी, उसके बाद यू एस सैन्य दलों ने पद भर संभल लिया |","La prison est devenue célèbre après la découverte des mauvais traitements des prisonniers, après quoi les forces militaires américaines ont occupé le poste."
31,फ़र्नांडो अलोंसो के लिए एक शुरुआती पिट स्टॉप के बाद पिकेट जूनियर 2008 के सिंगापुर ग्रां प्री में दुर्घटनाग्रस्त हो गया।,"Après un coup de pied pour Fernando Alonso, Piquet est décédé lors de la première édition du Grand Prix de Singapour en 2008."
32,"जैसे ही अलोंसो के आगे की कारें सेफ्टी कार के नीचे ईंधन लेने के लिए चली गईं, वह जीत दर्ज करने के लिए आगे बढ़ गया।","Au fur et à mesure que les voitures devant Alonso se sont mises à chercher du carburant sous la voiture de sécurité, il s'est avancé pour enregistrer la victoire."
33,पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया था.,Piquet Junior a été renvoyé après le Grand Prix de Hongrie de 2009.
34,"ठीक 8:46 बजे, सुबह पूरे शहर मे चुप्पी फैल गई, ठीक उसी पल पहले जेट ने अपना निशाना बनाया।","Près de 8:46 heures du matin, la tranquillité s'est répandue dans toute la ville, exactement à ce moment-là, l'avion a fait son point."
35,रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है.,Deux rayons de lumière ont été préparés pour regarder vers le ciel toute la nuit.
36,"साईट पर पांच नई गगनचुम्बी इमारतों पर काम चल रहा है, इन इमारतों के बीच में एक परिवहन केंद्र और स्मारक पार्क होगा।","Les travaux sont en cours pour construire cinq nouveaux bâtiments, entre lesquels un centre de transport et un parc commémoratif seront mis en place."
37,इस PBS शो को दो दर्जन से ज़्यादा एमी पुरस्कार मिल चुके हैं. नियमित प्रसारण के मामले में यह सिर्फ़ सीसेम स्ट्रीट और मिस्टर रॉजर नेबरहुड से पीछे है.,"Ce spectacle de PBS a déjà reçu plus de deux douzaines de prix Emmy. En termes de diffusion régulière, il est seulement derrière Sesame Street et Mister Roger Neighborhood."
38,शो का हर एक एपिसोड एक ख़ास पुस्तक की थीम पर केंद्रित होगा और फिर कई कहानियों के माध्यम से उस थीम को खोजेगा.,Chaque épisode du spectacle se concentrera sur le thème d'un livre spécifique et découvrira ce thème à travers de nombreuses histoires.
