id,source_text,target_text
0,月曜日にスタンフォード大学医学部の科学者たちは、細胞を種類別に分類できる新しい診断ツールを発明したと発表しました。それは標準的なインクジェットプリンタで印刷して製造できる小型チップであり、原価は1枚あたり1円ほどす。,"On Monday, scientists at Stanford University Medical School announced that they had invented a new diagnostic tool that can classify cells into different types. It is a small chip that can be printed and manufactured with a standard inkjet printer."
1,主任研究者は、これは低所得国における患者の癌、結核、HIV、マラリアの早期発見につながる可能性があると述べます。こうした国では、乳がんなどの病気の生存率が豊かな国の半分になることもあるとされます。,"The lead researcher stated that this could lead to early detection of cancer, tuberculosis, HIV, malaria among patients in low-income countries."
2,JAS 39Cグリペンは現地時間の午前9時30分頃（UTC 0230）に滑走路に墜落して爆発し、その影響で空港の商業便が閉鎖されました。,JAS 39C Gripen crashed into the runway around 9.30am local time (UTC 0230) and exploded.
3,操縦士は中隊長のディロクリット・パタヴェー氏であることが確認されました。,It has been confirmed that the pilot is the director of the squadron.
4,地元メディアの報道によると、空港の消防車が対応中に横転したということです。,"According to reports from the local media, the airport's fire truck was transported in response."
5,28歳のビダル選手は、3シーズン前にセビージャから移籍してバルサに所属していました。,The 28-year-old Bidar player was previously a member of Barsha.
6,カタルーニャの州都に移って以来、ビダルはクラブで49試合に出場しました。,"Since moving to Catalonia, Bidar has played 49 matches for the club."
7,抗議行動は、現地時間11:00（UTC+1）頃にホワイトホール通りで始まり、首相官邸があるダウニング街の警察が警備する入口の向かいに群衆が集結しました。,"Protests began at around 11:00 local time (UTC+1) in the White Hall Street, where a crowd gathered in front of the entrance guarded by the police on Downing Street."
8,11時すぎちょうどに抗議者たちはホワイトホールの北行き車両の交通を遮断しました。,"Just after 11 o'clock, protesters blocked the northbound traffic in White Hall."
9,11時20分になると、警察は抗議する権利と交通量のバランスを弁える必要があると告げて、抗議者たちに歩道に戻るように求めました。,"At 11:20 pm, the police told protesters that they needed to strike a balance between the right to protest and the amount of traffic."
10,11時29分頃、デモ隊は英国政府に向かい、トラファルガー広場を通り過ぎて、ストランド街沿いにアルドウィックのそばを通り抜け、キングスウェイをホルボーンに向かって進みましたが、そこでは保守党がグランドコンノートルームズホテルで春季フォーラムを開催していました。,"At around 11:29am, the demonstrators went to the British government, passed through the Trafalgar Square, passed through the Aldowick Road along the Strand Street, and proceeded to the King's Way in the direction of Holborn, where the Conservative Party held a Spring Forum at the Grand Connoissance Rooms Hotel."
11,ナダルの対カナダ戦の戦績は7-2です。,The combat record of the Battle of Natal is 7-2.
12,最近では、ブリスベン・オープンでラオニッチに敗れています。,"Recently, I've been defeated by Raonich in Brisbane Open."
13,試合中にナダルはファーストサーブで76ポイントを奪い、88%のネットポイントを獲得しています。,During the match Nadal has taken 76 points in the first-serve and has scored 88% of net points.
14,試合後にキング・オブ・クレーは、「最も重要なイベントの決勝に戻ってきたことに興奮している。これに勝つためにここに来た」と語りました。,"After the match, King of Klay said, ""I'm excited to be back in the final of the most important event. I'm here to win this""."
15,「パナマ文書とは」、2016年春にパナマの法律事務所モサック・フォンセカから報道機関に流出した脱税行為に関する書類の総称で、その総数はおよそ1000万件です。,"""Panama documents are"" is the collective title of papers on tax exemption issued by the Law Office of Panama to the press in the spring of 2016. The total number of papers is approximately 10 million."
16,文書には、富裕層の顧客が税金等の規制を逃れて数十億ドルの資産を隠す際に14の銀行が手助けしたことが示されています。,The documents show that 14 banks helped wealthy customers escape tax and other regulations by hiding billions of dollars in assets.
17,英国のガーディアン紙は、ドイツ銀行が1200社のペーパーカンパニーの約3分の1を支配していることを示唆しました。,The Guardian newspaper suggested that Deutsche Bank controls about one-third of the 1200 paper companies.
18,世界中で抗議の声が上がり、何件もの刑事告発があり、アイスランドとパキスタンの両政府の指導者が辞任しました。,"Protests erupted around the world, and there were several criminal charges, and the leaders of both the governments of Iceland and Pakistan resigned."
19,香港生まれの馬英九は、ニューヨーク大学とハーバード大学法学大学院を卒業し、米国の永住権「グリーンカード」を保有していたこともあります。,"He was born in Hong Kong, graduated from New York University and Harvard Law School, and held a green card for permanent residence in the United States."
20,選挙中に謝氏は、危機に陥ったら馬氏は逃げ出すかもしれないとほのめかしていました。,選挙中に謝氏は、危機に陥ったら馬氏は逃走かもしれないとほめめかしていました。
21,謝長廷は、馬英九について実物よりも写真写りが良いと主張していました。,謝長廷は、馬英九について実物より写真書き方が良いと主張していました。
22,こうした非難にもかかわらず、馬氏は中国大陸との緊密な関係を標榜して楽勝でした。,"In spite of these accusations, Ma was easily defeated by highlighting the close relationship with the Chinese continent."
23,今日のプレイヤー・オブ・ザ・デイは、ワシントン・キャピトルズのアレックス・オヴェーチキン選手です。,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.
24,ワシントンがアトランタ・トラッシャーズに5-3で勝利した際には2ゴール2アシストを記録しています。,Washington has recorded two goals and two assists in a 5-5 win over the Atlanta Thrashers.
25,この夜、オベーチキンの最初のアシストは、ルーキーのニックラス・バックストロームが決めた決勝ゴールでした。,"This night, Overechkin's first assistant was the ultimate winner."
26,その夜の2つ目のゴールは、彼の今季60点目のゴールとなりました。1シーズンで60点以上を記録した選手は、1995～1996年のジャロミア・ジャグとマリオ・ルミュー以来という快挙でした。,His second goal of the night became his 60th goal of the season. The first player to score more than 60 points in a single season was the fastest since 1995-1996.
27,バッテン氏は2008年版アメリカ長者番付で190位に入り、推定資産額は23億ドルでした。,"Batten entered 190 positions in the 2008 edition of Ameri長者番付, with an estimated net worth of $2.3 billion."
28,彼は、1950年にバージニア大学芸術科学部を卒業し、同大学に多額の寄付をしました。,He graduated from the University of Virginia's Department of Arts and Sciences in 1950 and donated a large sum of money to the university.
29,イラクのアブ・グライブ刑務所が暴動の最中に放火されました。,Iraq's Abu Ghraib prison was set on fire during the riots.
30,米軍による占領後、囚人の虐待が発覚し、当該刑務所の悪名がとどろきました。,"After the U.S. military's occupation, imprisonment was abused."
31,ピケJr.は2008年のシンガポールGPで、フェルナンド・アロンソが早めにピットインした直後にクラッシュし、セーフティーカーが導入されました。,PickeJr. was introduced in 2008 at the Singapore GP.
32,先行するマシンがセーフティカーの後ろで燃料を補給する中、アロンソは集団の中で順位を上げて勝利を手にしました。,"While the front-wheel-drive machine supplied fuel to the rear of the truck, Alonso rose to the top of the crowd and won the race."
33,ピケJr.は2009年のハンガリーGP後に解雇されました。,PikéJr. was fired after the 2009 Hungarian GP.
34,午前8時46分ちょうどに街中が静寂に包まれました。最初のジェット機が目標に衝突した瞬間でした。,"At 8:46 a.m., the first jet plane hit its target."
35,二筋の光が一晩中空に向かうように配備されています。,The light of the two muscles is equipped to go into the night sky.
36,敷地内には新たに5つの超高層ビルが建設中で、その中央には交通センターと記念公園があります。,"Five new super-high-rise buildings are under construction on the grounds, and there is a traffic center and a memorial park in the center."
37,このPBSの番組はエミー賞を20回以上も受賞しており、この番組よりも長寿の番組は「セサミストリート」や「ミスター・ロジャースのご近所さんになろう」しかありません。,"This PBS show has won the Emmy Award more than 20 times. The longest-running shows on the network are ""Semi Street"" and ""Be Your Neighbor to Mr. Rogers""."
38,この番組のエピソードはいずれも具体的な書籍のテーマに焦点を当て、いくつもの物語を通してそのテーマを探求するものでした。,Each episode of the show focused on the theme of a specific book and explored the theme through several stories.
39,また、それぞれの番組では子どもたちが図書館に行ったときに探すべきお勧めの本に関する情報も提供していました。,"In each program, children also provided information about recommended books to look for when going to the library."
40,WNED Buffalo（リーディングレインボーの放送局）のジョン・グラント氏は、「リーディングレインボーという番組は子供たちに、なぜ本を読むのかを教えてくれました。本を手に取って読むように子供たちに促してくれたのです」と語りました。,"John Grant of WNED Buffalo (BBC) commented, ""The Reading Rainbow show taught me why to read books. I urged my children to take a book and read it""."
41,ジョン・グラントほか一部の人たちは、資金不足と教育テレビ番組に関する考え方の変化がシリーズ終了の一因であったと考えています。,John Grant and others consider the lack of funding and the change in thinking about educational TV shows to have been a factor in the end of the series.
42,暴風雨は、カーボベルデ諸島の西約645マイル(1040 km)の位置まで来ているが、上陸する前に散逸する可能性が高いと気象予報士は述べています。,"Meteorological forecasters have stated that thunderstorms are likely to arrive at a location about 645 miles (1040 km) west of Karbo Verde Islands, but are likely to disperse before landing."
43,フレッドは現在、時速105マイル（165km/h）の風速で北西に向かって進んでいます。,Fred is currently heading northwest with wind speeds of 165km/h.
44,フレッドは、衛星画像が導入されて以来、大西洋のはるか南と東で記録された最大の熱帯低気圧であり、西経35度以東で記録された3番目の大型ハリケーンである。,Fred was the third largest tropical depression ever recorded in the Far South and East since satellite imagery was introduced.
45,"ギネスビール創業者のアーサー・ギネスは、1759年9月24日にアイルランドのダブリンにあるセント・ジェームズ・ゲート醸造所を年間45ポンドで9,000年間賃り上げるというリース契約を結びました。","The founder of Guinness Beer, Arthur Guinness, signed a lease agreement on 24 September 1759 to raise the annual rent of the St. James's Gate brewery in Dublin, Ireland, to £45 per year for 9,000 per year."
46,その250年後にギネスは年間売上100億ユーロ（147億米ドル）を上回る世界的なビジネスへの成長を遂げました。,"After 250 years, the company grew into a global business with annual sales exceeding €10 billion (€147 billion)."
47,A1GPニュージーランドチームのコ・ドライバーであるジョニー・リードは本日、48年以上の歴史があるニュージーランドのオークランド・ハーバー・ブリッジを違反なく最速で駆け抜け、歴史に名を刻みました。,A1GP New Zealand team co-driver Johnny-Leed has made a name for himself in history without violating New Zealand's Oakland Harbour Bridge with over 48 years of history.
48,リード氏は、ニュージーランドのA1GPカーである「ブラックビューティー」で時速160 km以上で7回も橋を渡る走行に成功しました。,"Mr. Reed has successfully crossed the bridge seven times over 160 km in New Zealand's A1GP car called ""Black Beauty""."
49,ニュージーランドの警察は、ブラックビューティーの速度が低いため、速度計測器でリード氏の速度を確認するのに苦労したそうで、警察がリード氏の速度を確認できたのは、時速160 kmまで減速したときだけだったそうです。,"New Zealand's police, due to the low speed of Black Beauty, struggled to verify Lead's speed with a speedometer. The police were only able to verify Lead's speed when it slowed down to 160 km."
50,過去3カ月間に、80人以上の逮捕者が正式に起訴されることなくセントラルブッキング施設から釈放されました。,"Over the past three months, more than 80 detainees have been released from Central Booking Facility without being formally charged."
51,今年4月には、グリン判事が同施設に対して、収容後24時間以上経過しても裁判所の委員による審問を受けなかった者の釈放を強制するための仮処分命令を発令しました。,"In April of this year, Judge Gryn issued a temporary restraining order forcing the release of those who had not been questioned by the court committee after more than 24 hours of detention against the same facility."
52,コミッショナーは、保釈が認められた場合には保釈金を定め、逮捕した警官により申請された嫌疑を正式なものにします。その後、嫌疑内容は州のコンピューターシステムに入力され、事件が追跡されます。,"If the bail is granted, the commissioner determines the bail fee, and the arrested police officer makes the alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleged alleg"
53,聴聞会では、迅速な裁判を受ける被疑者の権利に基づき期日を示します。,"At the hearing, the court shall indicate the date on which the accused is entitled to a speedy trial."
54,オーストラリアの財務大臣であり、ジョン・ハワード首相の後任として自由党党首に就任する可能性が高いピーター・コステロ氏は、オーストラリアの原子力発電産業を支持しています。,"Peter Kostero, Australia's finance minister, who is likely to take over as leader of the Liberal Party after Prime Minister John Howard, supports Australia's nuclear power industry."
55,コステロ氏は、原子力発電で経済的に採算が取れるようになったら、オーストラリアは原子力発電の利用を追求すべきだと述べました。,"Mr. Costello stated that once nuclear power could be economically exploited, Australia should pursue the exploitation of nuclear power."
56,「商用になれば手に入れるべきです。つまり、原則として原子力発電には反対しない」とコステロ氏は語りました。,"""It should be commercially available, i.e. as a principle we are not opposed to nuclear power generation"", he said."
57,ANSAによると、「警察は、本格的な後継者争いに火がつくのを恐れていた最上層部たちによる抗争が2～3回あるだろうと懸念していた」そうです。,"According to ANSA, ""The police were concerned that there would be two or three protests by the highest ranks who feared fires would be set on their own successors""."
58,警察によると、ロ・ピッコロはパレルモでプロヴェンツァーノの右腕として活躍していたことと、権力網を強化している間はできるだけ目立たないようにというプロヴェンツァーノの方針に従っていたため、その優れた経験が年配幹部たちから尊敬を集めたことで有利な状況にあるとのことです。,"According to the police, since Ro Piccolo was active as the right arm of the pro-government in Palermo, he followed the pro-government policy of not being seen as much as possible while strengthening the power grid, his excellent experience was in a favourable position to gain respect from senior executives."
59,「1992年にマフィア撲滅運動家ジョヴァンニ・ファルコーネとパオロ・ボルセリーノの命を奪ったリイナ主導の国家との戦争に終止符を打ったとき、これらの幹部たちはプロヴェンツァーノによって抑え付けられていました。」,"""When, in 1992, the mafia eradication activists Giovanni Farcone and Paolo Borcellino put an end to the war with the rebel-led state that claimed their lives, these executives were suppressed by the pro-vents""."
60,Appleのスティーブ・ジョブズ最高経営責任者（CEO）は登壇し、ジーンズのポケットからiPhoneを取り出して、このデバイスを披露しました。,"Steve Jobs, Apple's chief executive (CEO), took the iPhone out of Jeans' pocket and unveiled the device."
61,2時間のスピーチの中で彼は「今日、Appleは電話を再発明しようとしている。私たちは今日歴史を作ろうとしている」と述べました。,"In a two-hour speech, he stated, ""Today, Apple is trying to reinvent the phone. We are trying to make history today""."
62,ブラジルは地球上で最大のローマ・カトリックの国であり、ローマ・カトリック教会は一貫して同性婚の合法化に反対してきた。,Brazil is the largest Roman Catholic country on earth. The Roman Catholic Church has consistently opposed the legalization of same-sex marriage.
63,ブラジルの全国議会では10年前から合法化を巡る議論が続いており、そのような民事婚は現在、リオグランデ・ド・スル州でのみ合法化されています。,The Brazilian National Congress has been debating legalization since 10 years ago. Such civil marriages are now only legalized in Rio Grande do Sul.
64,法案の原案は、元サンパウロ市長のマルタ・スプリシー氏によって起草された。提案された法案は、修正された後、ロベルト・ジェファーソンの手に渡りました。,"The original case of the law was drafted by the former mayor of São Paulo, Marta Sprissi. The proposed bill was later amended and passed into the hands of Roberto Jefferson."
65,抗議者たちは、120万人の署名を集めて11月の全国大会に提出しようと考えています。,Protesters are considering collecting 1.2 million signatures and submitting them to the National Assembly in November.
