id,source_text,target_text
0,月曜日にスタンフォード大学医学部の科学者たちは、細胞を種類別に分類できる新しい診断ツールを発明したと発表しました。それは標準的なインクジェットプリンタで印刷して製造できる小型チップであり、原価は1枚あたり1円ほどす。,"Lundi, des scientifiques de la faculté de médecine de l'Université de Stanford ont annoncé avoir inventé un nouvel outil de diagnostic permettant de classer les cellules selon les types de cellules."
1,主任研究者は、これは低所得国における患者の癌、結核、HIV、マラリアの早期発見につながる可能性があると述べます。こうした国では、乳がんなどの病気の生存率が豊かな国の半分になることもあるとされます。,"Les chercheurs principaux déclarent que cela pourrait conduire à la détection précoce du cancer, du tuberculose, du VIH, du paludisme chez les patients dans les pays à faible revenu. Dans ces pays, le taux de survie de maladies comme le lait est parfois estimé à la moitié des pays riches."
2,JAS 39Cグリペンは現地時間の午前9時30分頃（UTC 0230）に滑走路に墜落して爆発し、その影響で空港の商業便が閉鎖されました。,"Le JAS 39C Gripen est tombé en panne sur la piste à 9h30 de l'heure locale (UTC 0230) et a explosé, ce qui a entraîné la fermeture des vols commerciaux de l'aéroport."
3,操縦士は中隊長のディロクリット・パタヴェー氏であることが確認されました。,Il a été confirmé que le pilote était le chef de l'équipage.
4,地元メディアの報道によると、空港の消防車が対応中に横転したということです。,"Selon les médias de la région, le véhicule d'incendie de l'aéroport s'est transféré dans la correspondance."
5,28歳のビダル選手は、3シーズン前にセビージャから移籍してバルサに所属していました。,Un joueur de 28 ans appartenant à Balsa a été transféré de Sébiージャ à Sébiージャ trois saisons auparavant.
6,カタルーニャの州都に移って以来、ビダルはクラブで49試合に出場しました。,"Depuis, il a joué 49 matches au club."
7,抗議行動は、現地時間11:00（UTC+1）頃にホワイトホール通りで始まり、首相官邸があるダウニング街の警察が警備する入口の向かいに群衆が集結しました。,Les manifestations ont commencé à l'heure locale de 11h00 (UTC+1) sur la rue Blanche. La foule s'est rassemblée vers l'entrée de la Maison du Premier ministre qui est gardée par la police de la rue Downing.
8,11時すぎちょうどに抗議者たちはホワイトホールの北行き車両の交通を遮断しました。,"À 11 heures, les manifestants ont bloqué la circulation des véhicules en direction nord du White Hall."
9,11時20分になると、警察は抗議する権利と交通量のバランスを弁える必要があると告げて、抗議者たちに歩道に戻るように求めました。,"À 11h20, la police a déclaré qu'il fallait trouver un équilibre entre le droit de manifester et le trafic, et a demandé aux manifestants de revenir sur les sentiers."
10,11時29分頃、デモ隊は英国政府に向かい、トラファルガー広場を通り過ぎて、ストランド街沿いにアルドウィックのそばを通り抜け、キングスウェイをホルボーンに向かって進みましたが、そこでは保守党がグランドコンノートルームズホテルで春季フォーラムを開催していました。,"À 11h29, les manifestants se dirigent vers le gouvernement britannique. Ils passent à travers la place Trafalgar."
11,ナダルの対カナダ戦の戦績は7-2です。,Les résultats de l'attaque contre le Canada sont de 7 à 7.
12,最近では、ブリスベン・オープンでラオニッチに敗れています。,"Récemment, j'ai été défait à la ""Brisben Open""."
13,試合中にナダルはファーストサーブで76ポイントを奪い、88%のネットポイントを獲得しています。,"Pendant le match, Nadal a remporté 76 points au premier tour."
14,試合後にキング・オブ・クレーは、「最も重要なイベントの決勝に戻ってきたことに興奮している。これに勝つためにここに来た」と語りました。,"Après le match, le Roi de Klé a déclaré:"" Je suis excité de revenir à la finale de l'événement le plus important."
15,「パナマ文書とは」、2016年春にパナマの法律事務所モサック・フォンセカから報道機関に流出した脱税行為に関する書類の総称で、その総数はおよそ1000万件です。,"""Panama Dokumentsとは"""", est le titre général des documents relatifs à l'exemption des impôts diffusés par le bureau de loi du Panama Moussack-Fonseca au printemps 2016 à l'agence de presse, dont le nombre total est d'environ 10 millions d'exemplaires."
16,文書には、富裕層の顧客が税金等の規制を逃れて数十億ドルの資産を隠す際に14の銀行が手助けしたことが示されています。,Les documents montrent que 14 banques ont aidé des clients riches à échapper à la réglementation fiscale et à cacher des milliards de dollars d'actifs.
17,英国のガーディアン紙は、ドイツ銀行が1200社のペーパーカンパニーの約3分の1を支配していることを示唆しました。,Le Guardian newspaper britannique a suggéré que la Deutsche Bank contrôlait environ un tiers des 1200 entreprises.
18,世界中で抗議の声が上がり、何件もの刑事告発があり、アイスランドとパキスタンの両政府の指導者が辞任しました。,"Dans le monde entier, des voix de protestation ont éclaté, des accusations criminelles ont été portées, et les dirigeants des deux gouvernements de l'Islande et du Pakistan ont démissionné."
19,香港生まれの馬英九は、ニューヨーク大学とハーバード大学法学大学院を卒業し、米国の永住権「グリーンカード」を保有していたこともあります。,"Né à Hong Kong, il est diplômé de l'université de New York et de la faculté de droit de l'université de Harvard."
20,選挙中に謝氏は、危機に陥ったら馬氏は逃げ出すかもしれないとほのめかしていました。,選挙中に謝氏は、危機に陥ったら馬氏は逃走かもしれないとほめめかしていました。
21,謝長廷は、馬英九について実物よりも写真写りが良いと主張していました。,謝長廷は、馬英九について実物より写真書き方が良いと主張していました。
22,こうした非難にもかかわらず、馬氏は中国大陸との緊密な関係を標榜して楽勝でした。,"En dépit de ces accusations, M. Ma a évoqué les liens étroits avec le continent chinois."
23,今日のプレイヤー・オブ・ザ・デイは、ワシントン・キャピトルズのアレックス・オヴェーチキン選手です。,Le joueur d'aujourd'hui est Alex Ovechkin des Capitols de Washington.
24,ワシントンがアトランタ・トラッシャーズに5-3で勝利した際には2ゴール2アシストを記録しています。,"Quand Washington a remporté la victoire contre l'Atlanta-Traschers 5 à 5, il a enregistré 2 buts et 2 aides."
25,この夜、オベーチキンの最初のアシストは、ルーキーのニックラス・バックストロームが決めた決勝ゴールでした。,"Cette nuit-là, le premier assistant d'Overechkin fut le but de la victoire."
26,その夜の2つ目のゴールは、彼の今季60点目のゴールとなりました。1シーズンで60点以上を記録した選手は、1995～1996年のジャロミア・ジャグとマリオ・ルミュー以来という快挙でした。,Le deuxième but de la nuit est devenu son 60ème but de la saison.
27,バッテン氏は2008年版アメリカ長者番付で190位に入り、推定資産額は23億ドルでした。,"M. Batten s'est inscrit à 190 postes dans l'édition 2008 de l'Amérique du Nord, dont l'estimation du patrimoine était de 2.3 milliards de dollars."
28,彼は、1950年にバージニア大学芸術科学部を卒業し、同大学に多額の寄付をしました。,Il est diplômé du département des arts et des sciences de l'Université de Virginie en 1950 et a fait des dons considérables à cette université.
29,イラクのアブ・グライブ刑務所が暴動の最中に放火されました。,La prison de Abu Ghraib en Irak a été incendiée au milieu de l'agitation.
30,米軍による占領後、囚人の虐待が発覚し、当該刑務所の悪名がとどろきました。,"Après l'occupation de l'armée américaine, les mauvais traitements des prisonniers ont été découverts."
31,ピケJr.は2008年のシンガポールGPで、フェルナンド・アロンソが早めにピットインした直後にクラッシュし、セーフティーカーが導入されました。,"PikeJr. a été introduit dans le GP de Singapour en 2008, juste après que Fernando Alonso ait été piétiné plus tôt."
32,先行するマシンがセーフティカーの後ろで燃料を補給する中、アロンソは集団の中で順位を上げて勝利を手にしました。,"Pendant qu'une machine avançait à l'arrière du véhicule pour alimenter le carburant, Alonso a remporté la victoire."
33,ピケJr.は2009年のハンガリーGP後に解雇されました。,PikéJr. a été licencié après le GP de Hongrie de 2009.
34,午前8時46分ちょうどに街中が静寂に包まれました。最初のジェット機が目標に衝突した瞬間でした。,"À 8h46, la rue était plongée dans la silence. C'était le moment où le premier avion a heurté son objectif."
35,二筋の光が一晩中空に向かうように配備されています。,La lumière des deux muscles est équipée pour aller dans l'air pendant la nuit.
36,敷地内には新たに5つの超高層ビルが建設中で、その中央には交通センターと記念公園があります。,"Sur le terrain, cinq nouveaux bâtiments de grande hauteur sont en construction. Au centre, il y a un centre de transport et un parc commémoratif."
37,このPBSの番組はエミー賞を20回以上も受賞しており、この番組よりも長寿の番組は「セサミストリート」や「ミスター・ロジャースのご近所さんになろう」しかありません。,Cette émission de PBS a remporté plus de 20 Emmy Awards.
38,この番組のエピソードはいずれも具体的な書籍のテーマに焦点を当て、いくつもの物語を通してそのテーマを探求するものでした。,Chacun des épisodes de cette émission était axé sur le thème des livres concrets et cherchait le thème à travers plusieurs histoires.
39,また、それぞれの番組では子どもたちが図書館に行ったときに探すべきお勧めの本に関する情報も提供していました。,"Dans chaque émission, ils ont également fourni des informations sur les livres que les enfants devraient rechercher lorsqu'ils vont à la bibliothèque."
40,WNED Buffalo（リーディングレインボーの放送局）のジョン・グラント氏は、「リーディングレインボーという番組は子供たちに、なぜ本を読むのかを教えてくれました。本を手に取って読むように子供たちに促してくれたのです」と語りました。,"John Grant, de WNED Buffalo, a déclaré: ""L'émission Reading Rainbow a appris aux enfants pourquoi ils devaient lire. Il a encouragé les enfants à prendre un livre à la main et à le lire""."
41,ジョン・グラントほか一部の人たちは、資金不足と教育テレビ番組に関する考え方の変化がシリーズ終了の一因であったと考えています。,John Grant et d'autres pensent que la pénurie de fonds et le changement de pensée concernant les émissions de télévision éducatives ont été une des raisons de la fin de la série.
42,暴風雨は、カーボベルデ諸島の西約645マイル(1040 km)の位置まで来ているが、上陸する前に散逸する可能性が高いと気象予報士は述べています。,"Les prévisions météorologiques indiquent qu'une tempête de pluie arrive à environ 645 miles à l'ouest des îles, mais qu'elle est plus susceptible de se dissiper avant le débarquement."
43,フレッドは現在、時速105マイル（165km/h）の風速で北西に向かって進んでいます。,Fred est actuellement en route vers le nord-ouest à une vitesse de 165 km/h.
44,フレッドは、衛星画像が導入されて以来、大西洋のはるか南と東で記録された最大の熱帯低気圧であり、西経35度以東で記録された3番目の大型ハリケーンである。,Fred est le troisième plus grand ouragan enregistré dans l'Atlantique du Sud et de l'Est depuis l'introduction de l'image satellite.
45,"ギネスビール創業者のアーサー・ギネスは、1759年9月24日にアイルランドのダブリンにあるセント・ジェームズ・ゲート醸造所を年間45ポンドで9,000年間賃り上げるというリース契約を結びました。","Le fondateur de Guinness Beer, Arthur Guinness, a conclu un contrat de location le 24 septembre 1759 pour augmenter le salaire annuel de 9 000 livres à la Saint-James-Gate Brewery située à Dublin en Irlande."
46,その250年後にギネスは年間売上100億ユーロ（147億米ドル）を上回る世界的なビジネスへの成長を遂げました。,"Après 250 ans, le chiffre d'affaires mondial a dépassé le chiffre d'affaires annuel de 10 milliards d'euros (147 milliards de dollars)."
47,A1GPニュージーランドチームのコ・ドライバーであるジョニー・リードは本日、48年以上の歴史があるニュージーランドのオークランド・ハーバー・ブリッジを違反なく最速で駆け抜け、歴史に名を刻みました。,"Johnny-Leed, co-conducteur de l'équipe A1GP Nouvelle-Zélande, s'est inscrit dans l'histoire de la Nouvelle-Zélande avec plus de 48 ans d'histoire sans avoir violé l'Oukland Harbour Bridge."
48,リード氏は、ニュージーランドのA1GPカーである「ブラックビューティー」で時速160 km以上で7回も橋を渡る走行に成功しました。,Il a réussi à traverser le pont 7 fois avec une vitesse supérieure à 160 km en Nouvelle-Zélande A1GP.
49,ニュージーランドの警察は、ブラックビューティーの速度が低いため、速度計測器でリード氏の速度を確認するのに苦労したそうで、警察がリード氏の速度を確認できたのは、時速160 kmまで減速したときだけだったそうです。,La police de Nouvelle-Zélande a eu du mal à vérifier la vitesse de Reed avec un compteur de vitesse. La police n'a pu vérifier sa vitesse que lorsqu'elle a ralenti jusqu'à 160 km de vitesse.
50,過去3カ月間に、80人以上の逮捕者が正式に起訴されることなくセントラルブッキング施設から釈放されました。,"Au cours des trois derniers mois, plus de 80 personnes arrêtées ont été libérées de l'établissement central de booking sans avoir été officiellement inculpées."
51,今年4月には、グリン判事が同施設に対して、収容後24時間以上経過しても裁判所の委員による審問を受けなかった者の釈放を強制するための仮処分命令を発令しました。,"En avril de cette année, le juge Grin a émis une ordonnance de mise en liberté provisoire pour forcer la libération des personnes qui n'ont pas été interrogées par le comité de la cour après plus de 24 heures de détention."
52,コミッショナーは、保釈が認められた場合には保釈金を定め、逮捕した警官により申請された嫌疑を正式なものにします。その後、嫌疑内容は州のコンピューターシステムに入力され、事件が追跡されます。,"Si la caution est accordée, le commissaire détermine la caution, rend officiellement les soupçons demandés par les policiers arrêtés, puis le contenu des soupçons est inséré dans le système informatique de l'État et les événements sont suivis."
53,聴聞会では、迅速な裁判を受ける被疑者の権利に基づき期日を示します。,"Lors de l'audience, on indique les dates de l'audience en fonction des droits des suspects à un procès rapide."
54,オーストラリアの財務大臣であり、ジョン・ハワード首相の後任として自由党党首に就任する可能性が高いピーター・コステロ氏は、オーストラリアの原子力発電産業を支持しています。,"Le ministre australien des Finances, Peter Costello, qui est plus susceptible de devenir le chef du Parti libéral en tant que successeur du Premier ministre John Howard, soutient l'industrie de l'énergie nucléaire australienne."
55,コステロ氏は、原子力発電で経済的に採算が取れるようになったら、オーストラリアは原子力発電の利用を追求すべきだと述べました。,M. Kostero a déclaré que l'Australie devrait poursuivre l'utilisation de l'énergie nucléaire si l'exploitation de l'énergie nucléaire est devenue économiquement possible.
56,「商用になれば手に入れるべきです。つまり、原則として原子力発電には反対しない」とコステロ氏は語りました。,"""Il devrait être commercialisé, c'est-à-dire qu'en principe nous ne sommes pas opposés à l'énergie nucléaire"", a déclaré M. Kostero."
57,ANSAによると、「警察は、本格的な後継者争いに火がつくのを恐れていた最上層部たちによる抗争が2～3回あるだろうと懸念していた」そうです。,"Selon l'ANSA, ""la police s'inquiétait qu'il y ait 2 à 3 affrontements de la part des plus hauts rangs qui craignaient de déclencher un incendie dans les disputes de leurs successeurs""."
58,警察によると、ロ・ピッコロはパレルモでプロヴェンツァーノの右腕として活躍していたことと、権力網を強化している間はできるだけ目立たないようにというプロヴェンツァーノの方針に従っていたため、その優れた経験が年配幹部たちから尊敬を集めたことで有利な状況にあるとのことです。,"Selon la police, parce qu'il était actif à Palermo en tant que bras droit du professeur, il a respecté la politique du professeur de pouvoir de ne pas être aussi visible que possible pendant le renforcement de son réseau de pouvoir, son excellente expérience est dans une situation favorable à l'obtention du respect des cadres de l'année."
59,「1992年にマフィア撲滅運動家ジョヴァンニ・ファルコーネとパオロ・ボルセリーノの命を奪ったリイナ主導の国家との戦争に終止符を打ったとき、これらの幹部たちはプロヴェンツァーノによって抑え付けられていました。」,"""Lorsqu'ils ont mis fin à la guerre contre les pays dirigés par la mafia, qui a coûté la vie à Giovanni Farcone et Paolo Borcellino en 1992, ces cadres ont été maîtrisés par les professeurs."
60,Appleのスティーブ・ジョブズ最高経営責任者（CEO）は登壇し、ジーンズのポケットからiPhoneを取り出して、このデバイスを披露しました。,"Le PDG d'Apple, Steve Jobs, est monté sur le podium et a sorti l'iPhone de la poche de Jeans et a dévoilé cet appareil."
61,2時間のスピーチの中で彼は「今日、Appleは電話を再発明しようとしている。私たちは今日歴史を作ろうとしている」と述べました。,"Au cours d'un discours de 2 heures, il a déclaré:""Aujourd'hui, Apple est en train de réinventer le téléphone."
62,ブラジルは地球上で最大のローマ・カトリックの国であり、ローマ・カトリック教会は一貫して同性婚の合法化に反対してきた。,Le Brésil est le plus grand pays catholique romain de la planète. L'Église catholique romaine s'est toujours opposée à la légalisation du mariage homosexuel.
63,ブラジルの全国議会では10年前から合法化を巡る議論が続いており、そのような民事婚は現在、リオグランデ・ド・スル州でのみ合法化されています。,"Depuis il y a dix ans, le Congrès national brésilien discute de la légalisation de ces mariages."
64,法案の原案は、元サンパウロ市長のマルタ・スプリシー氏によって起草された。提案された法案は、修正された後、ロベルト・ジェファーソンの手に渡りました。,"Le projet de loi a été élaboré par l'ancien président de la municipalité de São Paulo, Marta Sprissi. Le projet de loi a été modifié et remis aux mains de Roberto Jefferson."
65,抗議者たちは、120万人の署名を集めて11月の全国大会に提出しようと考えています。,"Les manifestants envisagent de rassembler 1,2 million de signatures et de les soumettre à l'Assemblée nationale de novembre."
66,多くの家族が立ち退きと戦うために法的支援を求めていることが明らかになった後、3月20日、東海岸地域法律相談所で住宅詐欺の被害者のための集会が開催されました。,"Après qu'il ait été révélé que de nombreuses familles réclamaient de l'aide juridique pour lutter contre la reprise, une réunion a été organisée le 20 mars au conseil juridique régional de la côte orientale pour les victimes de fraude résidentielle."
