id,source_text,target_text
0,"스탠포드 의과대학 연구진은 지난 월요일 세포를 유형별로 분류할 수 있는 새로운 진단도구를 개발했다고 밝혔다. 이는 아주 작은 크기의 인쇄가 가능한 칩으로, 일반적인 잉크젯 프린터를 이용해 개 당 미화 약 1센트로 생산이 가능할 것으로 예상된다.","Researchers at the Stanford University School of Medicine said last Monday that they had developed a new diagnostic tool to classify cells by type. This is a very small size, printable chip, which is expected to be produced using a standard inkjet printer for about 1 cent of the time."
1,"수석 연구진들은 이것이 선진국 대비 절반의 생존율을 보이는 저소득 국가들의 환자들에게 암, 결핵, HIV 그리고 말라리아의 조기 발견을 가져올 수 있다고 설명합니다.","Senior researchers explain that this can lead to early detection of cancer, tuberculosis, HIV and malaria in patients in low-income countries with half the survival rate compared to developed countries."
2,"현지 시간으로 약 아침 9시 30분(0230 UTC)에 JAS 39C 그리펜이 활주로에 추락 후 폭발해, 공항의 상업 항공편 운항이 중단되었습니다.","Local time at approximately 9:30 am (0230 UTC) on JAS 39C Grippenyi crashed into the viaduct and exploded, commercial air services of the airport were suspended."
3,그 조종사는 비행 중대장 딜로크리트 패타비로 확인되었다.,The pilot was confirmed to be a flight attendant.
4,현지 언론은 공항 소방차가 사고에 대응하는 도중에 전복되었다고 보도했습니다.,Local media reported that the airport has been overrun in response to the accident.
5,28세인 비달은 3년 전 세비야 FC에서 FC 바르셀로나에 합류했습니다.,The 28-year-old Vidal joined FC Barcelona from Sevilla FC three years ago.
6,바르셀로나로 이적한 후 비달은 클럽을 위해 49경기를 뛰었습니다.,"After moving to Barcelona, Vidal played 49 games for the club."
7,시위는 총리의 공식 거주지인 다우닝가의 경찰이 경비를 서는 입구 맞은편 화이트홀에서 현지 시간 11:00(UTC+1) 경에 시작되었습니다.,"The demonstration began at 11:00 local time (UTC+1) at the entrance to the White Hall, the official residence of the Prime Minister."
8,"11시가 막 지난 후, 시위대는 화이트홀에 있는 북쪽으로 향하는 마차들의 교통을 막았다.","Eleven hours later, police stopped the traffic of northbound cars in the White Hall."
9,"11시 20분에 경찰이 시위대에게 보도로 돌아가도록 요청했으며, 시위할 권리와 증가하는 교통량 사이에 절충할 필요가 있다고 말했습니다.","At 11:20 pm, the police asked the police to return to the area and said that there was a need to bridge the gap between the authority of the area and the increasing traffic."
10,"11시 29분 경, 시위대는 스트랜드를 따라 트라팔가 광장을 지나 화이트 홀로 입성했으며, 알드 위치를 지나, 킹스웨이로 들어가 보수당이 그랜드 코너트 룸스 호텔에서 스프링 포럼을 열고 있던 홀본 쪽으로 향했다.","Around 11:29 a.m., the marchers followed the Strand along the Trafalga Square, passed the White Hall, entered the King's Way, entered the Conservatory, and headed for the Hall, which was opening the Spring Forum at the Grand Cornet Rooms Hotel."
11,나달과 이 캐나다 선수와의 정면 대결 기록은 7 대 2입니다.,Nadal and the Canadian team have a record of 7-2.
12,그는 최근 브리즈번 오픈(Brisbane Open) 경기에서 라오니치(Raonic)에게 패했다.,He recently lost to Raonic in the Brisbane Open.
13,나달은 첫 서브에서 76점을 획득하며 88%의 네트 포인트를 달성했습니다.,"Nadal scored 76 points in the first half, achieving 88% of the net points."
14,경기가 끝난 후 클레이의 왕은 “가장 중요한 종목의 마지막 라운드에 복귀한 것만으로도 기쁘다. 이번 대회에서 우승하려고 왔다.”고 말했다.,"After the end of the match, Klay's King is happy to be back in the final round of a very important tournament."
15,"""""""파나마 페이퍼스(Panama Papers)""""는 2016년 봄, 언론에 유출된 파나마 법률 회사인 모색 폰세카(Mossack Fonseca)의 약 천만 건에 이르는 문서를 의미하는 포괄적인 용어입니다.""","""Panama Papers"" is an umbrella term used to refer to a collection of papers published in the media in the spring of 2016 by the Panama Law Company, 모색 폰세카 (Mossack Fonseca)."
16,문서에 따르면 14개의 은행이 부유한 고객을 도와 세금 및 기타 규제를 피할 수 있도록 미화 수십억 달러를 숨기게 해줬습니다.,"According to documents, 14 banks have hidden billions of dollars to help wealthy customers avoid taxes and other regulations."
17,영국 신문 가디언지는 도이치 뱅크는 이것을 이루기 위해 사용된 대략 1200개의 비활동 회사 중 삼 분의 일을 조종했다고 시사했다.,"The british newspaper Guardian reported that Deutsche Bank had controlled three minutes of the work of approximately 1,200 inactive companies used to accomplish this."
18,"전 세계적으로 시위가 있었고, 여러 건의 형사 고발이 있었으며, 파키스탄 정부와 아이슬란드 정부의 지도자들은 모두 사임했다.","There were protests all over the world, and there were many deaths, and the leaders of the Pakistani government and the Icelandic government all resigned."
19,마(Ma) 씨는 홍콩에서 태어나 뉴욕대와 하버드대 로스쿨에서 공부했으며 미국 영주권자 '그린카드'를 소지한 적이 있다.,Ms. Ma was born in Hong Kong and studied at New York University and Harvard Law School.
20,셰이(Hsieh)는 선거 기간 동안 마(Ma)가 위기의 시기에 망명할 수 있음을 암시했습니다.,"He also pointed out that during the election period, there was a time when there was a crisis."
21,또한 셰이는 사진 잘 받는 마가 스타일은 멋있지만 실속은 없다고 말했습니다.,"Shei also said that her style, which is well photographed, is cool, but it's not real."
22,"이러한 고발에도 불구하고, 마는 중국 본토와의 긴밀한 유대를 옹호하는 플랫폼을 쉽게 얻었습니다.","In spite of these challenges, China has easily gained a platform to advocate a close relationship with mainland China."
23,오늘의 선수는 워싱턴 캐피털즈의 알렉스 오베츠킨입니다.,Today's player is Alex Obettskin of the Washington Capitals.
24,Atlanta Thrashers를 상대로 5-3으로 이긴 Washington의 경기에서 그는 골 2개와 어시스트 2개를 기록했습니다.,"In a 5-3 win over the Atlanta Thrashers against Washington, he scored two goals and two assists."
25,그날 밤 오베치킨의 첫 어시스트는 신인 니클라스 백스트롬의 경기 결승골로 이어졌습니다.,"On that night, the first match of the tournament ended with the final goal of the new Nicholas Backstrom."
26,"그날 밤 그의 두 번째 골은 시즌의 시즌의 60번째였으며, 1995-1996년 시즌에 야르오미르 야그르와 마리오 르뮤 이후 처음으로 60번 이상 득점을 한 선수가 되었다.","That night, his second goal was the 60th of the season, and he became the first player to score more than 60 goals in the 1995-1996 season."
27,배튼씨는 2008년 400명의 미국 내 부자 순위에서 약 23억 달러의 재산으로 190위에 올랐다.,Ms. Batten rose to 190th place in the 2008 Fortune 400 ranking with a fortune of approximately $2.3 billion.
28,그는 1950년에 버지니아 대학에서 예술 과학을 전공으로 졸업했고 상당한 기부자로 명성을 남겼다.,He graduated from the University of Virginia in 1950 with a degree in Arts and Sciences and was recognized as a significant contributor.
29,이라크의 아부 그라이브 교도소에서 폭동이 일어난 동안 화재가 발생했습니다.,A fire broke out during an explosion in the Abu Ghraib prison in Iraq.
30,미군 점령 후에 수감자 학대 사건이 밝혀지자 교도소의 악명은 높아졌다.,"After the U.S. captured the prison, the name of the school was upgraded."
31,피케 주니어는 2008년 싱가포르 그랑프리에서 페르난도 알론소가 미리 피트스톱을 실시한 직후 사고를 내 세이프티카가 발령되도록 하였습니다.,Fike Jr. made sure that the accident was triggered shortly after Fernando Alonso's pre-fitstop at the 2008 Singapore Grand Prix.
32,"알론소 앞에 있던 차들이 안전차 밑으로 연료를 넣으러 들어가자, 그는 승기를 잡기 위해 무리를 옮겼다.","When the cars in front of Alonso went under the safety car to put fuel in, he moved the team to take the win."
33,피케 주니어(Piquet Jr.)는 2009년 헝가리 그랑프리 이후 파면되었다.,Piquet Jr. was born in Hungary in 2009.
34,"정적이 도시 전체에 덮여 있는 정확히 오전 8시 46분, 그 순간 첫 번째 제트기가 타깃을 맞췄다.",It was exactly 8:46 a.m. when the first plane hit the target.
35,두 광선 기둥이 밤새 하늘 방향을 가리키기 위해 설치되어 있었습니다.,Two lighthouses were installed to indicate the direction of the sky all night.
36,현장에서는 다섯 개의 고층 건물과 가운데 위치하는 교통 센터와 기념 공원이 건설 중입니다.,"In the field, a five-storey traffic center and a memorial park are under construction."
37,"그 PBS 쇼는 24번 이상의 에미상을 수상했고, 유일하게 세서미 스트리트(Sesame Street)와 미스터 로저의 이웃(Mister Rogers' Neighborhood)보다 방영 기간이 짧다.",The PBS show won 24 Emmy Awards and was the only one with a shorter runtime than Sesame Street and Mister Rogers' Neighborhood.
38,"이 쇼의 각 에피소드는 특정 책의 주제에 초점을 맞춘 다음, 여러 이야기를 통해 그 주제를 탐구할 것이다.","Each episode of the show focuses on a specific book topic, then explores the topic through several stories."
39,각 쇼마다 어린이들이 도서관에 가서 꼭 읽어봐야 할 책을 권장해 주기도 한다.,Each show encourages children to go to the library and give them a book to read.
40,"""WNED 버팔로(리딩 레인보우의 채널사)의 존 그랜트는 """"리딩 레인보우는 아이들에게 왜 책을 읽어야 하는지 가르쳤고,... 책을 좋아하도록 가르쳤고 - [쇼는] 아이들이 책을 읽도록 격려했다""""라고 전했다.""","John Grant of ""WNED Buffalo Reading Rainbow's Channel"" reported, ""Reading Rainbow taught children why they should read books,... taught them to like books - [shown] encouraged children to read books""."
41,존 그랜트(John Grant)를 포함한 일부 사람들은 자금 조달 문제 및 교육용 텔레비전 프로그램의 철학이 바뀐 것이 시리즈를 끝내는데 기여했다고 생각합니다.,"Some people, including John Grant, believe that the changing philosophy of funding issues and educational television programs has contributed to ending the series."
42,일기예보에 따르면 카보베르데 섬 서쪽으로 약 645마일(1040 킬로미터) 지점에 위치한 폭풍은 육상에 위협이 되기 전 소멸될 것으로 예상된다.,"According to reports, the storm, located at a point about 645 miles (1040 kilometers) west of Cabo Verde Island, is expected to become extinct before threatening land."
43,프레드는 현재 시속 165km의 바람을 타고 북서쪽으로 이동하고 있습니다.,Fred is currently traveling northwest on a wind speed of 165km.
44,"프레드는 위성사진의 출현 이후 지금까지 대서양의 남쪽과 동쪽에 기록된 가장 강력한 열대성 사이클론이며, 35°W의 동쪽에서 기록된 세 번째 허리케인이다.","Fred is the strongest tropical cyclone ever recorded in the southern and eastern parts of the Pacific Ocean since the advent of Hurricane Katrina, and the third hurricane ever recorded east of 35°W."
45,"1759년 9월 24일, 아서 기네스는 아일랜드 더블린에 있는 세인트 제임스 게이트 브루어리의 9,000년 임대 계약을 체결했습니다.","On September 24, 1759, Arthur Guinness signed a 9,000-year lease agreement with St. James's Gate Brewery in Dublin, Ireland."
46,250년 뒤 기네스(Guinness)은 매년 100억 유로(약 147억 달러)가 넘는 글로벌 기업으로 성장했다.,Guinness has grown into a global enterprise with annual revenues exceeding 10 billion euros (about US$147 billion).
47,A1GP 뉴질랜드 팀의 공동 드라이버인 Jonny Reid는 48년 된 뉴질랜드 오클랜드 하버 브리지를 합법적으로 가장 빠르게 운전함으로써 오늘 새로운 역사를 만들었습니다.,"Jonny Reid, co-driver of the A1GP New Zealand team, created a new history today by driving the 48-year-old New Zealand Auckland Harbour Bridge legally the fastest."
48,리드 씨는 뉴질랜드의 A1GP 차량인 블랙 뷰티를 시속 160km 이상으로 일곱 번이나 다리 위를 질주했습니다.,Mr. Reed drove New Zealand's A1GP vehicle Black Beauty over seven bridges at 160 km/h.
49,"뉴질랜드 경찰은 레이드 씨가 차가 낮아서 속도 측정기를 이용해 얼마나 빨리 가고 있는지 확인하는 데 어려움을 겪었고, 겨우 경찰이 측정이 가능했을 때는 리드 씨가 시속 160km로 속도를 줄인 후였다.","New Zealand police experienced difficulties in verifying how fast the train was going, using a low speed gauge, and when it was only possible to measure the train, the speed of the train was reduced to 160 km/h."
50,"지난 3개월 동안, 80명이 넘는 체포된 이들이 정식 기소되지 않고 구치소에서 풀려났습니다.","Over the past three months, more than 80 of those arrested have been released from prison without formal charges."
51,"올해 4월, 글린 판사는 수감 후 24시간 이상 지났지만 법원 청장의 심문을 받지 않은 사람들을 석방시키기 위해 시설에 대한 임시 접근 금지 명령을 내렸습니다.","In April this year, after more than 24 hours of imprisonment, the Glin 판사 issued a temporary restraining order on the facility in order to release those who had not been examined by the court."
52,청장은 허가되면 보석을 하고 체포한 경찰관이 제기한 혐의를 공식화한다. 그런 다음 혐의 기록이 추적되는 주의 컴퓨터 시스템에 입력된다.,"If the Chief is authorized, the police officer who has been arrested will make an official statement of the charges brought against him, and the records of the charges will be entered into your computer system, which will be tracked."
53,또한 심리는 용의자가 신속한 재판을 받을 수 있는 권리를 위한 날짜입니다.,It is also a date for the right of the accused to a speedy trial.
54,자유당 대표 존 하워드 총리 뒤를 이을 가능성이 가장 높은 피터 코스텔로 호주 재무 장관은 호주 원자력 산업에 지지를 보냈습니다.,"Liberal Party representative John Howard, the most likely to succeed Prime Minister Peter Costello, Australia's Minister of Finance, sent a letter to the Australian Atomic Energy Industry."
55,"코스텔로 씨는 핵발전소가 경제적으로 실현 가능해진다면, 오스트레일리아는 그 사용을 추진해야 한다고 했습니다.","Mr. Costello said that if nuclear power plants were economically feasible, Australia should promote their use."
56,"""코스텔로 씨는 """"산업화가 된다면 원자력을 보유해야 합니다. 원자력에 대한 원칙적인 반대는 없다""""고 말했습니다.""","""Mr. Costello said, ""If the industry is industrialized, it must have nuclear power; there is no principled opposition to nuclear power""."
57,"""안사에 따르면 """"경찰은 고위급의 체포가 권력 공석을 두고 큰 권력 다툼으로 번질까 두려워했다""""라고 전했다.""","""According to the ANSA, ""the police were afraid that high-ranking arrests would lead to a major power dispute over power positions""."
58,"경찰은 로 피콜로가 팔레르모 조직에서 프로벤자노의 오른팔 역할을 했기 때문에 훨씬 우세하다고 주장했습니다. 또한, 세간의 이목을 피하는 동시에 권력 네트워크를 더 강화시키는데 힘쓰는 프로벤자르노의 수법을 사용하는 시기에 경험을 많이 쌓은 로 피콜로는 구 세대 보스들의 존경을 얻을 수 있었다고 했습니다.","The police claimed that Ro Picolaro was much superior because he played the right hand of Provenzaro in the Palermo organization. He also claimed that while avoiding the need of the middle class and at the same time strengthening the power network, Ro Picolaro was able to gain the respect of the old generation bosses, having gained a lot of experience during the time of using the techniques of Provenzaro."
59,"""이 보스들은 프로벤자노가 1992년 마피아와의 전쟁을 치르던 지오반니 팔코네와 파올로 보르셀리노의 목숨을 앗아간 리나 주도 전쟁에 종지부를 찍었을 때 고삐를 잡혔습니다.""""""","""These bosses were blown away when Provenzano waged the 1992 war against the Mafia, which claimed the lives of Giovanni Falcone and Paolo Borcelliino, and ended the war with Lina Guido""."
60,애플 최고경영자 스티브 잡스는 무대 위를 걸어올라 주머니에서 iPhone 꺼내며 기기를 공개했습니다.,"Apple's chief executive, Steve Jobs, walked across the stage and pulled the iPhone out of his pocket and unveiled the device."
61,"""2시간 동안 이어진 발표에서 그는 """"오늘 애플은 전화를 재발명할 것입니다. 오늘 우리는 역사를 만들 것입니다""""라고 말했습니다.""","In a two-hour presentation, he said, ""Today Apple will reopen the phone. Today we will make history""."
62,"브라질은 지구상에서 가장 큰 로마 가톨릭 국가이며, 로마 가톨릭교회는 브라질에서 동성 결혼 합법화에 지속적으로 반대해 왔다.","Brazil is the largest Roman Catholic country on earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in Brazil."
63,"브라질 국회는 합법화를 10년간 논의해왔으며, 현재는 이러한 민법상 결혼이 리오그란데 도 술에서만 합법입니다.","The Brazilian National Assembly has been discussing legalization for 10 years, and currently these civil laws are only legal in Rio Grande do Sul."
64,원 법안은 상파울루의 전임 시장인 마르타 수플리시가 그 초안을 작성하였습니다. 현재 개정이 완료된 해당 상정안은 현재 로베르토 제퍼슨의 손에 있습니다.,"The original bill was drafted by the former mayor of São Paulo, Marta Suplísi. The current revision of the bill is now in the hands of Roberto Jefferson."
65,시위대는 11월 국회에 제출하기 위해 120만 명의 탄원서 서명을 받길 희망한다.,The opposition hopes to get the signature of 1.2 million voters to submit it to the National Assembly in November.
