id,source_text,target_text
0,"스탠포드 의과대학 연구진은 지난 월요일 세포를 유형별로 분류할 수 있는 새로운 진단도구를 개발했다고 밝혔다. 이는 아주 작은 크기의 인쇄가 가능한 칩으로, 일반적인 잉크젯 프린터를 이용해 개 당 미화 약 1센트로 생산이 가능할 것으로 예상된다.","Les chercheurs de l'Université de médecine de Stanford ont déclaré lundi dernier qu'ils avaient développé un nouveau dispositif de diagnostic permettant de classer les cellules par type. Il s'agit d'un puce imprimable de très petite taille, qui devrait être fabriqué à l'aide d'une imprimante imprimée ordinaire à une valeur d'environ 1 centime."
1,"수석 연구진들은 이것이 선진국 대비 절반의 생존율을 보이는 저소득 국가들의 환자들에게 암, 결핵, HIV 그리고 말라리아의 조기 발견을 가져올 수 있다고 설명합니다.","Les principaux chercheurs expliquent que cela peut entraîner une découverte précoce du cancer, du tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, qui ont un taux de survie de moitié par rapport aux pays développés."
2,"현지 시간으로 약 아침 9시 30분(0230 UTC)에 JAS 39C 그리펜이 활주로에 추락 후 폭발해, 공항의 상업 항공편 운항이 중단되었습니다.",L'explosion s'est produite après l'effondrement du JAS 39C à environ 9h30 heure locale.
3,그 조종사는 비행 중대장 딜로크리트 패타비로 확인되었다.,Son pilote a été confirmé en tant que pilote d'avion.
4,현지 언론은 공항 소방차가 사고에 대응하는 도중에 전복되었다고 보도했습니다.,Les médias locaux ont rapporté que l'aéroport a été renversé en réponse à l'accident.
5,28세인 비달은 3년 전 세비야 FC에서 FC 바르셀로나에 합류했습니다.,"Vidal, 28 ans, a rejoint le FC Barcelone trois ans auparavant."
6,바르셀로나로 이적한 후 비달은 클럽을 위해 49경기를 뛰었습니다.,"Après avoir rejoint Barcelone, Vidal a joué 49 matchs pour le club."
7,시위는 총리의 공식 거주지인 다우닝가의 경찰이 경비를 서는 입구 맞은편 화이트홀에서 현지 시간 11:00(UTC+1) 경에 시작되었습니다.,"Les manifestations ont débuté à 11h00 à l'entrée de la salle blanche, la résidence officielle du Premier ministre."
8,"11시가 막 지난 후, 시위대는 화이트홀에 있는 북쪽으로 향하는 마차들의 교통을 막았다.","Onze heures plus tard, les forces de l'ordre ont bloqué la circulation des marchandises en direction du nord dans le White Hall."
9,"11시 20분에 경찰이 시위대에게 보도로 돌아가도록 요청했으며, 시위할 권리와 증가하는 교통량 사이에 절충할 필요가 있다고 말했습니다.","À 11h20, la police a demandé aux manifestants de revenir sur la route et a déclaré qu'il était nécessaire de réduire la distance entre le pouvoir de la manifestation et l'augmentation du trafic."
