id,source_text,target_text
0,Op maandag kondigden wetenschappers van de Stanford University School of Medicine aan dat een nieuw diagnostisch hulpmiddel is uitgevonden dat cellen op type kan ordenen: een piepkleine af te drukken chip die voor waarschijnlijk ongeveer één dollarcent per stuk kan worden geproduceerd met behulp van standaard inkjetprinters.,"On Monday, scientists from the Stanford University School of Medicine concluded that a new diagnostic tool was developed to enable cells of this type to produce: a piece of printed chip that would probably cost about one dollarcent per piece could be produced using standard inkjet printers."
1,"Hoofdonderzoekers zeggen dat dit kan leiden tot een vroege opsporing van kanker, tuberculose, HIV en malaria bij patiënten in arme landen. Hier zijn de overlevingskansen bij een aandoening als borstkanker de helft minder dan in rijke landen.","The main researchers say that this can lead to a woman diagnosing cancer, tuberculosis, HIV and malaria among patients in armed countries."
2,De JAS 39C Gripen stortte rond 09.30 uur lokale tijd (02.30 UTC) neer op de landingsbaan en ontplofte. De luchthaven is hierdoor gesloten voor commerciële vluchten.,De JAS 39C Gripen started around 09.30 local time (02.30 UTC) on the de landingbaan en ontplofte.De airhaven is closed for commercial flights.
3,De piloot werd geïdentificeerd als majoor Dilokrit Pattavee.,The pilot was identified as Major Dilokrit Pattavee.
4,De lokale media meldt dat er tijdens een actie op de luchthaven een brandweerwagen is gekanteld.,Local media reported that during an action at the airport a brand car was controlled.
5,De 28-jaar oude Vidal is drie seizoenen geleden van Sevilla naar Barça overgestapt.,The 28-year-old Vidal has suffered three seasons from Sevilla to Barça.
6,Sinds hij verhuisde naar de Catalaanse hoofdstad heeft hij 49 wedstrijden gespeeld voor de club.,Since he moved to the Catalaanse Hauptstad he has played 49 matches for the club.
7,"Het protest begon rond 11.00 lokale tijd (UTC+1) op Whitehall, tegenover de door politie bewaakte ingang van Downing Street, de ambtswoning van de premier.","The protest began at around 11.00 local time (UTC+1) at Whitehall, opposite the police station on Downing Street."
8,Iets na 11.00 uur begonnen betogers het verkeer op de rijbaan in noordelijke richting in Whitehall te blokkeren.,At 11 o'clock the traffic on the railway in the northern direction of Whitehall began to be blocked.
9,"Om 11:20 vroeg de politie aan de demonstranten om weer op de stoep te gaan staan, waarbij zij het recht aanhaalde om het recht op protest af te wegen tegen het toenemende verkeer.","At 11.20 am, the police asked the demonstrators to stand up again, where they had the right to protest the increase in traffic."
10,"Vanaf 11.29 uur verplaatsten de demonstranten zich richting Whitehall, langs Trafalgar Square, de Strand, Aldwych en Kingsway naar Holborn. Hier werd het Spring Forum van de Conservative Party gehouden in het hotel Grand Connaught Rooms.","From 11.29 a.m. onwards, demonstrators were displaced towards Whitehall, along Trafalgar Square, de Strand, Aldwych en Kingsway to Holborn."
11,Het onderlinge record van Nadal tegen de Canadees is 7-2.,Van Nadal's record against the Canadiens is 7-2.
12,Eerder leed hij een nederlaag tegen Raonic in de Brisbane Open.,Earlier he suffered a defeat against Raonic in the Brisbane Open.
13,"Nadal won 88% van de netpunten in de wedstrijd, waardoor hij 76 punten behaalde in de eerste service.","Nadal won 88% van de netpunten in de wedstrijd, making him 76 points behaved in de eerste service."
14,"Na de wedstrijd zei De Gravelkoning, 'Ik ben gewoon blij dat ik weer in de laatste rondes van de belangrijkste wedstrijden sta. Ik ga dit proberen te winnen.'","De Gravelkoning said: ""I'm just glad that I'm back in the last rounds of the most important matches."
15,Het overkoepelde begrip de 'Panama Papers' verwijst naar de ongeveer tien miljoen documenten van het Panamese advocatenkantoor Mossack Fonseca die in de lente van 2016 naar de pers zijn gelekt.,"The overarching concept of 'Panama Papers' refers to the approximately ten million documents of the Panamanian lawyer-general Mossack Fonseca, who died in late 2016."
16,Uit de documenten blijkt dat veertien banken rijke klanten hielpen bij het verbergen van miljarden Amerikaanse dollars aan rijkdommen om belastingen en andere regelgeving te omzeilen.,The documentation shows that 14 banks of the Reich have helped to overcome the fact that billions of U.S. dollars have been allocated to the Reichstag in respect of taxes and other regulations.
17,Volgens de Britse krant The Guardian beheerde Deutsche Bank ongeveer een op de drie van de 1200 hierbij betrokken lege vennootschappen.,"According to the British newspaper The Guardian, Deutsche Bank owned about one of the 1200 businesses involved."
18,"Er werd wereldwijd geprotesteerd, verschillende strafrechtelijke vervolgingen werden opgestart en de regeringsleiders van IJsland en Pakistan traden af.","There were protests all over the world, and various strafrechtelijke vervolgingen were initiated by the leaders of the governments of Iceland and Pakistan."
19,"De in Hongkong geboren Ma studeerde aan de New York University en Harvard Law School en had ooit een Amerikaanse 'green card', een permanente verblijfsvergunning.","I was born in Hong Kong, studied at the New York University and Harvard Law School, and once had an American 'green card', a permanent verbliffsvergunning."
20,Tijdens de verkiezingen liet Hsieh doorschemeren dat Ma gedurende een crisistijd het land zou kunnen ontvluchten.,"In the course of the elections, Hsieh made it clear that during a crisis in the country he would be able to escape."
21,"Volgens Hsieh was de fotogenieke Ma wel stijlvol, maar had ze niet zo bar veel inhoud.","According to Hsieh, he was a photographer, but he didn't have much content."
22,"Hoewel deze beschuldigingen werden geuit, won Ma eenvoudig op een platform dat zich hard maakte voor nauwere banden met het Chinese vasteland.","Although these accusations were denied, Ma simply won on a platform that made it difficult for nautical bands to meet the Chinese mainland."
23,De Speler van de Dag is Alex Ovechkin van de Washington Capitals.,De Speler van de Dag is Alex Ovechkin from the Washington Capitals.
24,"In de wedstrijd waarin Washington met 5-3 van de Atlanta Thrashers won, maakte hij 2 doelpunten en 2 assists.","In the match in which Washington met 5-3 van de Atlanta Thrashers won, he made 2 goals and 2 assists."
25,Ovechkins eerste assist van de avond was op het winnende doelpunt van debutant Nicklas Backstrom;,Ovechkin's first assist van de avond was op the winning goalpoint van debutant Nicklas Backstrom;
26,Zijn tweede doelpunt van de avond was zijn 60ste van het seizoen. Hierdoor werd hij de eerste speler die sinds het seizoen van 1995-1996 zestig of meer doelpunten scoorde. In dat seizoen bereikten Jaromir Jagr en Mario Lemieux allebei die mijlpaal.,His second goal of the evening was his 60th of the season.Here he became the first player to score more goals since the 1995-1996 season.In that season Jaromir Jagr and Mario Lemieux both died in midfield.
27,"Batten stond in 2008 op plaats 190 op de lijst van de 400 rijkste Amerikanen met een geschat vermogen van 2,3 miljard dollar.","In 2008, in place of 190 on the list of the 400 wealthiest Americans, a net worth estimated at 2,3 billion dollars was achieved."
28,In 1950 haalde hij een diploma aan het College of Arts & Sciences aan de universiteit van Virginia en later doneerde hij er veel geld aan.,In 1950 he obtained a diploma from the College of Arts & Sciences at the University of Virginia and later worked for a considerable sum of money.
29,Bij een oproer staken mensen de Abu Ghraib-gevangenis in Irak in brand.,"In the meantime, a number of people have been arrested in Abu Ghraib-gevangenis in Iraq."
30,"De gevangenis werd berucht toen misbruik van gevangenen aan het licht kwam, nadat de Amerikaanse strijdkrachten het hadden overgenomen.","De gevangenis werd bercht toen misuse van gevangenen aan het licht kwam, after de Amerikaanse strijdkrachten had taken over."
