id,source_text,target_text
0,Op maandag kondigden wetenschappers van de Stanford University School of Medicine aan dat een nieuw diagnostisch hulpmiddel is uitgevonden dat cellen op type kan ordenen: een piepkleine af te drukken chip die voor waarschijnlijk ongeveer één dollarcent per stuk kan worden geproduceerd met behulp van standaard inkjetprinters.,"Lundi, des scientifiques de la faculté de médecine de l'Université de Stanford ont déclaré qu'un nouvel outil de diagnostic a été développé et que les cellules de ce type peuvent ordonner: un morceau de puceau imprimé peut être fabriqué à l'aide d'imprimantes à jet d'encre standard."
1,"Hoofdonderzoekers zeggen dat dit kan leiden tot een vroege opsporing van kanker, tuberculose, HIV en malaria bij patiënten in arme landen. Hier zijn de overlevingskansen bij een aandoening als borstkanker de helft minder dan in rijke landen.","Les principaux chercheurs affirment que cela peut conduire à un cancer, à la tuberculose, au VIH et au paludisme chez les patients dans les pays armés."
2,De JAS 39C Gripen stortte rond 09.30 uur lokale tijd (02.30 UTC) neer op de landingsbaan en ontplofte. De luchthaven is hierdoor gesloten voor commerciële vluchten.,L'aéroport aérien est ici fermé pour les vols commerciaux.
3,De piloot werd geïdentificeerd als majoor Dilokrit Pattavee.,Le pilote a été identifié comme le major Dilokrit Pattavee.
4,De lokale media meldt dat er tijdens een actie op de luchthaven een brandweerwagen is gekanteld.,"Les médias locaux ont rapporté que lors d'une action sur l'aéroport, un véhicule de transport aérien a été contrôlé."
5,De 28-jaar oude Vidal is drie seizoenen geleden van Sevilla naar Barça overgestapt.,Le vieil Vidal de 28 ans a souffert trois saisons du départ de Séville au départ du Barça.
6,Sinds hij verhuisde naar de Catalaanse hoofdstad heeft hij 49 wedstrijden gespeeld voor de club.,"Depuis qu'il a déménagé à la capitale catalane, il a joué 49 matchs pour le club."
7,"Het protest begon rond 11.00 lokale tijd (UTC+1) op Whitehall, tegenover de door politie bewaakte ingang van Downing Street, de ambtswoning van de premier.","La manifestation a débuté vers 11h00 local time (UTC+1) à Whitehall, contre la porte de la police à Downing Street, devant le poste de premier ministre."
8,Iets na 11.00 uur begonnen betogers het verkeer op de rijbaan in noordelijke richting in Whitehall te blokkeren.,Les manifestations ont débuté à 11 heures sur la circulation en direction nord de Whitehall.
9,"Om 11:20 vroeg de politie aan de demonstranten om weer op de stoep te gaan staan, waarbij zij het recht aanhaalde om het recht op protest af te wegen tegen het toenemende verkeer.","A 11h20, la police a demandé aux manifestants de reprendre leur arrêt et de s'arrêter, ce qui leur a permis de protester contre l'augmentation du trafic."
