id,source_text,target_text
0,"W poniedziałek naukowcy ze Szkoły Medycznej Uniwersytetu Stanforda obwieścili wynalezienie nowego narzędzia diagnostycznego, sortującego komórki według rodzaju: jest to miniaturowy chip drukowany, który można wyprodukować za pomocą standardowych drukarek atramentowych przy koszcie szacowanym na jednego centa amerykańskiego za sztukę.","In the case of scientists at the Szkoły Medycznej University of Stanford, they were told that they had discovered a new drug diagnosis, creating a comorki according to the type: this is a miniature drug drug chip, which can be produced with the help of standard drug treatments at the cost of being estimated at one hundred dollars."
1,"Wiodący badacze utrzymują, że może to przyczynić się do wczesnego wykrywania raka, gruźlicy, wirusa HIV i malarii u pacjentów w krajach biednych, gdzie na choroby takie jak rak piersi umiera dwa razy więcej ludzi niż w krajach bogatszych.","If the disease is to be detected, it may contribute to the early detection of rabies, tuberculosis, HIV and malaria in patients in poor countries, where no disease such as rabies affects more people than in poor countries."
2,"Samolot JAS 39C Gripen rozbił się na pasie startowym w przybliżeniu o godz. 9:30 czasu lokalnego (02:30 UTC) i wybuchł, przez co lotnisko zostało zamknięte dla lotów komercyjnych.","Samolot JAS 39C Gripen rozbił się na pasie startowym w przybliżeniu o godz. 9:30 czasu lokalnego (02:30 UTC) i wybuchł, through which the lottery was closed for commercial lotteries."
3,"Pilota zidentyfikowano jako Dilokrita Pattavee, dowódcę eskadry.","Pilot Zidentyfikowano as Dilokrita Pattavee, downed the squadron."
4,Według doniesień z lokalnych mediów lotniskowy wóz strażacki wywrócił się podczas interwencji.,"According to reports from local media, many of them were directly involved in the interventions."
5,28-letni Vidal przyszedł do Barcelony z Sewilli trzy sezony temu.,28-year-old Vidal came to Barcelona with Sewilli three seasons ago.
6,Od przeprowadzki do stolicy Katalonii Vidal rozegrał dla klubu 49 meczów.,From the activities carried out in the city of Katalonii Vidal rozegrał dla klubu 49 meczów.
7,"Protest zaczął się około godz. 11:00 czasu lokalnego (UTC +1) w Whitehall, po drugiej stronie pilnowanego przez policję wejścia do oficjalnej siedziby premiera na Downing Street.","Protests began around 11 a.m. local time (UTC +1) in Whitehall, on the opposite side of the street from the police station."
8,Zaraz po godzinie 11:00 demonstranci zablokowali ruch na Whitehall w kierunku północnym.,Zaraz at 11 o'clock demonstrators have blocked the White Hall in the direction of północnym.
9,"O godz. 11:20 policja poprosiła demonstrantów o wycofanie się na chodnik, twierdząc, że muszą pogodzić prawo do protestów z wzrastającym ruchem.","O godz. 11:20 the police asked the protesters of Wycofanie se na chodnik, saying that they must pogodzić prawo do protestów z wzrastającym ruchem."
10,"Około godz. 11:29 protest minął Whitehall, Trafalgar Square, przesuwając się wzdłuż Strand i mijając Aldwych i dalej Kingsway w stronę Holborn, gdzie w hotelu Grand Connaught Rooms odbywało się Wiosenne Forum Partii Konserwatywnej.","At around 11:29 a.m. a protest took place in Whitehall, Trafalgar Square, moving along the Strand and Aldwych and Kingsway to Holborn, where the hotel's Grand Connaught Rooms were occupied by the Wiosenne Forum Partii Konserwatywnej."
11,Rekord Nadala w meczach z Kanadyjczykiem wynosi 7:2.,The record of Nadala w meczach z Kanadyjczykiem was 7:2.
12,Ostatnio uległ Raonicowi w Brisbane Open.,"Last year, Raonicowi won the Brisbane Open."
13,Nadal zdobył 88% punktów przy siatce w całym meczu i wygrał pierwszy serwis z wynikiem 76 punktów.,Nadal scored 88% of the total points in the first match and finished with 76 points.
14,"Po meczu król mączki powiedział: „Bardzo mnie cieszy, że mogę znów brać udział w finałach najważniejszych turniejów. Jestem tu po to, aby sięgnąć po zwycięstwo”.","Po meczu król mączki said: Bardzo mnie cieszy, że mogę znów brać udział w finałach najważniejszych turniejów."
15,"„Kwity z Panamy” to globalny termin opisujący około dziesięć milionów dokumentów z panamskiej firmy prawniczej Mossack Fonesca, które wyciekły do gazet wiosną 2016 roku.","Quity of Panama  to a global term describing about a decade of millions of documents by the panamskiej firma prawniczej Mossack Fonesca, which were published in the newspaper in 2016."
16,"Dokumenty pokazały, że czternaście banków pomogło zamożnym klientom w zatajeniu miliardów dolarów w celu uniknięcia podatków i obejścia innych regulacji.",Documents show that four banks have helped wealthy clients to save billions of dollars in order to avoid taxes and to comply with other regulations.
17,"Brytyjska gazeta The Guardian zasugerowała, że Deutsche Bank kontrolował około jednej trzeciej z 1200 spółek fasadowych, które wykorzystano do osiągnięcia tego celu.",The British newspaper The Guardian reported that Deutsche Bank controlled about one third of the 1200 facades of the companies that used it to achieve this goal.
18,"Na całym świecie doszło do protestów, kilku postępowań karnych, a obaj przywódcy rządów Islandii i Pakistanu zrezygnowali.","In the whole world there are protests, kilku postępowań karnych, an obaj przywódcy rządów Islandi i Pakistanu zrezygnowali."
19,"Pochodzący z Hongkongu Ma studiował na Uniwersytecie Nowojorskim i na wydziale prawa Uniwersytetu Harvarda, a kiedyś posiadał amerykańską ""zieloną kartę.""","Pochodzący z Hongkongu Ma studiwał na Uniwersytecie Nowojorskim i wydziale prawa na Uniwersytetu Harvarda, a formerly held an amerykańską ""zieloną kartę""."
20,"Podczas wyborów Hsieh zasugerował, że podczas kryzysu MA może czmychnąć z kraju.","During the elections Hsieh zasugerował, that during the crisis MA can talk to the country."
