id,source_text,target_text
0,"W poniedziałek naukowcy ze Szkoły Medycznej Uniwersytetu Stanforda obwieścili wynalezienie nowego narzędzia diagnostycznego, sortującego komórki według rodzaju: jest to miniaturowy chip drukowany, który można wyprodukować za pomocą standardowych drukarek atramentowych przy koszcie szacowanym na jednego centa amerykańskiego za sztukę.","Les scientifiques de l'Université de Stanford ont découvert que la nouvelle narcotrafique diagnostique, créant des comorques selon le type: est fabriqué à partir d'une puce miniaturisée, qui peut être produite à l'aide de drogues standardisées."
1,"Wiodący badacze utrzymują, że może to przyczynić się do wczesnego wykrywania raka, gruźlicy, wirusa HIV i malarii u pacjentów w krajach biednych, gdzie na choroby takie jak rak piersi umiera dwa razy więcej ludzi niż w krajach bogatszych.","Dans les pays pauvres, les maladies telles que le cancer surviennent deux fois plus souvent que dans les pays riches."
2,"Samolot JAS 39C Gripen rozbił się na pasie startowym w przybliżeniu o godz. 9:30 czasu lokalnego (02:30 UTC) i wybuchł, przez co lotnisko zostało zamknięte dla lotów komercyjnych.","Le vol JAS 39C Gripen rozbił się na pasie startowym w przybliżeniu o godz. à 9h30 heure locale (02h30 UTC) en Wybuchł, alors que le lotnisque a été fermé pour les loteries commerciales."
3,"Pilota zidentyfikowano jako Dilokrita Pattavee, dowódcę eskadry.","Pilote Zidentyfikowano comme Dilokrita Pattavee, descendant de l'escadrille."
4,Według doniesień z lokalnych mediów lotniskowy wóz strażacki wywrócił się podczas interwencji.,"Selon les rapports des médias locaux, beaucoup d'entre eux se sont immédiatement tournés en arrière lors de l'intervention."
5,28-letni Vidal przyszedł do Barcelony z Sewilli trzy sezony temu.,"Vidal, 28 ans, est venu à Barcelone avec Sewilli trois saisons auparavant."
6,Od przeprowadzki do stolicy Katalonii Vidal rozegrał dla klubu 49 meczów.,Il s'agit d'un événement politique de la Catalogne.
7,"Protest zaczął się około godz. 11:00 czasu lokalnego (UTC +1) w Whitehall, po drugiej stronie pilnowanego przez policję wejścia do oficjalnej siedziby premiera na Downing Street.","La manifestation a débuté à 11h00 heure locale (UTC +1) à Whitehall, à l'entrée de la police de la première session officielle de Downing Street."
8,Zaraz po godzinie 11:00 demonstranci zablokowali ruch na Whitehall w kierunku północnym.,Zaraz à 11h00 des manifestants ont quitté la salle blanche et se sont dirigés vers minuit.
9,"O godz. 11:20 policja poprosiła demonstrantów o wycofanie się na chodnik, twierdząc, że muszą pogodzić prawo do protestów z wzrastającym ruchem.","11h20, la police a demandé aux manifestants de se déplacer dans la rue, affirmant qu'ils devaient avoir le droit de faire des manifestations avec la circulation croissante."
10,"Około godz. 11:29 protest minął Whitehall, Trafalgar Square, przesuwając się wzdłuż Strand i mijając Aldwych i dalej Kingsway w stronę Holborn, gdzie w hotelu Grand Connaught Rooms odbywało się Wiosenne Forum Partii Konserwatywnej.","À 11h29, les manifestations se sont déroulées à Whitehall, à Trafalgar Square, en se déplaçant sur la plage et en passant par Aldwych et le Kingsway vers Holborn, où les Grands Salles Connaught de l'hôtel se sont déroulées à Wiosenne Forum Partii Konserwatywnej."
11,Rekord Nadala w meczach z Kanadyjczykiem wynosi 7:2.,Le record de Nadala w meczach z Kanadyjczykiem est de 7:2.
12,Ostatnio uległ Raonicowi w Brisbane Open.,"Récemment, il a remporté l'Open de Brisbane."
