id,source_text,target_text
0,"Na segunda-feira, cientistas da Escola de Medicina da Universidade de Stanford anunciaram a invenção de uma nova ferramenta de diagnóstico que pode classificar células por tipo: um minúsculo chip imprimível que pode ser fabricado usando impressoras jato de tinta padrão por possivelmente cerca de um centavo de dólar cada.","On Monday, scientists at Stanford University's School of Medicine announced the invention of a new diagnostic tool that can classify cells by type: a tiny printed chip that can be manufactured using standard inkjet printers for possibly about a hundred dollars each."
1,"Os principais pesquisadores dizem que isso pode levar ao diagnóstico precoce de câncer, tuberculose, HIV e malária em pacientes em países de baixa renda, onde expectativas de sobrevivência para doenças como o câncer de mama podem chegar à metade em comparação às expectativas de sobrevivência de países mais ricos.","The main researchers say that this can lead to an early diagnosis of cancer, tuberculosis, HIV and malaria in patients in low-income countries, where survival expectations for diseases such as breast cancer can reach half as compared to survival expectations in rich countries."
2,"O JAS 39 Gripen se chocou com a pista por volta de 9:30 do horário local (0230 UTC) e explodiu, fechando o aeroporto para voos comerciais.","O JAS 39 Gripen se chocou with a pista por volta de 9:30 do horário local (0230 UTC) and exploded, approaching an airport for commercial voos."
3,O piloto foi identificado como o Líder de Esquadrão Dilokrit Pattavee.,The pilot was identified as the Squadron Leader Dilokrit Pattavee.
4,"A mídia local informa o capotamento de um veículo de incêndio do aeroporto, durante o atendimento.","A local media inform o capotamento de um veículo de incêndio do aeroporto, during o atendimento."
5,"Vidal, de 28 anos, foi contratado pelo Barça há três temporadas, tendo vindo do Sevilha.","Vidal, 28 years old, was contracted by Barça for three seasons."
6,"Desde que se mudou para a capital catalã, Vidal jogou 49 partidas pelo clube.","Since moving to the Catalan capital, Vidal has played 49 matches for the club."
7,"O protesto começou por volta das 11:00 hora local (Tempo Universal Coordenado + 1) em Whitehall, em frente à entrada da residência oficial do Primeiro Ministro, guardada pela polícia de Downing Street.","The protest began around 11:00 local time (Tempo Universal Coordinado + 1) in Whitehall, opposite the official residence of the Prime Minister, guarded by the police of Downing Street."
8,"Logo após as 11h, os manifestantes bloquearam o acesso em direção ao norte de Whitehall.","After 11 o'clock, the protesters blocked access in the north of Whitehall."
9,"Às 11h20, a polícia pediu aos manifestantes que voltassem para a calçada, argumentando que o direito de protestar não poderia atrapalhar o tráfego.","At 11:20 a.m., the police asked protesters to return to a sidewalk, arguing that the right to protest could not interfere with traffic."
10,"Por volta das 11:29, o protesto se encaminhou para Whitehall, passando por Trafalgar Square pela Strand, depois pela Aldwych até Kingsway em direção a Holborn onde o Partido Conservador celebrava seu fórum de primavera  no hotel Grand Connaught Rooms.","At around 11:29, the protest proceeded to Whitehall, passing by Trafalgar Square on the Strand, then by Aldwych to Kingsway in the direction of Holborn where the Partido Conservador celebrated its forum de primavera no hotel Grand Connaught Rooms."
11,O recorde de embates de forma direta de Nadal contra o atleta do Canadá é de 7–2.,O record de embates de forma direta de Nadal against the athlete of Canada é de 72.
12,Ele recentemente perdeu no jogo contra Raonic no Aberto de Brisbane.,He recently lost no game against Raonic no Aberto de Brisbane.
13,Nadal conquistou 88% de pontos líquidos nos 76 pontos vencedores da partida na primeira servida.,Nadal won 88% of the points and 76 points in the first half.
14,"Depois da partida, o King of Clay falou: ""Estou muito animado por voltar para as últimas rodadas dos eventos mais importantes. Estou aqui para tentar ganhar isso"".","After the game, the King of Clay said: ""I'm very excited to return for the last two rounds of the most important events."
