id,source_text,target_text
0,"Na segunda-feira, cientistas da Escola de Medicina da Universidade de Stanford anunciaram a invenção de uma nova ferramenta de diagnóstico que pode classificar células por tipo: um minúsculo chip imprimível que pode ser fabricado usando impressoras jato de tinta padrão por possivelmente cerca de um centavo de dólar cada.","Le lundi, des scientifiques de l'École de médecine de l'Université de Stanford ont annoncé l'invention d'un nouvel outil de diagnostic capable de classer les cellules par type: une minuscule puce imprimable qui peut être fabriquée à l'aide d'impresseurs d'encre standard pour probablement près d'un centime de dollar par jour."
1,"Os principais pesquisadores dizem que isso pode levar ao diagnóstico precoce de câncer, tuberculose, HIV e malária em pacientes em países de baixa renda, onde expectativas de sobrevivência para doenças como o câncer de mama podem chegar à metade em comparação às expectativas de sobrevivência de países mais ricos.","Les principaux chercheurs disent que cela peut conduire au diagnostic précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients dans les pays à faible revenu, où les attentes de survie pour des maladies comme le cancer de la mère peuvent atteindre la moitié par rapport aux attentes de survie des pays plus riches."
2,"O JAS 39 Gripen se chocou com a pista por volta de 9:30 do horário local (0230 UTC) e explodiu, fechando o aeroporto para voos comerciais.","O JAS 39 Gripen se choque avec une piste à 9h30 de l'heure locale (0230 UTC) et explose, se rapprochant de l'aéroport pour des vols commerciaux."
3,O piloto foi identificado como o Líder de Esquadrão Dilokrit Pattavee.,Le pilote a été identifié comme le leader de l'escadrão Dilokrit Pattavee.
4,"A mídia local informa o capotamento de um veículo de incêndio do aeroporto, durante o atendimento.","Un média local informe le capotamento d'un véhicule d'incendie de l'aéroport, pendant l'entretien."
5,"Vidal, de 28 anos, foi contratado pelo Barça há três temporadas, tendo vindo do Sevilha.","Vidal, de 28 ans, a été contraté par le Barça pour trois saisons, en venant à Séville."
6,"Desde que se mudou para a capital catalã, Vidal jogou 49 partidas pelo clube.","Depuis que je me suis installé dans la capitale catalane, Vidal a joué 49 matches pour le club."
7,"O protesto começou por volta das 11:00 hora local (Tempo Universal Coordenado + 1) em Whitehall, em frente à entrada da residência oficial do Primeiro Ministro, guardada pela polícia de Downing Street.","La manifestation a commencé autour de 11h00 local (Tempo Universal Coordinado + 1) à Whitehall, en face de l'entrée de la résidence officielle du Premier ministre, gardée par la police de Downing Street."
8,"Logo após as 11h, os manifestantes bloquearam o acesso em direção ao norte de Whitehall.","Après 11h, les manifestants ont bloqué l'accès en direction du nord de Whitehall."
9,"Às 11h20, a polícia pediu aos manifestantes que voltassem para a calçada, argumentando que o direito de protestar não poderia atrapalhar o tráfego.","À 11h20, la police a demandé aux manifestants de revenir sur une rue, arguant que le droit de manifester ne pouvait empêcher la circulation."
10,"Por volta das 11:29, o protesto se encaminhou para Whitehall, passando por Trafalgar Square pela Strand, depois pela Aldwych até Kingsway em direção a Holborn onde o Partido Conservador celebrava seu fórum de primavera  no hotel Grand Connaught Rooms.","Vers 11 h 29, les manifestants se dirigent vers Whitehall, passant par la place Trafalgar par la plage, puis par Aldwych jusqu'à Kingsway en direction d'un Holborn où le Parti conservateur célèbre son forum de printemps à l'hôtel Grand Connaught Rooms."
11,O recorde de embates de forma direta de Nadal contra o atleta do Canadá é de 7–2.,O record de débats de forma direta de Nadal contre l'athlète du Canada é de 72.
12,Ele recentemente perdeu no jogo contra Raonic no Aberto de Brisbane.,Il a récemment perdu un match contre Raonic no Aberto de Brisbane.
13,Nadal conquistou 88% de pontos líquidos nos 76 pontos vencedores da partida na primeira servida.,Nadal a remporté 88% des points liquides des 76 points gagnants du match en première ligne.
14,"Depois da partida, o King of Clay falou: ""Estou muito animado por voltar para as últimas rodadas dos eventos mais importantes. Estou aqui para tentar ganhar isso"".","Après le match, le roi de l'argile a dit: ""Je suis très animé de revenir pour les derniers rounds des événements les plus importants."
15,"O ""Panama Papers"" (Documentos do Panamá) é um abrangente termo para designar cerca de dez milhões de documentos do escritório de advocacia do Panamá Mossack Fonseca, que vazaram para a imprensa na primavera de 2016.","O ""Panama Papers"" (Documentos do Panamá) est un terme général pour désigner près de dix millions de documents du bureau de défense du Panama Mossack Fonseca, qui seront publiés pour une imprimerie au printemps de 2016."
16,Os documentos demonstraram que quatorze bancos ajudaram seus clientes ricos a esconder bilhões de dólares norte-americanos para driblarem os impostos e outras fiscalizações.,Les documents montrent que quatorze banques aident leurs clients riches à cacher des milliards de dollars américains pour éviter les impôts et autres fiscalités.
17,O jornal britânico The Guardian sugeriu que o Deutsche Bank controlava praticamente um terço das 1200 empresas fantasmas usadas para isso.,Le journal britannique The Guardian suggère que la Deutsche Bank contrôle pratiquement un tiers des 1200 entreprises fantastiques utilisées pour cela.
18,"Houve protestos em todo o mundo, vários julgamentos criminais e os líderes dos governos da Islândia e do Paquistão, ambos, renunciaram.","Des manifestations ont eu lieu dans le monde entier, plusieurs procès criminels ont eu lieu et les dirigeants des gouvernements de l'Islande et du Pakistan ont tous deux renoncé."
19,"Nascido em Hong Kong, Ma estudou na Universidade de Nova Iorque e na Escola de Direito de Harvard, e já teve um visto ""green card"" de residente permanente nos Estados Unidos.","Né à Hong Kong, j'ai étudié à l'Université de New York et à l'École de droit de Harvard, et j'ai déjà reçu une ""carte verte"" de résident permanent aux États-Unis."
20,Hsieh implicou durante a eleição que Ma poderia fugir do país durante um período de crise.,Il est impliqué lors d'une élection que je pourrais fuir le pays pendant une période de crise.
21,"Hsieh falou, em adição, que o fotogênico Ma tinha mais estilo do que tinha de substância","Hsieh Falou, en outre, que le photogénique Ma avait mais le style de ce qu'il avait de substance"
22,"Apesar dessas acusações, Ma venceu com folga por meio de um discurso defendendo laços mais estreitos com a China continental.","Malgré ces accusations, Ma venceu com folga par un discours défendant les liens plus étroits avec la Chine continentale."
23,O Jogador do Dia de hoje é Alex Ovechkin do Washington Capitals.,Le joueur d'aujourd'hui est Alex Ovechkin des Capitals de Washington.
