id,source_text,target_text
0,"El lunes, los científicos de la facultad de medicina de la Universidad de Stanford anunciaron el invento de una nueva herramienta de diagnóstico que puede catalogar las células según su tipo: un pequeñísimo chip que se puede imprimir y fabricar con impresoras de inyección de uso corriente, por un posible costo de, aproximadamente, un centavo de dólar por cada uno.","On Monday, scientists from the faculty of medicine of the University of Stanford announced the invention of a new diagnostic tool that can catalog cells according to their type: a tiny chip that can be printed and manufactured with injection printers for current use, for a possible cost of, approximately, one cent of a dollar per person."
1,"Los principales investigadores principales sostienen que esto puede permitir la detección precoz del cáncer, la tuberculosis, el VIH y la malaria en pacientes de países de bajos recursos, donde la tasa de supervivencia de enfermedades como el cáncer de mama puede ser la mitad de la de los países más avanzados.","The main researchers argue that this can enable the early detection of cancer, tuberculosis, HIV and malaria in patients in low resource countries, where the survival rate of diseases such as breast cancer can be half that of the most advanced countries."
2,"El JAS 39C Gripen impactó contra una pista cerca de las 9:30 de la mañana hora local (0230 UTC) y explotó, lo que causó el cierre del aeropuerto para vuelos comerciales.","El JAS 39C Gripen hit a runway near 9:30am local time (0230 UTC) and exploded, causing the closure of the airport for commercial flights."
3,"Se identificó al piloto como Dilokrit Pattavee, líder de escuadrón.","He identified the pilot as Dilokrit Pattavee, leader of the squadron."
4,La prensa local informó que una patrulla de bomberos del aeropuerto volcó mientras prestaba servicio.,The local press reported that a firefighting patrol of the airport volcó while performing service.
5,"Vidal, de 28 años de edad y procedente del Sevilla, se unió al Barça hace tres temporadas.","Vidal, a 28-year-old from Sevilla, joined Barça three seasons ago."
6,"Desde su mudanza a la capital catalana, Vidal jugó 49 partidos para el club.","Since his move to the Catalan capital, Vidal has played 49 matches for the club."
7,"La manifestación inició cerca de las 11:00 hora local (UTC +1) en Whitehall, frente a la puerta de acceso a Downing Street, residencia oficial del primer ministro, la cual contaba con vigilancia policial.","La manifestación inició cerca de las 11:00 hora local (UTC +1) in Whitehall, frente a la puerta de acceso a Downing Street, residencia oficial del primer ministro, which contacts with police surveillance."
8,"Apenas pasadas las 11:00 h, los integrantes de la manifestación bloquearon la circulación del carril de Whitehall que va hacia el norte.","Just after 11 o'clock, members of the demonstration blocked the circulation of Whitehall's northbound lane."
9,"A las 11:20, la policía solicitó a los manifestantes que retrocedieran a la acera, señalando que era necesario equilibrar el derecho a manifestarse con la acumulación de tránsito.","At 11:20, the police requested the protesters to retreat on the street, signalling that it was necessary to balance the right to demonstrate with the accumulation of traffic."
10,"Cerca de las 11:29, la manifestación se abrió paso por Whitehall, siguió por Trafalgar Square, extendiéndose por Strand, pasando por Aldwych y subió por Kingsway hacia Holborn, lugar en el que se desarrollaba el Foro de Primavera en el hotel Grand Connaught Rooms, por parte del Partido Conservador.","Around 11:29, the demonstration opened through Whitehall, followed by Trafalgar Square, extending through Strand, passing through Aldwych and upwards by Kingsway towards Holborn, the place in which the Foro de Primavera was developed in the hotel Grand Connaught Rooms, by part of the Partido Conservador."
11,El récord mano a mano de Nadal contra el canadiense fue de 7-2.,The record hand-in-hand of Nadal against the Canadiens was 7-2.
12,"Fue derrotado, hace poco, por Raonic en el Brisbane Open.","He was defeated, hace poco, by Raonic en el Brisbane Open."
13,"En el partido, Nadal acumuló un 88% de puntos netos y ganó 76 en el primer servicio.","In the match, Nadal accumulated 88% of net points and won 76 in the prime service."
14,"Después del partido, el Rey del Polvo declaró: «Estoy emocionado de estar otra vez en las rondas finales de los torneos más importantes. He venido aquí para tratar de ganar».","After the match, El Rey del Polvo declared: ""I'm excited to be in the final rounds of the most important tournaments again."
15,La expresión genérica «Papeles de Panamá» se refiere a los casi diez millones de documentos del despacho de abogados panameño Mossack Fonseca que se filtraron en los medios en la primavera de 2016.,La expresión genérica Papeles de Panamá refers to the almost ten million documents of the despacho de abogados panameño Mossack Fonseca that were filtered in the media in the spring of 2016.
16,La documentación reveló que catorce entidades bancarias ayudaron a clientes acaudalados a ocultar riquezas que ascendían a miles de millones de dólares estadounidenses con el fin de evadir obligaciones impositivas y otras regulaciones.,The documentation revealed that fourteen banking entities helped clients accumulate hidden wealth that amounted to billions of U.S. dollars in order to evade tax obligations and other regulations.
17,El periódico británico The Guardian señaló que Deutsche Bank tenía el control de cerca de la tercera parte de las 1200 compañías fantasma que se usaron para llevar esto a cabo.,The British newspaper The Guardian pointed out that Deutsche Bank had the control of almost a third of the 1200 ghost companies that were used to carry this out.
18,"Se llevaron a cabo manifestaciones a nivel mundial, se condujeron numerosos juicios criminales, y los jefes de estado tanto de Islandia como de Pakistán renunciaron.","A number of international demonstrations were held, numerous criminal trials were held, and the heads of state of both Iceland and Pakistan resigned."
19,"Ma, oriunda de Hong Kong, se formó en la Universidad de Nueva York y en la Escuela de Leyes de Harvard y alguna vez contó con una «tarjeta verde» de residente permanente en los Estados Unidos.","Ma, a native of Hong Kong, graduated from the University of New York and the Harvard Law School and once held a green card for permanent resident in the United States."
20,"Durante las elecciones, Hsieh insinuó que Ma podría escapar del país en tiempos de crisis.","During the elections, Hsieh insinuated that I could escape the country in times of crisis."
21,Hsieh también manifestó que el agraciado Ma era más apariencia que contenido.,Hsieh also manifested that the agraciado era was more appearance than content.
22,"Ma logró una cómoda victoria, pese a estas acusaciones, en una plataforma partidaria de establecer relaciones más estrechas con la China continental.","Ma logró una cómoda victoria, pese a estas acusaciones, en una plataforma partidaria de establecer relaciones más estrechas with the mainland China."
23,"Alex Ovechkin, de Washington Capitals, es el deportista estrella del día de la fecha.","Alex Ovechkin, from Washington Capitals, is the sports star of the day."
24,Marcó 2 goles y 2 asistencias en el triunfo por 5 a 3 de Washington sobre los Thrashers de Atlanta.,He scored 2 goals and 2 assists in the victory over Washington 5-3 over the Atlanta Thrashers.
25,Ovechkin hizo su primera asistencia de la noche con el gol del triunfo del novato Nicklas Backstrom;,Ovechkin made his first assistance of the night with the gol of the triumph of the novato Nicklas Backstrom;
26,"Su segunda anotación de la noche fue su número 60 en la temporada, convirtiéndose en el primer jugador en hacer esa cantidad o más en una misma temporada desde 1995- 96, cuando tanto Jaromir Jagr como Mario Lemieux lograron ese récord.","His second anotación de la noche was his number 60 in the season, becoming the premier player to do that amount or more in the same season since 1995-96, when both Jaromir Jagr and Mario Lemieux achieved that record."
27,"Batten alcanzó la posición 190 dentro del listado de los 400 norteamericanos más acaudalados de 2008, con una fortuna que se estima en $2300 millones de dólares.","Batten reached the position 190 within the list of the 400 most successful North Americans of 2008, with a fortune estimated at $2300 million dollars."
28,"Obtuvo su diploma en 1950, en la Facultad de Artes y Ciencias de la Universidad de Virginia. También realizó grandes contribuciones en su favor.","He obtained his diploma in 1950, at the Faculty of Arts and Sciences of the University of Virginia."
29,La prisión de Abu Ghraib en Irak se incendió durante un motín.,The prison of Abu Ghraib in Iraq was set on fire during a mutiny.
30,"La cárcel se hizo conocida después de que salieran a la luz los abusos de prisioneros, luego de que las fuerzas norteamericanas asumieran el mando.","The prison became known after the outbreak of the abuses of prisoners, after which the North American forces assumed command."
31,"Durante el Gran Premio de Singapur de 2008, justo después de una parada en boxes, Piquet Jr. se estrelló para forzar la salida del auto de seguridad y así beneficiar a Fernando Alonso.","During the 2008 Grand Prix of Singapore, just after a parade in boxes, Piquet Jr. starred to force the exit of the car de sécurité and thus benefit a Fernando Alonso."
32,"Cuando los automóviles delante de Alonso se detuvieron para recargar combustible durante la pasada del coche de seguridad, él aumentó los cambios para obtener la victoria.","When the cars in front of Alonso stopped to recharge combustible during the passing of the safety car, he increased the changes to obtain the victory."
33,"Luego del GP de Hungría en el año 2009, expulsaron a Piquet Jr.","Then from the GP de Hungría in the year 2009, they expelled a Piquet Jr."
