id,source_text,target_text
0,"El lunes, los científicos de la facultad de medicina de la Universidad de Stanford anunciaron el invento de una nueva herramienta de diagnóstico que puede catalogar las células según su tipo: un pequeñísimo chip que se puede imprimir y fabricar con impresoras de inyección de uso corriente, por un posible costo de, aproximadamente, un centavo de dólar por cada uno.","Lundi, les scientifiques de la faculté de médecine de l'Université de Stanford ont annoncé l'invention d'un nouvel outil de diagnostic qui peut cataloguer les cellules selon leur type: une minuscule puce qui peut être imprimée et fabriquée avec des imprimantes d'injection à usage courant, pour un coût possible d'environ un centime de dollar par personne."
1,"Los principales investigadores principales sostienen que esto puede permitir la detección precoz del cáncer, la tuberculosis, el VIH y la malaria en pacientes de países de bajos recursos, donde la tasa de supervivencia de enfermedades como el cáncer de mama puede ser la mitad de la de los países más avanzados.","Les principaux chercheurs soutiennent que cela peut permettre la détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie de maladies telles que le cancer de la mère peut être la moitié des pays les plus avancés."
2,"El JAS 39C Gripen impactó contra una pista cerca de las 9:30 de la mañana hora local (0230 UTC) y explotó, lo que causó el cierre del aeropuerto para vuelos comerciales.","Le JAS 39C Gripen s'est heurté à une piste à 9h30 de l'heure locale (0230 UTC) et a explosé, ce qui a provoqué la fermeture de l'aéroport pour les vols commerciaux."
3,"Se identificó al piloto como Dilokrit Pattavee, líder de escuadrón.","Il s'est identifié au pilote comme Dilokrit Pattavee, chef d'équipe."
4,La prensa local informó que una patrulla de bomberos del aeropuerto volcó mientras prestaba servicio.,La presse locale a indiqué qu'une patrouille de pompiers de l'aéroport a volé pendant la prestation du service.
5,"Vidal, de 28 años de edad y procedente del Sevilla, se unió al Barça hace tres temporadas.","Vidal, de 28 ans et originaire de Séville, a rejoint le Barça il y a trois saisons."
6,"Desde su mudanza a la capital catalana, Vidal jugó 49 partidos para el club.","Depuis sa mutation dans la capitale catalane, Vidal jugó 49 matches pour le club."
7,"La manifestación inició cerca de las 11:00 hora local (UTC +1) en Whitehall, frente a la puerta de acceso a Downing Street, residencia oficial del primer ministro, la cual contaba con vigilancia policial.","La manifestation a débuté à 11h00 local (UTC +1) à Whitehall, en face de la porte d'accès à Downing Street, résidence officielle du premier ministre, en contact avec la surveillance policière."
8,"Apenas pasadas las 11:00 h, los integrantes de la manifestación bloquearon la circulación del carril de Whitehall que va hacia el norte.","Juste après 11 heures, les membres de la manifestation ont bloqué la circulation du sentier de Whitehall qui va vers le nord."
9,"A las 11:20, la policía solicitó a los manifestantes que retrocedieran a la acera, señalando que era necesario equilibrar el derecho a manifestarse con la acumulación de tránsito.","A 11h20, la police a demandé aux manifestants de se retirer de l'escalier, indiquant qu'il était nécessaire d'équilibrer le droit de manifester avec l'accumulation de trafic."
10,"Cerca de las 11:29, la manifestación se abrió paso por Whitehall, siguió por Trafalgar Square, extendiéndose por Strand, pasando por Aldwych y subió por Kingsway hacia Holborn, lugar en el que se desarrollaba el Foro de Primavera en el hotel Grand Connaught Rooms, por parte del Partido Conservador.","Vers 11h29, la manifestation s'ouvre par Whitehall, suit par Trafalgar Square, s'étend par Strand, passe par Aldwych et monte par Kingsway vers Holborn, lieu où se déroule le Foro de Primavera dans l'hôtel Grand Connaught Rooms, par le Parti conservateur."
11,El récord mano a mano de Nadal contra el canadiense fue de 7-2.,Le record de Nadal contre le Canadien est de 7-2.
12,"Fue derrotado, hace poco, por Raonic en el Brisbane Open.","Il a été vaincu, hace poco, par Raonic en l'Open de Brisbane."
13,"En el partido, Nadal acumuló un 88% de puntos netos y ganó 76 en el primer servicio.","En parti, Nadal a accumulé 88% de points nets et a gagné 76 en premier service."
14,"Después del partido, el Rey del Polvo declaró: «Estoy emocionado de estar otra vez en las rondas finales de los torneos más importantes. He venido aquí para tratar de ganar».","Après le match, le Roi du Polvo a déclaré: ""Je suis ravi d'être à nouveau dans les finales des tournois les plus importants."
15,La expresión genérica «Papeles de Panamá» se refiere a los casi diez millones de documentos del despacho de abogados panameño Mossack Fonseca que se filtraron en los medios en la primavera de 2016.,L'expression générique Papeles de Panamá fait référence à près de dix millions de documents du bureau d'avocats panaméen Mossack Fonseca qui ont été filtrés dans les médias au printemps de 2016.
16,La documentación reveló que catorce entidades bancarias ayudaron a clientes acaudalados a ocultar riquezas que ascendían a miles de millones de dólares estadounidenses con el fin de evadir obligaciones impositivas y otras regulaciones.,La documentation révèle que 14 établissements bancaires ont aidé des clients à acquérir des richesses cachées pouvant atteindre des milliards de dollars américains afin d'échapper à des obligations fiscales et à d'autres réglementations.
17,El periódico británico The Guardian señaló que Deutsche Bank tenía el control de cerca de la tercera parte de las 1200 compañías fantasma que se usaron para llevar esto a cabo.,Le journal britannique The Guardian a indiqué que la Deutsche Bank avait le contrôle de près de la troisième partie des 1200 sociétés fantômes qui ont été utilisées pour mener à bien cette opération.
18,"Se llevaron a cabo manifestaciones a nivel mundial, se condujeron numerosos juicios criminales, y los jefes de estado tanto de Islandia como de Pakistán renunciaron.","Ils ont mené des manifestations à l'échelle mondiale, ont mené de nombreux procès criminels, et les chefs d'État de l'Islande comme du Pakistan ont démissionné."
19,"Ma, oriunda de Hong Kong, se formó en la Universidad de Nueva York y en la Escuela de Leyes de Harvard y alguna vez contó con una «tarjeta verde» de residente permanente en los Estados Unidos.","Ma mère, originaire de Hong Kong, s'est formée à l'Université de New York et à l'École de droit de Harvard et a obtenu une carte verte de résident permanent aux États-Unis."
20,"Durante las elecciones, Hsieh insinuó que Ma podría escapar del país en tiempos de crisis.","Pendant les élections, Hsieh a insisté sur le fait que je pourrais échapper au pays en temps de crise."
21,Hsieh también manifestó que el agraciado Ma era más apariencia que contenido.,Il a également manifesté que l'agréable était l'ère plus apparente que contenue.
22,"Ma logró una cómoda victoria, pese a estas acusaciones, en una plataforma partidaria de establecer relaciones más estrechas con la China continental.","Ma réussite a été une victoire confortable, malgré ces accusations, en une plateforme de partenariat pour établir des relations plus étroites avec la Chine continentale."
23,"Alex Ovechkin, de Washington Capitals, es el deportista estrella del día de la fecha.","Alex Ovechkin, de Washington Capitals, est l'étoile sportive de la journée."
24,Marcó 2 goles y 2 asistencias en el triunfo por 5 a 3 de Washington sobre los Thrashers de Atlanta.,Il a marqué 2 buts et 2 aides dans la victoire 5 à 3 de Washington sur les Thrashers d'Atlanta.
25,Ovechkin hizo su primera asistencia de la noche con el gol del triunfo del novato Nicklas Backstrom;,Ovechkin a fait sa première assistance de la nuit avec le gol du triomphe du novato Nicklas Backstrom;
26,"Su segunda anotación de la noche fue su número 60 en la temporada, convirtiéndose en el primer jugador en hacer esa cantidad o más en una misma temporada desde 1995- 96, cuando tanto Jaromir Jagr como Mario Lemieux lograron ese récord.","Sa deuxième annotation de la nuit a été son numéro 60 de la saison, devenant le premier joueur à faire cette quantité ou plus en une même saison depuis 1995-96, lorsque Jaromir Jagr et Mario Lemieux ont atteint ce record."
27,"Batten alcanzó la posición 190 dentro del listado de los 400 norteamericanos más acaudalados de 2008, con una fortuna que se estima en $2300 millones de dólares.","Batten a atteint la position 190 dans la liste des 400 Américains les plus riches de 2008, avec une fortune estimée à 2300 millions de dollars."
28,"Obtuvo su diploma en 1950, en la Facultad de Artes y Ciencias de la Universidad de Virginia. También realizó grandes contribuciones en su favor.","Il obtient son diplôme en 1950, à la Faculté des Arts et des Sciences de l'Université de Virginie."
29,La prisión de Abu Ghraib en Irak se incendió durante un motín.,La prison d'Abou Ghraib en Irak a été incendiée pendant un motin.
30,"La cárcel se hizo conocida después de que salieran a la luz los abusos de prisioneros, luego de que las fuerzas norteamericanas asumieran el mando.","La prison est devenue connue après la lumière des abus de prisonniers, puis les forces nord-américaines ont pris le commandement."
31,"Durante el Gran Premio de Singapur de 2008, justo después de una parada en boxes, Piquet Jr. se estrelló para forzar la salida del auto de seguridad y así beneficiar a Fernando Alonso.","Pendant le Grand Prix de Singapour de 2008, juste après un défilé en boîte, Piquet Jr. s'est lancé pour forcer la sortie de l'auto de sécurité et ainsi bénéficier à Fernando Alonso."
32,"Cuando los automóviles delante de Alonso se detuvieron para recargar combustible durante la pasada del coche de seguridad, él aumentó los cambios para obtener la victoria.","Lorsque les voitures devant Alonso s'arrêtèrent pour recharger combustible pendant la passe de la voiture de sécurité, il augmenta les changements pour obtenir la victoire."
33,"Luego del GP de Hungría en el año 2009, expulsaron a Piquet Jr.","Puis du GP de Hongrie en l'année 2009, ils ont expulsé un Piquet Jr."
34,"Exactamente a las 8:46 a. m., la ciudad se volvió silencio, marcando el preciso instante en el que el primer avión alcanzó su objetivo.","Exactement à 8h46, la ville est redevenue silencieuse, marquant l'instant précis où l'avion a atteint son objectif."
35,Se montaron dos haces de luz direccionados al cielo en la noche.,Ils montèrent deux faisceaux de lumière dirigés vers le ciel la nuit.
36,En el lugar se están edificando cinco nuevos rascacielos que contarán con una sede de transporte y un parque conmemorativo en el centro.,"Cinq nouveaux gratte-ciel sont en cours de construction, avec un siège de transport et un parc commémoratif au centre."
37,El programa de PBS tiene más de veinticuatro premios Emmy y su duración es más breve que la de Plaza Sésamo y el Vecindario del Señor Roger.,Le programme de PBS a plus de vingt-quatre prix Emmy et sa durée est plus courte que celle de Plaza Sésamo y el Vecindario del Señor Roger.
38,Cada episodio del programa se desarrollaría en torno a una temática abordada por un libro en particular y luego se exploraría ese tema mediante múltiples historias.,Chaque épisode du programme se développera autour d'un thème abordé par un livre en particulier et explorera ce thème par plusieurs histoires.
39,"En cada episodio, además, se brindaba información sobre libros que recomendaban que los niños leyeran cuando visitaran una biblioteca.","Dans chaque épisode, il est également fourni des informations sur les livres que les enfants recommandent de lire lorsqu'ils visitent une bibliothèque."
40,"John Grant, de WNED Buffalo (la estación más importante de Reading Rainbow) señaló que el programa «les enseñó a los más pequeños la razón de leer, […] el amor por la lectura; los incentivó a tomar un libro y leer».","John Grant, de WNED Buffalo (la estación más importante de Reading Rainbow) a souligné que le programme ""enseigne aux plus petits la raison de lire, [...] l'amour de la lecture; les incite à prendre un livre et lire""."
41,"Hay quienes piensan, incluido John Grant, que tanto la crisis financiera como una modificación en la filosofía de la programación televisiva con fines educativos ayudaron a la cancelación de la serie.","Il y a ceux qui pensent, y compris John Grant, qu'à la fois la crise financière et une modification de la philosophie de la programmation télévisée à des fins éducatives ont contribué à l'annulation de la série."
