id,source_text,target_text
0,I måndags meddelade forskare från Stanford University School of Medicine att man tagit fram ett nytt diagnostiskt verktyg som kan ordna celler efter typ: ett litet utskrivbart chip som kan tillverkas med vanliga bläckstråleskrivare för eventuellt ungefär en amerikansk cent vardera.,I recently published a research paper from the Stanford University School of Medicine on the development of a new diagnostic tool that can order cells according to the type: a small printed chip that can work with the usual bläckstråleskrivare for eventual unemployment in the United States.
1,"Ledande forskare säger att detta kan leda till tidigare upptäckt av cancer, tuberkulos, HIV och malaria hos patienter i låginkomstländer, där överlevnadsgraden i sjukdomar såsom bröstcancer kan vara hälften av den hos rikare länder.","Lead researcher says that this can lead to earlier outbreaks of cancer, tuberculosis, HIV and malaria in patients in lowincome countries, where the survival rate of diseases such as breast cancer can be as high as half of the population in rich countries."
2,"JAS 39C Gripen kraschade på en bana omkring kl. 9.30 lokal tid (2.30 UTC) och exploderade, vilket innebar att man stängde flygplatsen för kommersiella flygningar.","JAS 39C Gripen crashed on en bana around 9.30 local time (2.30 UTC) and exploded, which made it impossible for man to stop at airports for commercial flights."
3,Piloten identifierades som gruppchef Dilokrit Pattavee.,The pilot identifies himself as group leader Dilokrit Pattavee.
4,Lokala medier rapporterar att en flygplatsbrandbil välte medan de svarade.,Local media reported at an airport brandbille velte medan de svarade.
5,28-åriga Vidal anslöt sig till Barça från Sevilla för tre säsonger sedan.,The 28-year-old Vidal signed for Barça from Sevilla for a three-season sedan.
6,Sedan han flyttade till den katalanska huvudstaden hade Vidal spelat 49 matcher för klubben.,Since then they have moved to the katalanska huvudstaden had Vidal spelat 49 matcher för klubben.
7,"Protesten startade vid 11-tiden lokal tid (UTC+1) på Whitehall mitt emot den polisbevakade ingången till Downing Street, premiärministerns officiella residens.","Protests began at 11 o'clock local time (UTC+1) at Whitehall mitt emot den polisbevakade entangingen to Downing Street, the residences of the prime ministers."
8,Strax efter 11:00 blockerade demonstranter trafiken i det norrgående körfältet i Whitehall.,"Immediately after 11 o'clock, protesters blocked traffic in the northbound corridor in Whitehall."
9,"Klockan 11.20 sade polisen åt demonstranterna att hålla sig på trottoaren, så att de kunde släppa på trafiken och mildra köbildningen.","At 11.20 am, the police called on the demonstrators to sign on the sidewalk, so that they could stop on the traffic and at the train station."
10,"Cirka 11:29 rörde sig protesten upp längs Whitehall, förbi Trafalgar Square, längs The Strand, förbi Aldwych och upp Kingsway mot Holborn där det konservativa partiet höll sitt vårforum i Grand Connaught Rooms-hotellet.","Around 11.29 a.m. there were protests in Whitehall, Trafalgar Square, The Strand, Aldwych and Kingsway towards Holborn where the conservative party sat in the Grand Connaught Rooms hotel."
11,Nadals ställning mot kanadensaren är 7–2.,The number of Canadians is 72.
12,Han förlorade nyligen mot Raonic i Brisbane Open.,He's been to the Brisbane Open this week.
13,Nadal satte 88 % nätpoäng i matchen och vann 76 poäng på första serven.,Nadal scored 88% of the net points in the match and won 76 points on the first served.
14,"""Efter matchen sa Kungen av Grus: """"Jag är bara exalterad över att vara tillbaka i finalrundorna i de viktigaste tävlingarna. Jag är här för att försöka vinna detta.""""""","""After matching with Kungen av Grus: """"I'm only exalted over att vara back in the final round and the most important tournaments. I'm here to try to win this. """""""
15,"""""""Panamadokumenten"""" är ett samlingsnamn på de cirka tio miljoner dokument som läckte till pressen våren 2016 från den panamanska advokatfirman Mossack Fonseca.""","""Panamadokumenten"" is the collective name of approximately ten million documents published in the press in the spring of 2016 by the Panamanian law firm Mossack Fonseca."
16,Dokumenten visar att fjorton banker hjälpte rika kunder att gömma förmögenehter på miljardbelopp för att undvika skatter och andra regleringar.,Documents show that the bank helped its customers to obtain more than a billion dollars in loans for non-revenue taxation and other regulations.
17,Den brittiska tidningen The Guardian antydde att Deutsche bank kontrollerade ungefär en tredjedel av de 1200 skalbolag som användes för att uppnå detta.,The British newspaper The Guardian reported that the Deutsche Bank controlled about a third of the 1200 grants it used to achieve this.
18,"Det förekom protester i hela världen, flera åtal, och både Islands och Pakistans regeringsföreträdare avgick.","There were protests all over the world, several times, both on the islands and in Pakistan."
19,"""Född i Hongkong studerade Ma vid New York University och Harvard Law School och innehade en amerikanskt permanent """"grönt kort"""".""","""I was born in Hong Kong, studied at New York University and Harvard Law School, and had a permanent ""grönt kort"" in the United States""."
20,Under valet antydde Hsieh att Ma kanske skulle fly landet under en kris.,Under valet Antydde Hsieh Att Ma might fly the country under En Kris.
21,Hsieh menade också att den bildsköne Ma hade mer stil än substans.,He also attended the bildsköne Ma had mer stil än substans.
22,Trots dessa anklagelser vann Ma med ett program som förespråkade närmare förbindelser med det kinesiska fastlandet.,"In spite of these difficulties, it is not possible to implement the programme as proposed by the Ministry of Foreign Affairs of the People's Republic of China."
23,Dagens spelare är Alex Ovechkin från Washington capitals.,Dagens player is Alex Ovechkin from Washington Capitals.
24,Han gjorde 2 mål och 2 assists i Washingtons 5-3-seger över Atlanta Thrashers.,He scored 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.
25,Ovechkins första assist för kvällen var till det matchvinnande målet från rookien Nicklas Bäckström;,Ovechkin's first assistant for kvällen var till the match winning goal from rookien Nicklas Bäckström;
