id,source_text,target_text
0,I måndags meddelade forskare från Stanford University School of Medicine att man tagit fram ett nytt diagnostiskt verktyg som kan ordna celler efter typ: ett litet utskrivbart chip som kan tillverkas med vanliga bläckstråleskrivare för eventuellt ungefär en amerikansk cent vardera.,"Lundi, j'ai annoncé une recherche de l'École de médecine de l'Université de Stanford sur l'homme qui a mis au point un nouvel outil de diagnostic permettant d'ordonner une cellule selon le type: un petit écran d'écriture qui peut fonctionner jusqu'à l'écriture ordinaire pour éventuellement ne pas atteindre un centime américain."
1,"Ledande forskare säger att detta kan leda till tidigare upptäckt av cancer, tuberkulos, HIV och malaria hos patienter i låginkomstländer, där överlevnadsgraden i sjukdomar såsom bröstcancer kan vara hälften av den hos rikare länder.","Les chercheurs déclarent que cela peut conduire à des cas antérieurs de cancer, de tuberculose, de VIH ou de paludisme chez les patients de faible revenu dans les pays riches, où le taux de survie de maladies telles que le cancer du sein peut atteindre la moitié des cas dans les pays riches."
2,"JAS 39C Gripen kraschade på en bana omkring kl. 9.30 lokal tid (2.30 UTC) och exploderade, vilket innebar att man stängde flygplatsen för kommersiella flygningar.","JAS 39C Gripen crashed on en bana environ à 9h30 heure locale (2h30 UTC) et explosa, ce qui a entraîné l'arrêt de l'homme sur les aéroports pour les vols commerciaux."
3,Piloten identifierades som gruppchef Dilokrit Pattavee.,Le pilote s'identifie comme chef de groupe Dilokrit Pattavee.
4,Lokala medier rapporterar att en flygplatsbrandbil välte medan de svarade.,Les médias locaux rapportent à l'aéroport ainsi qu'à l'aéroport de Svarade.
5,28-åriga Vidal anslöt sig till Barça från Sevilla för tre säsonger sedan.,"Vidal, âgé de 28 ans, rejoint le Barça de Séville pour trois séances."
6,Sedan han flyttade till den katalanska huvudstaden hade Vidal spelat 49 matcher för klubben.,"Depuis, ils ont déménagé jusqu'à la capitale catalane où Vidal avait joué 49 matchs pour le club."
7,"Protesten startade vid 11-tiden lokal tid (UTC+1) på Whitehall mitt emot den polisbevakade ingången till Downing Street, premiärministerns officiella residens.","Les manifestations ont débuté à l'heure locale de 11 heures (UTC+1) au Whitehall mitt emot den polisbevakade entré jusqu'à Downing Street, résidence officielle des premiers ministres."
8,Strax efter 11:00 blockerade demonstranter trafiken i det norrgående körfältet i Whitehall.,"Immédiatement après 11h, les manifestants ont bloqué la circulation à Whitehall."
9,"Klockan 11.20 sade polisen åt demonstranterna att hålla sig på trottoaren, så att de kunde släppa på trafiken och mildra köbildningen.","À 11h20, la police a demandé aux manifestants de se tenir sur les trottoirs, afin qu'ils puissent s'arrêter sur la circulation et la circulation."
